actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-18T03:13:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T03:13:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-01-18T03:13:48.7Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-01-18T03:13:48Z,40000,False,,,0,,Jump Ball M. Kleber vs. D. Clingan: Tip to L. James,"[2544, 1628467, 1642270]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Kleber,1628467.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-18T03:14:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612747,0,0,2026-01-18T03:14:15Z,70000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (Kleber 2 FT),"[1642270, 1628467]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,1628954.0,1.0,0.0,Kleber,1628467.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-01-18T03:14:31.1Z,1,REGULAR,freethrow,1 of 2,[],1628467,,,1610612747,0,1,2026-01-18T03:14:31Z,90000,False,,,0,,M. Kleber Free Throw 1 of 2 (1 PTS),[1628467],1610612747.0,LAL,,,,Kleber,M. Kleber,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M40.00S,2026-01-18T03:14:44.7Z,1,REGULAR,freethrow,2 of 2,[],1628467,,,1610612747,0,2,2026-01-18T03:14:44Z,100000,False,,,0,,M. Kleber Free Throw 2 of 2 (2 PTS),[1628467],1610612747.0,LAL,,,,Kleber,M. Kleber,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M21.00S,2026-01-18T03:15:05.1Z,1,REGULAR,turnover,lost ball,[],1631321,,,1610612757,0,2,2026-01-18T03:15:09Z,110000,False,,,0,,S. Cissoko lost ball TURNOVER (1 TO),"[1631321, 2544]",1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,James,2544.0,,,,,,,,,,
12,PT11M21.00S,2026-01-18T03:15:05.1Z,1,REGULAR,steal,,[],2544,,,1610612747,0,2,2026-01-18T03:15:07Z,120000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2026-01-18T03:15:11.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",2544,6.521024967148489,53.92156862745098,1610612747,0,2,2026-01-18T03:15:45Z,130000,False,-20.0,9.0,1,left,MISS L. James running reverse Layup,[2544],1610612747.0,LAL,running reverse,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,2.15,,,,,,,,,
14,PT11M13.00S,2026-01-18T03:15:12.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,2,2026-01-18T03:15:17Z,140000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M09.00S,2026-01-18T03:15:18.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201950,92.46057818659659,48.03921568627451,1610612757,2,2,2026-01-18T03:16:41Z,150000,False,-10.0,18.0,1,right,J. Holiday running Layup (2 PTS),[201950],1610612757.0,POR,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,2.08,,,,,,,,,
16,PT10M54.00S,2026-01-18T03:15:32.3Z,1,REGULAR,2pt,Jump Shot,[],1628467,20.97568988173456,48.28431372549019,1610612747,2,2,2026-01-18T03:15:39Z,160000,False,9.0,145.0,1,left,MISS M. Kleber 14' Jump Shot,[1628467],1610612747.0,LAL,,,,Kleber,M. Kleber,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,,,14.5,,,,,,,,,
17,PT10M54.00S,2026-01-18T03:15:32.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,2,2026-01-18T03:15:39Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,16.0,,,,,,,,
19,PT10M40.00S,2026-01-18T03:15:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631321,94.56307490144546,43.872549019607845,1610612757,4,2,2026-01-18T03:15:59Z,190000,False,-31.0,-1.0,1,right,S. Cissoko cutting Layup (2 PTS) (D. Clingan 1 AST),"[1631321, 1642270]",1610612757.0,POR,cutting,,,Cissoko,S. Cissoko,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,3.06,,,,,D. Clingan,1642270.0,1.0,,
21,PT10M18.00S,2026-01-18T03:16:15.3Z,1,REGULAR,foul,personal,[],1641739,,,1610612747,4,2,2026-01-18T03:16:49Z,210000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 203935]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Left Center,1628954.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
23,PT10M15.00S,2026-01-18T03:16:39.8Z,1,REGULAR,3pt,Jump Shot,[],1628467,25.969119579500656,15.931372549019606,1610612747,4,5,2026-01-18T03:18:31Z,230000,False,170.0,192.0,1,left,M. Kleber 25' 3PT  (5 PTS) (J. LaRavia 1 AST),"[1628467, 1631222]",1610612747.0,LAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Right Center,,,,,,Made,5.0,,,,25.63,,,,,J. LaRavia,1631222.0,1.0,,
25,PT10M00.00S,2026-01-18T03:16:56.3Z,1,REGULAR,foul,personal,['2freethrow'],1628467,,,1610612757,4,5,2026-01-18T03:17:03Z,250000,False,,,0,,M. Kleber shooting personal FOUL (1 PF) (Sharpe 2 FT),"[1628467, 1631101]",1610612747.0,LAL,shooting,,,Kleber,M. Kleber,,,,,Restricted Area,0-8 Center,1628954.0,1.0,0.0,Sharpe,1631101.0,,,,,,,,,,,,,,,
27,PT10M00.00S,2026-01-18T03:17:21.8Z,1,REGULAR,freethrow,1 of 2,[],1631101,,,1610612757,4,5,2026-01-18T03:17:21Z,270000,False,,,0,,MISS S. Sharpe Free Throw 1 of 2,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
28,PT10M00.00S,2026-01-18T03:17:21.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,4,5,2026-01-18T03:17:21Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,
29,PT10M00.00S,2026-01-18T03:17:40.5Z,1,REGULAR,freethrow,2 of 2,[],1631101,,,1610612757,5,5,2026-01-18T03:17:40Z,290000,False,,,0,,S. Sharpe Free Throw 2 of 2 (1 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
30,PT09M47.00S,2026-01-18T03:17:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,15.062417871222076,50.49019607843137,1610612747,5,5,2026-01-18T03:17:59Z,300000,False,-2.0,89.0,1,left,MISS G. Vincent 8' driving floating Shot,[1629216],1610612747.0,LAL,driving floating,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,8.91,,,,,,,,,
31,PT09M46.00S,2026-01-18T03:17:56.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,5,5,2026-01-18T03:17:59Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,30.0,,,,,,,,
33,PT09M37.00S,2026-01-18T03:18:14.3Z,1,REGULAR,3pt,Jump Shot,[],1631101,68.01905387647832,23.284313725490197,1610612757,5,5,2026-01-18T03:18:19Z,330000,False,-134.0,248.0,1,right,MISS S. Sharpe 28' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,28.18,,,,,,,,,
34,PT09M33.00S,2026-01-18T03:18:18.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,5,5,2026-01-18T03:18:19Z,340000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
35,PT09M26.00S,2026-01-18T03:18:24.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,10.85742444152431,51.225490196078425,1610612747,5,5,2026-01-18T03:18:30Z,350000,False,-6.0,50.0,1,left,MISS L. James driving DUNK,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,5.0,,,,,,,,,
36,PT09M25.00S,2026-01-18T03:18:25.7Z,1,REGULAR,rebound,offensive,[],1628467,,,1610612747,5,5,2026-01-18T03:18:25Z,360000,False,,,0,,M. Kleber REBOUND (Off:1 Def:0),[1628467],1610612747.0,LAL,,,,Kleber,M. Kleber,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,35.0,1.0,0.0,1.0,,,,,
37,PT09M23.00S,2026-01-18T03:18:28.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,34.247700394218136,54.41176470588235,1610612747,5,8,2026-01-18T03:18:32Z,370000,False,-22.0,269.0,1,left,M. Smart 27' 3PT  (3 PTS) (M. Kleber 1 AST),"[203935, 1628467]",1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,27.03,,,,,M. Kleber,1628467.0,1.0,,
39,PT09M11.00S,2026-01-18T03:18:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,94.43166885676742,46.81372549019608,1610612757,5,8,2026-01-18T03:18:43Z,390000,False,-16.0,0.0,1,right,MISS S. Sharpe driving Layup,[1631101],1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,1.59,,,,,,,,,
40,PT09M09.00S,2026-01-18T03:18:41.3Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,5,8,2026-01-18T03:18:43Z,400000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:0),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,39.0,1.0,0.0,1.0,,,,,
