actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-10T03:14:08.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-10T03:14:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-02-10T03:14:10.5Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2026-02-10T03:14:10Z,40000,False,,,0,,Jump Ball D. Clingan vs. A. Drummond: Tip to J. Grant,"[203924, 1642270, 203083]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Clingan,1642270.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-02-10T03:14:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,92.19776609724047,53.67647058823529,1610612757,2,0,2026-02-10T03:14:25Z,70000,False,18.0,21.0,1,right,D. Avdija driving Layup (2 PTS) (J. Holiday 1 AST),"[1630166, 201950]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.78,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
10,PT11M25.00S,2026-02-10T03:14:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,6.521024967148489,52.69607843137255,1610612755,2,2,2026-02-10T03:14:56Z,100000,False,-13.0,9.0,1,left,T. Watford driving reverse Layup (2 PTS) (K. Oubre Jr. 1 AST),"[1630570, 1626162]",1610612755.0,PHI,driving reverse,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2026-02-10T03:14:57.3Z,1,REGULAR,3pt,Jump Shot,[],1641739,91.14651773981603,2.941176470588235,1610612757,5,2,2026-02-10T03:15:01Z,110000,False,-235.0,31.0,1,right,T. Camara 3PT  (3 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.73,Made,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
13,PT10M54.00S,2026-02-10T03:15:21.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630178,13.354139290407357,40.931372549019606,1610612755,5,2,2026-02-10T03:15:32Z,130000,False,45.0,73.0,1,left,MISS T. Maxey 8' driving bank Hook,[1630178],1610612755.0,PHI,driving bank,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,8.59,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2026-02-10T03:15:22.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,5,2,2026-02-10T03:15:32Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.0,,,,,,,,,,,,,
15,PT10M53.00S,2026-02-10T03:15:31.1Z,1,REGULAR,foul,personal,[],201950,,,1610612755,5,2,2026-02-10T03:15:43Z,150000,False,,,0,,J. Holiday loose ball personal FOUL (1 PF),"[201950, 203083]",1610612757.0,POR,loose ball,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,204059.0,1.0,0.0,Drummond,203083.0,,,,,,,,
17,PT10M42.00S,2026-02-10T03:15:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612755,5,2,2026-02-10T03:16:05Z,170000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (Oubre Jr. 2 FT),"[1642270, 1626162]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627524.0,1.0,0.0,Oubre Jr.,1626162.0,,,,,,,,
20,PT10M42.00S,2026-02-10T03:16:25.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626162,,,1610612755,5,3,2026-02-10T03:16:25Z,190000,False,,,0,,K. Oubre Jr. Free Throw 1 of 2 (1 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M42.00S,2026-02-10T03:16:41.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626162,,,1610612755,5,4,2026-02-10T03:16:41Z,200000,False,,,0,,K. Oubre Jr. Free Throw 2 of 2 (2 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M32.00S,2026-02-10T03:16:53.6Z,1,REGULAR,3pt,Jump Shot,[],1642270,66.83639947437582,37.99019607843137,1610612757,8,4,2026-02-10T03:16:57Z,210000,False,-60.0,259.0,1,right,D. Clingan 26' 3PT  (3 PTS) (D. Avdija 2 AST),"[1642270, 1630166]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,26.61,Made,3.0,D. Avdija,1630166.0,2.0,,,,,,,,,,,,,,
24,PT10M20.00S,2026-02-10T03:17:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630570,9.280551905387648,47.794117647058826,1610612755,8,6,2026-02-10T03:17:13Z,230000,False,11.0,35.0,1,left,T. Watford driving floating bank Jump Shot (4 PTS),[1630570],1610612755.0,PHI,driving floating bank,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,3.64,Made,4.0,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2026-02-10T03:17:23.9Z,1,REGULAR,3pt,Jump Shot,[],201950,71.96123521681997,14.950980392156863,1610612757,8,6,2026-02-10T03:17:29Z,240000,False,-175.0,211.0,1,right,MISS J. Holiday 27' 3PT,[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,27.43,Missed,,,,,,,,,,,,,,,,,,
26,PT09M57.00S,2026-02-10T03:17:27.9Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,8,6,2026-02-10T03:17:29Z,250000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,25.0,,,,,,1.0,0.0,1.0,,,,,
27,PT09M54.00S,2026-02-10T03:17:33.8Z,1,REGULAR,violation,kicked ball,[],1630570,,,1610612757,8,6,2026-02-10T03:17:42Z,260000,False,,,0,,T. Watford kicked ball VIOLATION,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,1627524.0,,,,,,,,,,,,
28,PT09M52.00S,2026-02-10T03:17:47.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630166,66.70499342969777,21.323529411764707,1610612757,8,6,2026-02-10T03:17:54Z,270000,False,-143.0,260.0,1,right,MISS D. Avdija 29' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,29.74,Missed,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2026-02-10T03:17:49.4Z,1,REGULAR,rebound,offensive,[],201950,,,1610612757,8,6,2026-02-10T03:17:54Z,280000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,,,,,,1.0,0.0,1.0,,,,,
30,PT09M42.00S,2026-02-10T03:17:58.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630166,68.15045992115637,27.941176470588236,1610612757,8,6,2026-02-10T03:20:06Z,290000,False,-110.0,247.0,1,right,MISS D. Avdija 27' pullup 3PT,[1630166],1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,27.04,Missed,,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2026-02-10T03:18:02.5Z,1,REGULAR,rebound,offensive,[],203924,,,1610612757,8,6,2026-02-10T03:18:03Z,300000,False,,,0,,J. Grant REBOUND (Off:1 Def:0),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,,,,30.0,,,,,,1.0,0.0,1.0,,,,,
32,PT09M30.00S,2026-02-10T03:18:10.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201950,88.78120893561103,34.31372549019608,1610612757,8,6,2026-02-10T03:20:52Z,310000,False,-78.0,53.0,1,right,MISS J. Holiday 9' pullup bank Shot,[201950],1610612757.0,POR,pullup bank,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Left,9.46,Missed,,,,,,,,,,,,,,,,,,
33,PT09M26.00S,2026-02-10T03:18:14.7Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612755,8,6,2026-02-10T03:18:14Z,320000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,32.0,,,,,,1.0,1.0,0.0,,,,,
