actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-19T04:14:07.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-19T04:14:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-19T04:14:10.0Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2025-11-19T04:14:10Z,40000,False,,,0,,Jump Ball M. Williams vs. D. Clingan: Tip to D. Booker,"[1626164, 1631109, 1642270]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Williams,1631109.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-11-19T04:14:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631109,9.017739816031538,41.42156862745098,1610612756,0,2,2025-11-19T04:14:40Z,70000,False,43.0,32.0,1,left,M. Williams floating Jump Shot (2 PTS) (D. Brooks 1 AST),"[1631109, 1628415]",1610612756.0,PHX,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.37,Made,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-11-19T04:14:49.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1642270,84.83902759526939,49.01960784313725,1610612757,2,2,2025-11-19T04:15:01Z,90000,False,-5.0,90.0,1,right,D. Clingan 9' Jump Shot (2 PTS) (T. Camara 1 AST),"[1642270, 1641739]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,9.01,Made,2.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2025-11-19T04:14:52.5Z,1,REGULAR,violation,defensive goaltending,[],1631109,,,1610612757,2,2,2025-11-19T04:15:01Z,110000,False,,,0,,M. Williams defensive goaltending VIOLATION,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,,202027.0,,,,,,,,,,,,,
13,PT11M01.00S,2025-11-19T04:15:25.1Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612756,2,2,2025-11-19T04:15:32Z,130000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (Williams 2 FT),"[1642270, 1631109]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628171.0,1.0,0.0,Williams,1631109.0,,,,,,,,,
15,PT11M01.00S,2025-11-19T04:15:46.2Z,1,REGULAR,freethrow,1 of 2,[],1631109,,,1610612756,2,2,2025-11-19T04:15:46Z,150000,False,,,0,,MISS M. Williams Free Throw 1 of 2,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2025-11-19T04:15:46.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,2,2,2025-11-19T04:15:46Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
17,PT11M01.00S,2025-11-19T04:16:02.3Z,1,REGULAR,freethrow,2 of 2,[],1631109,,,1610612756,2,3,2025-11-19T04:16:02Z,170000,False,,,0,,M. Williams Free Throw 2 of 2 (3 PTS),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2025-11-19T04:16:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,93.64323258869908,47.549019607843135,1610612757,4,3,2025-11-19T04:16:18Z,180000,False,-12.0,7.0,1,right,S. Sharpe driving Layup (2 PTS) (D. Clingan 1 AST),"[1631101, 1642270]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,D. Clingan,1642270.0,1.0,,,,,,,,,,,,,,
