actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-19T03:12:17.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-19T03:12:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-19T03:12:20.4Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-12-19T03:12:20Z,40000,False,,,0,,Jump Ball D. Clingan vs. M. Raynaud: Tip to D. Avdija,"[1630166, 1642270, 1642875]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-12-19T03:12:29.9Z,1,REGULAR,3pt,Jump Shot,[],203924,75.77201051248358,8.57843137254902,1610612757,0,0,2025-12-19T03:22:04Z,70000,False,-207.0,175.0,1,right,MISS J. Grant 27' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,27.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-12-19T03:12:32.9Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,0,0,2025-12-19T03:22:04Z,80000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-12-19T03:12:46.8Z,1,REGULAR,turnover,lost ball,[],1641739,,,1610612757,0,0,2025-12-19T03:12:52Z,90000,False,,,0,,T. Camara lost ball TURNOVER (1 TO),"[1641739, 1630173]",1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Achiuwa,1630173.0,,,,,,,,,,,
10,PT11M30.00S,2025-12-19T03:12:46.8Z,1,REGULAR,steal,,[],1630173,,,1610612758,0,0,2025-12-19T03:12:51Z,100000,False,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-12-19T03:12:55.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630173,9.280551905387648,59.31372549019608,1610612758,0,0,2025-12-19T03:13:00Z,110000,False,-47.0,35.0,1,left,MISS P. Achiuwa fadeaway Shot,[1630173],1610612758.0,SAC,fadeaway,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2025-12-19T03:12:58.7Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,0,2025-12-19T03:13:00Z,120000,False,,,0,,T. Camara REBOUND (Off:1 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M07.00S,2025-12-19T03:13:09.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642270,92.59198423127464,44.85294117647059,1610612757,2,0,2025-12-19T03:13:15Z,130000,False,-26.0,17.0,1,right,D. Clingan alley-oop DUNK (2 PTS) (D. Avdija 1 AST),"[1642270, 1630166]",1610612757.0,POR,alley-oop,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,,,
15,PT10M43.00S,2025-12-19T03:13:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,15.588042049934298,51.470588235294116,1610612758,2,2,2025-12-19T03:13:49Z,150000,False,-7.0,94.0,1,left,M. Raynaud 9' floating Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1642875, 201566]",1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),8-16 Center,9.43,Made,,,,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,
