actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-03T02:12:30.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-03T02:12:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-03T02:12:32.6Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2026-04-03T02:12:32Z,40000,False,,,0,,Jump Ball D. Clingan vs. Z. Williamson: Tip to D. Avdija,"[1630166, 1642270, 1629627]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Williamson,1629627.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-04-03T02:12:50.0Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612757,0,0,2026-04-03T02:12:57Z,70000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630530, 1630166]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,1627526.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2026-04-03T02:13:14.7Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612757,1,0,2026-04-03T02:13:32Z,90000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2026-04-03T02:13:14.7Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612757,1,0,2026-04-03T02:13:32Z,100000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M40.00S,2026-04-03T02:13:16.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,1,0,2026-04-03T02:13:32Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
13,PT11M30.00S,2026-04-03T02:13:54.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630703,74.45795006570303,17.401960784313726,1610612757,4,0,2026-04-03T02:13:59Z,130000,False,-163.0,188.0,1,right,S. Henderson 24' 3PT step back (3 PTS),[1630703],1610612757.0,POR,step back,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,24.85,,,,,,,,,,,
14,PT11M13.00S,2026-04-03T02:14:10.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,9.280551905387648,4.901960784313726,1610612740,4,3,2026-04-03T02:14:14Z,140000,False,225.0,35.0,1,left,H. Jones 3PT  (3 PTS) (D. Murray 1 AST),"[1630529, 1627749]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,22.82,D. Murray,1627749.0,1.0,,,,,,,,
17,PT10M56.00S,2026-04-03T02:14:35.2Z,1,REGULAR,3pt,Jump Shot,[],1641739,91.01511169513797,3.9215686274509802,1610612757,4,3,2026-04-03T02:14:40Z,170000,False,-230.0,32.0,1,right,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.26,,,,,,,,,,,
18,PT10M54.00S,2026-04-03T02:14:37.2Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,4,3,2026-04-03T02:14:40Z,180000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Left Corner 3,24+ Left,,,,,,,,17.0,,,,,1.0,0.0,1.0,,,,,
19,PT10M51.00S,2026-04-03T02:14:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,91.01511169513797,52.20588235294118,1610612757,6,3,2026-04-03T02:16:57Z,190000,False,11.0,32.0,1,right,D. Clingan driving Layup (2 PTS),[1642270],1610612757.0,POR,driving,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,3.38,,,,,,,,,,,
20,PT10M36.00S,2026-04-03T02:14:55.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,12.171484888304862,96.07843137254902,1610612740,6,6,2026-04-03T02:14:59Z,200000,False,-230.0,62.0,1,left,S. Bey 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630180, 1629627]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,,23.86,Z. Williamson,1629627.0,1.0,,,,,,,,
22,PT10M20.00S,2026-04-03T02:15:22.2Z,1,REGULAR,turnover,out-of-bounds,[],1642270,,,1610612757,6,6,2026-04-03T02:15:30Z,220000,False,,,0,,D. Clingan bad pass out-of-bounds TURNOVER (1 TO),[1642270],1610612757.0,POR,bad pass,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Left,1627526.0,,,,,,,,,,,,,,,1.0,,,,
23,PT10M06.00S,2026-04-03T02:15:46.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,28.86005256241787,22.54901960784314,1610612740,6,6,2026-04-03T02:15:50Z,230000,False,137.0,219.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.83,,,,,,,,,,,
24,PT10M03.00S,2026-04-03T02:15:49.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,6,6,2026-04-03T02:15:50Z,240000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,,23.0,,,,,1.0,1.0,0.0,,,,,
25,PT09M58.00S,2026-04-03T02:15:54.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,67.09921156373193,48.529411764705884,1610612757,9,6,2026-04-03T02:18:51Z,250000,False,-7.0,257.0,1,right,J. Holiday 25' 3PT running pullup (3 PTS),[201950],1610612757.0,POR,running pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,25.69,,,,,,,,,,,
