actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-25T02:12:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-25T02:12:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-25T02:12:50.4Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-10-25T02:12:50Z,40000,False,,,0,,Jump Ball D. Clingan vs. Q. Post: Tip to D. Avdija,"[1630166, 1642270, 1642366]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-10-25T02:13:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,5.995400788436268,47.794117647058826,1610612757,2,0,2025-10-25T02:13:10Z,70000,False,11.0,4.0,1,left,D. Avdija cutting Layup (2 PTS) (D. Clingan 1 AST),"[1630166, 1642270]",1610612757.0,POR,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,D. Clingan,1642270.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-10-25T02:13:21.7Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,2,0,2025-10-25T02:13:28Z,90000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,1.0,,,,,,,,,,,,
10,PT11M25.00S,2025-10-25T02:13:27.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641739,6.783837056504599,94.36274509803921,1610612757,2,0,2025-10-25T02:13:33Z,100000,False,-222.0,11.0,1,left,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,22.21,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2025-10-25T02:13:30.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,0,2025-10-25T02:13:33Z,110000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M12.00S,2025-10-25T02:13:39.3Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,2,0,2025-10-25T02:13:42Z,120000,False,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 1641739]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,2.0,,,,,Camara,1641739.0,,,,,,
13,PT11M12.00S,2025-10-25T02:13:39.3Z,1,REGULAR,steal,,[],1641739,,,1610612757,2,0,2025-10-25T02:13:41Z,130000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2025-10-25T02:13:45.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201950,33.196452036793694,37.254901960784316,1610612757,2,0,2025-10-25T02:13:51Z,140000,False,64.0,260.0,1,left,MISS J. Holiday 26' running 3PT,[201950],1610612757.0,POR,running,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2025-10-25T02:13:47.6Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,2,0,2025-10-25T02:13:49Z,150000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
