actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-24T03:11:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-24T03:11:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-24T03:11:46.5Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612753,0,0,2025-12-24T03:11:46Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. D. Clingan: Tip to T. Jones,"[1626145, 1628976, 1642270]",1610612753.0,ORL,startperiod,T. Jones,1626145.0,Jones,T. Jones,Carter Jr.,1628976.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-24T03:11:56.4Z,1,REGULAR,3pt,Jump Shot,[],1641710,32.40801576872536,29.166666666666668,1610612753,0,3,2025-12-24T03:12:31Z,70000,False,104.0,252.0,1,left,A. Black 27' 3PT pullup (3 PTS),[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,Above the Break 3,24+ Right Center,27.28,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2025-12-24T03:12:18.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642270,94.03745072273325,41.66666666666667,1610612757,0,3,2025-12-24T03:12:24Z,80000,False,-42.0,4.0,1,right,MISS D. Clingan Hook,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2025-12-24T03:12:20.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,3,2025-12-24T03:12:24Z,90000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2025-12-24T03:12:26.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,28.07161629434954,17.401960784313726,1610612753,0,3,2025-12-24T03:12:30Z,100000,False,163.0,211.0,1,left,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2025-12-24T03:12:29.0Z,1,REGULAR,rebound,defensive,[],1631200,,,1610612757,0,3,2025-12-24T03:12:30Z,110000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M00.00S,2025-12-24T03:12:43.7Z,1,REGULAR,3pt,Jump Shot,[],1641739,73.27529566360053,14.460784313725492,1610612757,0,3,2025-12-24T03:12:49Z,120000,False,-178.0,199.0,1,right,MISS T. Camara 26' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.66,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2025-12-24T03:12:48.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612753,0,3,2025-12-24T03:12:49Z,130000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M51.00S,2025-12-24T03:12:52.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630217,9.280551905387648,41.911764705882355,1610612753,0,3,2025-12-24T03:15:06Z,140000,False,40.0,35.0,1,left,MISS D. Bane running finger roll Layup - blocked,"[1630217, 1631200]",1610612753.0,ORL,running finger roll,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,Murray,1631200.0,,,,,,,,,,,
15,PT10M51.00S,2025-12-24T03:12:52.6Z,1,REGULAR,block,,[],1631200,,,1610612753,0,3,2025-12-24T03:12:55Z,150000,False,,,0,,K. Murray BLOCK (1 BLK),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2025-12-24T03:12:52.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,3,2025-12-24T03:13:09Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,14.0,,,,,,,,,,,,,,,,
18,PT10M49.00S,2025-12-24T03:13:08.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641710,5.601182654402102,95.34313725490196,1610612753,0,6,2025-12-24T03:13:13Z,180000,False,-227.0,0.0,1,left,A. Black 3PT  (6 PTS) (T. Jones 1 AST),"[1641710, 1626145]",1610612753.0,ORL,,,,Black,A. Black,,,,,Left Corner 3,24+ Left,22.67,Made,6.0,,,,,,,T. Jones,1626145.0,1.0,,,,,,,,
