actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-11T02:13:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-11T02:13:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-11T02:13:34.1Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2026-04-11T02:13:34Z,40000,False,,,0,,Jump Ball D. Clingan vs. B. Lopez: Tip to D. Avdija,"[1630166, 1642270, 201572]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-04-11T02:13:54.3Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612757,0,0,2026-04-11T02:14:04Z,70000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Holiday 2 FT),"[1627739, 201950]",1610612746.0,LAC,shooting,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Right,203591.0,1.0,0.0,Holiday,201950.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-04-11T02:14:19.8Z,1,REGULAR,freethrow,1 of 2,[],201950,,,1610612757,1,0,2026-04-11T02:14:19Z,90000,False,,,0,,J. Holiday Free Throw 1 of 2 (1 PTS),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M39.00S,2026-04-11T02:14:31.2Z,1,REGULAR,freethrow,2 of 2,[],201950,,,1610612757,2,0,2026-04-11T02:14:31Z,100000,False,,,0,,J. Holiday Free Throw 2 of 2 (2 PTS),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M26.00S,2026-04-11T02:14:46.0Z,1,REGULAR,2pt,Jump Shot,[],202695,76.16622864651774,27.941176470588236,1610612746,2,0,2026-04-11T02:14:55Z,110000,False,-110.0,172.0,1,right,MISS K. Leonard 20' pullup Shot,[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,20.39,,,,,,,,,,,,
12,PT11M23.00S,2026-04-11T02:14:49.0Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,2,0,2026-04-11T02:14:55Z,120000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,16-24 Left Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M20.00S,2026-04-11T02:14:53.9Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612757,2,0,2026-04-11T02:15:03Z,130000,False,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Avdija 2 FT),"[1627884, 1630166]",1610612746.0,LAC,shooting,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,8-16 Left,202027.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
15,PT11M20.00S,2026-04-11T02:15:16.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630166,,,1610612757,3,0,2026-04-11T02:15:43Z,150000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
16,PT11M20.00S,2026-04-11T02:15:16.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630166,,,1610612757,4,0,2026-04-11T02:15:43Z,160000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
17,PT11M10.00S,2026-04-11T02:15:45.7Z,1,REGULAR,foul,personal,[],1641739,,,1610612746,4,0,2026-04-11T02:15:58Z,170000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 1629636]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Right,1628487.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,
