actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-11T23:12:45.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-11T23:12:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-11T23:12:47.0Z,1,REGULAR,jumpball,recovered,[],1631321,,,1610612757,0,0,2026-01-11T23:12:47Z,40000,False,,,0,,Jump Ball D. Clingan vs. K. Towns: Tip to S. Cissoko,"[1631321, 1642270, 1626157]",1610612757.0,POR,startperiod,S. Cissoko,1631321.0,Cissoko,S. Cissoko,Clingan,1642270.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-01-11T23:12:56.0Z,1,REGULAR,3pt,Jump Shot,[],1641739,93.24901445466492,2.941176470588235,1610612757,0,0,2026-01-11T23:13:00Z,70000,False,-235.0,11.0,1,right,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-01-11T23:13:00.0Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2026-01-11T23:13:00Z,80000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M39.00S,2026-01-11T23:13:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,16.376478318002626,95.09803921568627,1610612752,0,0,2026-01-11T23:14:14Z,90000,False,-225.0,101.0,1,left,MISS M. Bridges 24' running 3PT,[1628969],1610612752.0,NYK,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.72,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2026-01-11T23:13:06.2Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,0,2026-01-11T23:13:08Z,100000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M31.00S,2026-01-11T23:13:13.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,70.90998685939553,74.26470588235294,1610612757,3,0,2026-01-11T23:13:17Z,110000,False,121.0,221.0,1,right,D. Avdija 25' 3PT pullup (3 PTS),[1630166],1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.2,Made,,,,,3.0,,,,,,,,,,,,,
12,PT11M04.00S,2026-01-11T23:13:39.2Z,1,REGULAR,3pt,Jump Shot,[],1628384,8.886333771353483,3.431372549019608,1610612752,3,3,2026-01-11T23:13:43Z,120000,False,233.0,31.0,1,left,O. Anunoby 3PT  (3 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,23.49,Made,,,,,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,
14,PT10M47.00S,2026-01-11T23:13:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631321,93.51182654402102,45.83333333333333,1610612757,3,3,2026-01-11T23:14:58Z,140000,False,-21.0,8.0,1,right,MISS S. Cissoko Layup,[1631321],1610612757.0,POR,,,,Cissoko,S. Cissoko,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2026-01-11T23:13:58.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,3,3,2026-01-11T23:14:01Z,150000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M38.00S,2026-01-11T23:14:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.258212877792378,47.794117647058826,1610612752,3,3,2026-01-11T23:14:09Z,160000,False,11.0,6.0,1,left,MISS J. Brunson driving Layup,[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2026-01-11T23:14:06.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,3,3,2026-01-11T23:14:09Z,170000,False,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M37.00S,2026-01-11T23:14:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,5.590000152587891,50.0,1610612752,3,5,2026-01-11T23:14:07Z,180000,False,0.0,0.0,1,left,K. Towns tip Layup (2 PTS),[1626157],1610612752.0,NYK,tip,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M30.00S,2026-01-11T23:14:16.6Z,1,REGULAR,2pt,Jump Shot,[],1631101,77.34888304862024,44.85294117647059,1610612757,3,5,2026-01-11T23:17:28Z,190000,False,-26.0,160.0,1,right,MISS S. Sharpe 16' pullup Shot - blocked,"[1631101, 1626157]",1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,16.24,Missed,,,,,,,,,Towns,1626157.0,,,,,,,,
20,PT10M30.00S,2026-01-11T23:14:16.6Z,1,REGULAR,block,,[],1626157,,,1610612757,3,5,2026-01-11T23:14:18Z,200000,False,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2026-01-11T23:14:17.6Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,3,5,2026-01-11T23:17:23Z,210000,False,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M21.00S,2026-01-11T23:14:23.5Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612752,3,5,2026-01-11T23:18:35Z,220000,False,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1630166]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Avdija,1630166.0,,,,,
23,PT10M21.00S,2026-01-11T23:14:23.5Z,1,REGULAR,steal,,[],1630166,,,1610612757,3,5,2026-01-11T23:14:25Z,230000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2026-01-11T23:14:27.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631101,93.38042049934296,48.28431372549019,1610612757,5,5,2026-01-11T23:14:35Z,240000,False,-9.0,10.0,1,right,S. Sharpe running alley-oop DUNK (2 PTS) (D. Avdija 1 AST),"[1631101, 1630166]",1610612757.0,POR,running alley-oop,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,,
26,PT10M02.00S,2026-01-11T23:14:41.7Z,1,REGULAR,3pt,Jump Shot,[],1628404,27.94021024967148,26.96078431372549,1610612752,5,8,2026-01-11T23:16:36Z,260000,False,115.0,210.0,1,left,J. Hart 3PT pullup (3 PTS),[1628404],1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,23.96,Made,,,,,3.0,,,,,,,,,,,,,
27,PT09M46.00S,2026-01-11T23:14:58.2Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612757,5,8,2026-01-11T23:15:01Z,270000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1628969]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,
28,PT09M46.00S,2026-01-11T23:14:58.2Z,1,REGULAR,steal,,[],1628969,,,1610612752,5,8,2026-01-11T23:14:59Z,280000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2026-01-11T23:15:01.1Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612752,5,8,2026-01-11T23:15:38Z,290000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1631101]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Sharpe,1631101.0,,,,,
