actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-03-24T02:12:18.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-24T02:12:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-24T02:12:20.5Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612751,0,0,2026-03-24T02:12:20Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Clingan: Tip to Z. Williams,"[1630533, 1629651, 1642270]",1610612751.0,BKN,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Claxton,1629651.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2026-03-24T02:12:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.258212877792378,49.01960784313725,1610612751,0,2,2026-03-24T02:12:45Z,70000,False,5.0,6.0,1,left,N. Claxton driving Layup (2 PTS),[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2026-03-24T02:12:55.9Z,1,REGULAR,turnover,traveling,[],201950,,,1610612757,0,2,2026-03-24T02:13:01Z,80000,False,,,0,,J. Holiday traveling TURNOVER (1 TO),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,,2002.0,1.0,,,,,,,,,,,,,,,
9,PT11M15.00S,2026-03-24T02:13:16.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629651,21.632720105124836,48.529411764705884,1610612751,0,2,2026-03-24T02:15:07Z,90000,False,7.0,151.0,1,left,MISS N. Claxton 15' floating Shot - blocked,"[1629651, 1642270]",1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Center,15.1,Missed,,,,Clingan,1642270.0,,,,,,,,,,,,,
10,PT11M15.00S,2026-03-24T02:13:16.4Z,1,REGULAR,block,,[],1642270,,,1610612751,0,2,2026-03-24T02:13:18Z,100000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2026-03-24T02:13:17.4Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,2,2026-03-24T02:15:07Z,110000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M13.00S,2026-03-24T02:13:22.8Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612751,0,2,2026-03-24T02:13:28Z,120000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (Claxton 2 FT),"[1642270, 1629651]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,2002.0,,,,,,,,1.0,0.0,Claxton,1629651.0,,,,,
14,PT11M13.00S,2026-03-24T02:13:43.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629651,,,1610612751,0,3,2026-03-24T02:13:43Z,140000,False,,,0,,N. Claxton Free Throw 1 of 2 (3 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2026-03-24T02:13:57.5Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629651,,,1610612751,0,4,2026-03-24T02:13:57Z,150000,False,,,0,,N. Claxton Free Throw 2 of 2 (4 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
