actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-01T02:12:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-01T02:12:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-01T02:12:22.5Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-11-01T02:12:22Z,40000,False,,,0,,Jump Ball D. Clingan vs. N. Jokić: Tip to D. Avdija,"[1630166, 1642270, 203999]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-11-01T02:12:42.5Z,1,REGULAR,3pt,Jump Shot,[],1641739,76.16622864651774,87.25490196078431,1610612757,0,0,2025-11-01T02:12:49Z,70000,False,186.0,172.0,1,right,MISS T. Camara 25' step back 3PT,[1641739],1610612757.0,POR,step back,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,25.32,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-01T02:12:45.5Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,0,0,2025-11-01T02:12:49Z,80000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-11-01T02:12:50.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,69.59592641261499,27.696078431372552,1610612757,0,0,2025-11-01T02:13:24Z,90000,False,-112.0,233.0,1,right,MISS J. Holiday 25' step back 3PT,[201950],1610612757.0,POR,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-11-01T02:12:53.5Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,0,2025-11-01T02:12:53Z,100000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M24.00S,2025-11-01T02:12:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,93.24901445466492,47.549019607843135,1610612757,0,0,2025-11-01T02:13:02Z,110000,False,-12.0,11.0,1,right,MISS D. Clingan reverse Layup - blocked,"[1642270, 203999]",1610612757.0,POR,reverse,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,Jokić,203999.0,,,,,,,,,,,,
12,PT11M24.00S,2025-11-01T02:12:55.6Z,1,REGULAR,block,,[],203999,,,1610612757,0,0,2025-11-01T02:12:57Z,120000,False,,,0,,N. Jokić BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2025-11-01T02:12:55.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2025-11-01T02:13:02Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2025-11-01T02:13:16.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,62.89421813403416,62.00980392156863,1610612757,0,0,2025-11-01T02:13:24Z,150000,False,60.0,296.0,1,right,MISS S. Sharpe 30' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,30.23,Missed,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2025-11-01T02:13:20.5Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2025-11-01T02:13:24Z,160000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT11M01.00S,2025-11-01T02:13:53.2Z,1,REGULAR,foul,offensive,[],1627750,,,1610612743,0,0,2025-11-01T02:14:01Z,180000,False,,,0,,J. Murray offensive FOUL (1 PF),"[1627750, 1641739]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,1628159.0,1.0,0.0,Camara,1641739.0,,,,,,,
20,PT11M01.00S,2025-11-01T02:13:53.2Z,1,REGULAR,turnover,offensive foul,[],1627750,,,1610612743,0,0,2025-11-01T02:13:53Z,200000,False,,,0,,J. Murray offensive foul TURNOVER (1 TO),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,1628159.0,,,,,1.0,,,,,,
21,PT10M44.00S,2025-11-01T02:14:28.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631101,67.7562417871222,25.98039215686275,1610612757,0,0,2025-11-01T02:14:34Z,210000,False,-120.0,251.0,1,right,MISS S. Sharpe 27' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,27.79,Missed,,,,,,,,,,,,,,,,,,
22,PT10M39.00S,2025-11-01T02:14:33.8Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,0,0,2025-11-01T02:14:34Z,220000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M36.00S,2025-11-01T02:14:36.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627750,4.418528252299605,50.245098039215684,1610612743,0,2,2025-11-01T02:14:42Z,230000,False,-1.0,-11.0,1,left,J. Murray running DUNK (2 PTS) (C. Braun 1 AST),"[1627750, 1631128]",1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,,,,,,,,,2.0,C. Braun,1631128.0,1.0,,
25,PT10M28.00S,2025-11-01T02:14:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630166,93.38042049934296,3.1862745098039214,1610612757,3,2,2025-11-01T02:14:48Z,250000,False,-234.0,10.0,1,right,D. Avdija 3PT  (3 PTS) (T. Camara 1 AST),"[1630166, 1641739]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,23.43,Made,,,,,,,,,,,,,3.0,T. Camara,1641739.0,1.0,,
27,PT10M07.00S,2025-11-01T02:15:05.9Z,1,REGULAR,3pt,Jump Shot,[],1629661,11.777266754270697,95.09803921568627,1610612743,3,2,2025-11-01T02:15:11Z,270000,False,-225.0,58.0,1,left,MISS C. Johnson 3PT,[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2025-11-01T02:15:08.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,2,2025-11-01T02:15:11Z,280000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M59.00S,2025-11-01T02:15:13.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641739,93.51182654402102,56.127450980392155,1610612757,3,2,2025-11-01T02:17:11Z,290000,False,31.0,8.0,1,right,MISS T. Camara running Layup,[1641739],1610612757.0,POR,running,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.18,Missed,,,,,,,,,,,,,,,,,,
