actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-09T01:12:02.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-09T01:12:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-09T01:12:05.3Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2026-03-09T01:12:05Z,40000,False,,,0,,Jump Ball J. Huff vs. D. Clingan: Tip to A. Nembhard,"[1629614, 1630643, 1642270]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Huff,1630643.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2026-03-09T01:12:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,85.49605781865965,95.09803921568627,1610612754,0,3,2026-03-09T01:12:15Z,70000,False,225.0,84.0,1,right,A. Nesmith 24' 3PT  (3 PTS) (A. Nembhard 1 AST),"[1630174, 1629614]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,24.06,Made,3.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-03-09T01:12:26.4Z,1,REGULAR,3pt,Jump Shot,[],203924,10.85742444152431,5.147058823529411,1610612757,3,3,2026-03-09T01:12:30Z,90000,False,224.0,50.0,1,left,J. Grant 3PT  (3 PTS) (D. Avdija 1 AST),"[203924, 1630166]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,22.97,Made,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2026-03-09T01:12:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630643,92.9862023653088,48.529411764705884,1610612754,3,5,2026-03-09T01:12:46Z,110000,False,-7.0,13.0,1,right,J. Huff driving finger roll Layup (2 PTS) (A. Nembhard 2 AST),"[1630643, 1629614]",1610612754.0,IND,driving finger roll,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,1.53,Made,2.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,,,
13,PT11M07.00S,2026-03-09T01:12:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,6.389618922470433,45.588235294117645,1610612757,3,5,2026-03-09T01:12:59Z,130000,False,22.0,8.0,1,left,MISS D. Avdija driving Layup - blocked,"[1630166, 1630643]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,Huff,1630643.0,,,,,,,,,,,,
14,PT11M07.00S,2026-03-09T01:12:54.2Z,1,REGULAR,block,,[],1630643,,,1610612757,3,5,2026-03-09T01:12:58Z,140000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2026-03-09T01:12:55.2Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,3,5,2026-03-09T01:15:56Z,150000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
16,PT10M59.00S,2026-03-09T01:13:04.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630166,6.915243101182654,46.568627450980394,1610612757,5,5,2026-03-09T01:13:09Z,160000,False,17.0,13.0,1,left,D. Avdija driving Hook (2 PTS),[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.13,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M59.00S,2026-03-09T01:13:07.4Z,1,REGULAR,foul,personal,['1freethrow'],1630643,,,1610612757,5,5,2026-03-09T01:13:16Z,180000,False,,,0,,J. Huff shooting personal FOUL (1 PF) (Avdija 1 FT),"[1630643, 1630166]",1610612754.0,IND,shooting,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202007.0,1.0,0.0,Avdija,1630166.0,,,
