actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-09T00:13:55.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-09T00:13:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-09T00:13:59.0Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-01-09T00:13:59Z,40000,False,,,0,,Jump Ball J. Allen vs. I. Hartenstein: Tip to E. Mobley,"[1630596, 1628386, 1628392]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-09T00:14:10.5Z,1,REGULAR,3pt,Jump Shot,[],1629731,93.77463863337714,1.715686274509804,1610612739,3,0,2025-01-09T00:14:14Z,70000,False,-241.0,6.0,1,right,D. Wade 24' 3PT  (3 PTS) (J. Allen 1 AST),"[1629731, 1628386]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Left Corner 3,24+ Left,24.15,Made,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-01-09T00:14:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,16.376478318002626,48.77450980392157,1610612760,3,0,2025-01-09T00:14:35Z,90000,False,6.0,101.0,1,left,MISS S. Gilgeous-Alexander 10' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,10.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2025-01-09T00:14:33.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,3,0,2025-01-09T00:14:33Z,100000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M15.00S,2025-01-09T00:14:38.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,93.9060446780552,94.85294117647058,1610612739,6,0,2025-01-09T00:14:47Z,110000,False,224.0,5.0,1,right,D. Garland 3PT running (3 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,22.44,Made,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
13,PT11M02.00S,2025-01-09T00:14:55.9Z,1,REGULAR,foul,personal,[],1628386,,,1610612760,6,0,2025-01-09T00:15:05Z,130000,False,,,0,,J. Allen personal FOUL (1 PF),"[1628386, 1628983]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,,,101284.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
15,PT10M51.00S,2025-01-09T00:15:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,7.835085413929041,48.529411764705884,1610612760,6,0,2025-01-09T00:15:41Z,150000,False,7.0,21.0,1,left,MISS C. Wallace driving Layup - blocked,"[1641717, 1630596]",1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,2.24,Missed,,,,,,,,,,,,,,Mobley,1630596.0,,,
16,PT10M51.00S,2025-01-09T00:15:26.6Z,1,REGULAR,block,,[],1630596,,,1610612760,6,0,2025-01-09T00:24:14Z,160000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2025-01-09T00:15:28.6Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,6,0,2025-01-09T00:15:49Z,170000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
