actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-08T23:10:46.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-08T23:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-04-08T23:10:51.1Z,1,REGULAR,jumpball,recovered,[],1630172,,,1610612741,0,0,2025-04-08T23:10:51Z,40000,False,,,0,,Jump Ball J. Smith vs. J. Allen: Tip to P. Williams,"[1630172, 1630188, 1628386]",1610612741.0,CHI,startperiod,P. Williams,1630172.0,Williams,P. Williams,Smith,1630188.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-04-08T23:11:01.9Z,1,REGULAR,2pt,Jump Shot,[],1630188,87.07293035479631,25.98039215686275,1610612741,0,0,2025-04-08T23:11:07Z,70000,False,-120.0,69.0,1,right,MISS J. Smith 13' driving floating Shot,[1630188],1610612741.0,CHI,driving floating,,,Smith,J. Smith,,,,,Mid-Range,8-16 Left,13.85,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-04-08T23:11:04.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2025-04-08T23:11:07Z,80000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-04-08T23:11:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630596,28.33442838370565,76.47058823529412,1610612739,0,0,2025-04-08T23:11:19Z,90000,False,-132.0,214.0,1,left,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2025-04-08T23:11:19.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,0,0,2025-04-08T23:21:51Z,100000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2025-04-08T23:11:27.8Z,1,REGULAR,3pt,Jump Shot,[],1630172,68.28186596583443,77.69607843137256,1610612741,0,3,2025-04-08T23:11:32Z,110000,False,138.0,246.0,1,right,P. Williams 28' 3PT  (3 PTS),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,28.2,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M57.00S,2025-04-08T23:11:48.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,8.886333771353483,55.63725490196079,1610612739,2,3,2025-04-08T23:11:54Z,120000,False,-28.0,31.0,1,left,J. Allen turnaround bank Hook (2 PTS),[1628386],1610612739.0,CLE,turnaround bank,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,4.19,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M43.00S,2025-04-08T23:12:02.1Z,1,REGULAR,turnover,bad pass,[],1630172,,,1610612741,2,3,2025-04-08T23:22:00Z,130000,False,,,0,,P. Williams bad pass TURNOVER (1 TO),"[1630172, 1628386]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Allen,1628386.0,,,,,,,,,,
14,PT10M43.00S,2025-04-08T23:12:02.1Z,1,REGULAR,steal,,[],1628386,,,1610612739,2,3,2025-04-08T23:12:04Z,140000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
