actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-02T23:14:01.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-02T23:14:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-02T23:14:03.2Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-04-02T23:14:03Z,40000,False,,,0,,Jump Ball J. Allen vs. K. Towns: Tip to E. Mobley,"[1630596, 1628386, 1626157]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-04-02T23:14:18.4Z,1,REGULAR,3pt,Jump Shot,[],1629636,93.11760840998686,3.6764705882352944,1610612739,0,0,2025-04-02T23:14:23Z,70000,False,-232.0,12.0,1,right,MISS D. Garland step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Left Corner 3,24+ Left,23.19,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-04-02T23:14:21.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,0,0,2025-04-02T23:14:21Z,80000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M12.00S,2025-04-02T23:14:40.3Z,1,REGULAR,3pt,Jump Shot,[],1628404,24.917871222076215,84.55882352941177,1610612752,0,0,2025-04-02T23:14:43Z,90000,False,-173.0,182.0,1,left,MISS J. Hart 25' 3PT,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2025-04-02T23:14:43.3Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,0,2025-04-02T23:14:43Z,100000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M01.00S,2025-04-02T23:14:54.1Z,1,REGULAR,foul,personal,['2freethrow'],1626153,,,1610612739,0,0,2025-04-02T23:15:03Z,110000,False,,,0,,D. Wright shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1626153, 1628378]",1610612752.0,NYK,shooting,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101284.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
13,PT11M01.00S,2025-04-02T23:15:20.6Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,1,0,2025-04-02T23:15:20Z,130000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M01.00S,2025-04-02T23:15:42.9Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,2,0,2025-04-02T23:15:42Z,140000,False,,,0,,D. Mitchell Free Throw 2 of 2 (2 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M45.00S,2025-04-02T23:16:00.8Z,1,REGULAR,3pt,Jump Shot,[],1626153,5.075558475689881,2.696078431372549,1610612752,2,0,2025-04-02T23:16:04Z,150000,False,237.0,-5.0,1,left,MISS D. Wright 3PT,[1626153],1610612752.0,NYK,,,,Wright,D. Wright,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2025-04-02T23:16:02.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,0,2025-04-02T23:16:04Z,160000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M37.00S,2025-04-02T23:16:12.6Z,1,REGULAR,turnover,out-of-bounds,[],1629622,,,1610612739,2,0,2025-04-02T23:16:20Z,170000,False,,,0,,M. Strus step out-of-bounds TURNOVER (1 TO),[1629622],1610612739.0,CLE,step,,,Strus,M. Strus,,,,,Mid-Range,16-24 Right,,,,,,,101284.0,,,,,,1.0,,,,,,,
18,PT10M19.00S,2025-04-02T23:16:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,5.732588699080158,49.26470588235294,1610612752,2,2,2025-04-02T23:16:46Z,180000,False,4.0,1.0,1,left,K. Towns driving Layup (2 PTS) (M. Bridges 1 AST),"[1626157, 1628969]",1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,0.4,Made,,,,,,,,,,2.0,,M. Bridges,1628969.0,1.0,,,,
20,PT10M19.00S,2025-04-02T23:16:45.7Z,1,REGULAR,foul,personal,['1freethrow'],1628386,,,1610612752,2,2,2025-04-02T23:16:54Z,200000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Towns 1 FT),"[1628386, 1626157]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,0.0,Towns,1626157.0,,,,,,,,,
22,PT10M19.00S,2025-04-02T23:17:18.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1626157,,,1610612752,2,2,2025-04-02T23:17:20Z,220000,False,,,0,,MISS K. Towns Free Throw 1 of 1,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M17.00S,2025-04-02T23:17:20.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,2,2025-04-02T23:17:20Z,230000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M07.00S,2025-04-02T23:17:29.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,94.1688567674113,49.01960784313725,1610612739,4,2,2025-04-02T23:17:34Z,240000,False,-5.0,2.0,1,right,J. Allen alley-oop DUNK (2 PTS) (M. Strus 1 AST),"[1628386, 1629622]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.54,Made,,,,,,,,,,2.0,,M. Strus,1629622.0,1.0,,,,
26,PT09M50.00S,2025-04-02T23:17:50.7Z,1,REGULAR,foul,personal,[],1629636,,,1610612752,4,2,2025-04-02T23:18:22Z,260000,False,,,0,,D. Garland personal FOUL (1 PF),"[1629636, 1628384]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,,203591.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,
28,PT09M38.00S,2025-04-02T23:18:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628404,4.812746386333772,97.30392156862744,1610612752,4,5,2025-04-02T23:18:26Z,280000,False,-237.0,-7.0,1,left,J. Hart 3PT  (3 PTS) (O. Anunoby 1 AST),"[1628404, 1628384]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,23.66,Made,,,,,,,,,,3.0,,O. Anunoby,1628384.0,1.0,,,,
30,PT09M22.00S,2025-04-02T23:18:41.6Z,1,REGULAR,foul,personal,[],1628384,,,1610612739,4,5,2025-04-02T23:18:53Z,300000,False,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 1628386]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,1.0,0.0,Allen,1628386.0,,,,,,,,,
32,PT09M14.00S,2025-04-02T23:19:11.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,86.41590013140605,52.94117647058824,1610612739,4,5,2025-04-02T23:19:17Z,320000,False,15.0,75.0,1,right,MISS E. Mobley 7' turnaround Hook,[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.66,Missed,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2025-04-02T23:19:16.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,4,5,2025-04-02T23:19:16Z,330000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M04.00S,2025-04-02T23:19:21.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,7.30946123521682,49.01960784313725,1610612752,4,7,2025-04-02T23:19:25Z,340000,False,5.0,16.0,1,left,J. Hart running Layup (5 PTS) (M. Bridges 2 AST),"[1628404, 1628969]",1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.69,Made,,,,,,,,,,5.0,,M. Bridges,1628969.0,2.0,,,,
36,PT08M56.00S,2025-04-02T23:19:28.3Z,1,REGULAR,3pt,Jump Shot,[],1630596,74.85216819973719,83.33333333333334,1610612739,4,7,2025-04-02T23:19:34Z,360000,False,167.0,184.0,1,right,MISS E. Mobley 24' pullup 3PT,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,24.82,Missed,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2025-04-02T23:19:32.6Z,1,REGULAR,rebound,offensive,[],1629636,,,1610612739,4,7,2025-04-02T23:19:32Z,370000,False,,,0,,D. Garland REBOUND (Off:1 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,
38,PT08M46.00S,2025-04-02T23:19:42.0Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,4,7,2025-04-02T23:20:12Z,380000,False,,,0,,E. Mobley bad pass out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,bad pass,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,,,,101284.0,,,,,,1.0,,,,,,,
39,PT08M29.00S,2025-04-02T23:20:03.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,4.681340341655716,95.58823529411765,1610612752,4,10,2025-04-02T23:20:07Z,390000,False,-228.0,-8.0,1,left,O. Anunoby 3PT  (3 PTS) (D. Wright 1 AST),"[1628384, 1626153]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,22.81,Made,,,,,,,,,,3.0,,D. Wright,1626153.0,1.0,,,,
41,PT08M16.00S,2025-04-02T23:20:17.2Z,1,REGULAR,2pt,Jump Shot,[],1629636,89.70105124835742,26.47058823529412,1610612739,4,10,2025-04-02T23:20:56Z,410000,False,-118.0,44.0,1,right,MISS D. Garland 12' pullup bank Shot,[1629636],1610612739.0,CLE,pullup bank,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,12.57,Missed,,,,,,,,,,,,,,,,,,
42,PT08M13.00S,2025-04-02T23:20:20.2Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,4,10,2025-04-02T23:20:56Z,420000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
