actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-22T00:13:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-22T00:13:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M47.00S,2025-02-22T00:14:11.1Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612752,0,0,2025-02-22T00:14:11Z,40000,False,,,0,,Jump Ball K. Towns vs. J. Allen: Tip to P. Achiuwa,"[1630173, 1626157, 1628386]",1610612752.0,NYK,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Towns,1626157.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-02-22T00:14:20.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,7.5722733245729295,73.2843137254902,1610612752,0,2,2025-02-22T00:14:37Z,70000,False,-116.0,19.0,1,left,J. Brunson 11' pullup Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,11.79,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-02-22T00:14:37.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,66.44218134034165,28.676470588235293,1610612739,0,2,2025-02-22T00:14:41Z,80000,False,-107.0,263.0,1,right,MISS M. Strus 28' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,28.37,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-02-22T00:14:39.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,2,2025-02-22T00:14:41Z,90000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M10.00S,2025-02-22T00:14:50.8Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612752,0,2,2025-02-22T00:15:12Z,100000,False,,,0,,O. Anunoby bad pass out-of-bounds TURNOVER (1 TO),[1628384],1610612752.0,NYK,bad pass,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,,,,,,202027.0,1.0,,,,,,,,,,,
11,PT10M58.00S,2025-02-22T00:15:11.1Z,1,REGULAR,turnover,lost ball,[],1630596,,,1610612739,0,2,2025-02-22T00:15:15Z,110000,False,,,0,,E. Mobley lost ball TURNOVER (1 TO),"[1630596, 1626157]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1.0,Towns,1626157.0,,,,,,,,,
12,PT10M58.00S,2025-02-22T00:15:11.1Z,1,REGULAR,steal,,[],1626157,,,1610612752,0,2,2025-02-22T00:15:13Z,120000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2025-02-22T00:15:23.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,10.85742444152431,95.58823529411765,1610612752,0,5,2025-02-22T00:15:27Z,130000,False,-228.0,50.0,1,left,J. Brunson 3PT  (5 PTS) (K. Towns 1 AST),"[1628973, 1626157]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Left Corner 3,24+ Left,23.32,Made,5.0,,,,,,,,,K. Towns,1626157.0,1.0,,,,,,
15,PT10M32.00S,2025-02-22T00:15:37.8Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,5,2025-02-22T00:15:43Z,150000,False,,,0,,E. Mobley bad pass TURNOVER (2 TO),"[1630596, 1628384]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,16-24 Left Center,,,,,,,,,2.0,Anunoby,1628384.0,,,,,,,,,
