actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-02T20:40:56.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-02T20:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-02T20:40:58.8Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-02-02T20:40:58Z,40000,False,,,0,,Jump Ball J. Allen vs. K. Kelley: Tip to E. Mobley,"[1630596, 1628386, 1630283]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Kelley,1630283.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-02-02T20:41:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,72.22404730617609,78.18627450980392,1610612739,0,0,2025-02-02T20:41:41Z,70000,False,141.0,209.0,1,right,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-02T20:41:14.2Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,0,0,2025-02-02T20:41:18Z,80000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-02-02T20:41:25.0Z,1,REGULAR,3pt,Jump Shot,[],202691,28.728646517739815,19.852941176470587,1610612742,0,0,2025-02-02T20:41:31Z,90000,False,151.0,218.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-02-02T20:41:30.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2025-02-02T20:41:31Z,100000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2025-02-02T20:41:33.5Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612739,0,0,2025-02-02T20:41:45Z,110000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Mitchell 2 FT),"[202691, 1628378]",1610612742.0,DAL,shooting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
13,PT11M25.00S,2025-02-02T20:42:03.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628378,,,1610612739,1,0,2025-02-02T20:42:03Z,130000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M25.00S,2025-02-02T20:42:23.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628378,,,1610612739,2,0,2025-02-02T20:42:23Z,140000,False,,,0,,D. Mitchell Free Throw 2 of 2 (2 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M09.00S,2025-02-02T20:42:43.2Z,1,REGULAR,turnover,bad pass,[],1630283,,,1610612742,2,0,2025-02-02T20:42:48Z,150000,False,,,0,,K. Kelley bad pass TURNOVER (1 TO),"[1630283, 1629636]",1610612742.0,DAL,,,,Kelley,K. Kelley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Garland,1629636.0,,,,,
