actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
3,PT12M00.00S,2024-12-24T00:45:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-24T00:45:20Z,30000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M56.00S,2024-12-24T00:45:23.5Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-12-24T00:45:23Z,50000,False,,,0,,Jump Ball J. Allen vs. W. Kessler: Tip to E. Mobley,"[1630596, 1628386, 1631117]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-12-24T00:45:39.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,9.017739816031538,54.41176470588235,1610612739,0,0,2024-12-24T00:45:44Z,80000,False,-22.0,32.0,1,left,MISS J. Allen cutting DUNK,[1628386],1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-12-24T00:45:41.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2024-12-24T00:45:44Z,90000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M32.00S,2024-12-24T00:45:47.4Z,1,REGULAR,3pt,Jump Shot,[],1630695,92.59198423127464,2.941176470588235,1610612762,0,3,2024-12-24T00:45:51Z,100000,False,-235.0,17.0,1,right,M. Potter 3PT  (3 PTS) (L. Markkanen 1 AST),"[1630695, 1628374]",1610612762.0,UTA,,,,Potter,M. Potter,,,,,Left Corner 3,24+ Left,23.59,Made,,,,,3.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,
12,PT11M20.00S,2024-12-24T00:45:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630596,32.013797634691194,57.107843137254896,1610612739,0,3,2024-12-24T00:46:03Z,120000,False,-36.0,248.0,1,left,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2024-12-24T00:46:02.4Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612762,0,3,2024-12-24T00:46:03Z,130000,False,,,0,,M. Potter REBOUND (Off:0 Def:1),[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M06.00S,2024-12-24T00:46:13.5Z,1,REGULAR,turnover,bad pass,[],1629004,,,1610612762,0,3,2024-12-24T00:46:18Z,140000,False,,,0,,S. Mykhailiuk bad pass TURNOVER (1 TO),"[1629004, 1630241]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Merrill,1630241.0,,,,,,,
15,PT11M06.00S,2024-12-24T00:46:13.5Z,1,REGULAR,steal,,[],1630241,,,1610612739,0,3,2024-12-24T00:46:15Z,150000,False,,,0,,S. Merrill STEAL (1 STL),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2024-12-24T00:46:16.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629636,6.915243101182654,50.73529411764706,1610612739,2,3,2024-12-24T00:46:40Z,160000,False,-4.0,13.0,1,left,D. Garland running finger roll Layup (2 PTS) (S. Merrill 1 AST),"[1629636, 1630241]",1610612739.0,CLE,running finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,2.0,S. Merrill,1630241.0,1.0,,,,,,,,,,
