actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-10T00:12:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-10T00:12:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-10T00:12:58.8Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-01-10T00:12:58Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Poeltl: Tip to E. Mobley,"[1630596, 1628386, 1627751]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-01-10T00:13:15.1Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,0,2025-01-10T00:13:20Z,70000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1629628]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,1.0,Barrett,1629628.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-01-10T00:13:15.1Z,1,REGULAR,steal,,[],1629628,,,1610612761,0,0,2025-01-10T00:13:17Z,80000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-01-10T00:13:19.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630193,94.30026281208936,51.470588235294116,1610612761,0,2,2025-01-10T00:14:18Z,90000,False,7.0,1.0,1,right,I. Quickley running Layup (2 PTS) (S. Barnes 1 AST),"[1630193, 1630567]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,0.75,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,
11,PT11M16.00S,2025-01-10T00:13:38.6Z,1,REGULAR,3pt,Jump Shot,[],1627747,27.020367936925098,79.41176470588235,1610612739,3,2,2025-01-10T00:13:47Z,110000,False,-147.0,201.0,1,left,C. LeVert 24' 3PT  (3 PTS) (E. Mobley 1 AST),"[1627747, 1630596]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,,24.95,Made,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,
13,PT11M08.00S,2025-01-10T00:13:47.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,66.44218134034165,59.55882352941176,1610612761,3,2,2025-01-10T00:14:03Z,130000,False,48.0,263.0,1,right,MISS S. Barnes 26' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,26.72,Missed,,,,,,,,,,,,,,,
14,PT11M04.00S,2025-01-10T00:13:51.4Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,3,2,2025-01-10T00:14:03Z,140000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M58.00S,2025-01-10T00:13:57.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,29.911300919842315,71.07843137254902,1610612739,3,2,2025-01-10T00:15:57Z,150000,False,-105.0,229.0,1,left,MISS D. Garland 25' running pullup 3PT,[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,25.18,Missed,,,,,,,,,,,,,,,
16,PT10M53.00S,2025-01-10T00:14:02.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,3,2,2025-01-10T00:14:02Z,160000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
