actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-01T23:14:08.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-01T23:14:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-01T23:14:09.9Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-11-01T23:14:09Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Wagner: Tip to E. Mobley,"[1630596, 1628386, 1629021]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Wagner,1629021.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-01T23:14:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.19776609724047,49.26470588235294,1610612739,2,0,2024-11-01T23:14:27Z,70000,False,-4.0,21.0,1,right,D. Mitchell driving Layup (2 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.11,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2024-11-01T23:14:48.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,7.5722733245729295,57.107843137254896,1610612753,2,2,2024-11-01T23:15:17Z,80000,False,-36.0,19.0,1,left,F. Wagner driving floating Jump Shot (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,4.01,Made,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
10,PT11M02.00S,2024-11-01T23:15:00.8Z,1,REGULAR,2pt,Jump Shot,[],1628378,82.60512483574244,19.11764705882353,1610612739,4,2,2024-11-01T23:24:10Z,100000,False,-154.0,111.0,1,right,D. Mitchell 19' step back Jump Shot (4 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,19.02,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M43.00S,2024-11-01T23:15:22.4Z,1,REGULAR,turnover,traveling,[],1629021,,,1610612753,4,2,2024-11-01T23:15:28Z,120000,False,,,0,,M. Wagner traveling TURNOVER (1 TO),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,204059.0,1.0,,,,,,,,,,,,
13,PT10M29.00S,2024-11-01T23:15:44.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628378,92.59198423127464,71.07843137254902,1610612739,6,2,2024-11-01T23:15:57Z,130000,False,105.0,17.0,1,right,D. Mitchell 10' fadeaway Jump Shot (6 PTS) (E. Mobley 1 AST),"[1628378, 1630596]",1610612739.0,CLE,fadeaway,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,10.68,Made,6.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
15,PT10M16.00S,2024-11-01T23:15:58.2Z,1,REGULAR,3pt,Jump Shot,[],1629021,28.728646517739815,24.754901960784316,1610612753,6,2,2024-11-01T23:16:02Z,150000,False,126.0,218.0,1,left,MISS M. Wagner 25' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,25.15,Missed,,,,,,,,,,,,,,,,,,
16,PT10M13.00S,2024-11-01T23:16:01.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,2,2024-11-01T23:16:02Z,160000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M06.00S,2024-11-01T23:16:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,89.70105124835742,61.274509803921575,1610612739,8,2,2024-11-01T23:16:14Z,170000,False,56.0,44.0,1,right,E. Mobley 7' driving floating bank Jump Shot (2 PTS),[1630596],1610612739.0,CLE,driving floating bank,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.17,Made,2.0,,,,,,,,,,,,,,,,,
