actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-11-28T00:10:21.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-28T00:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-28T00:10:28.1Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-11-28T00:10:28Z,40000,False,,,0,,Jump Ball J. Allen vs. C. Capela: Tip to E. Mobley,"[1630596, 1628386, 203991]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2024-11-28T00:10:49.3Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,0,0,2024-11-28T00:10:54Z,80000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1642258]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,1.0,Risacher,1642258.0,,,,,,,,,,,,,,,,,
9,PT11M50.00S,2024-11-28T00:10:49.3Z,1,REGULAR,steal,,[],1642258,,,1610612737,0,0,2024-11-28T00:10:51Z,90000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2024-11-28T00:11:02.1Z,1,REGULAR,2pt,Hook,['fromturnover'],203991,8.229303547963205,28.431372549019606,1610612737,0,0,2024-11-28T00:11:06Z,100000,False,108.0,25.0,1,left,MISS C. Capela 11' turnaround Hook,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,11.06,Missed,,,,,,,,,,,,,,,
11,PT11M35.00S,2024-11-28T00:11:04.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2024-11-28T00:11:06Z,110000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Right,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M25.00S,2024-11-28T00:11:16.7Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612739,0,0,2024-11-28T00:11:28Z,130000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Mobley 2 FT),"[203991, 1630596]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628951.0,1.0,0.0,Mobley,1630596.0,,,,,,
15,PT11M25.00S,2024-11-28T00:11:42.6Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,1,0,2024-11-28T00:11:42Z,150000,False,,,0,,E. Mobley Free Throw 1 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Made,,,,,,,,,,1.0,,,,,
16,PT11M25.00S,2024-11-28T00:11:59.8Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,2,0,2024-11-28T00:11:59Z,160000,False,,,0,,E. Mobley Free Throw 2 of 2 (2 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Made,,,,,,,,,,2.0,,,,,
17,PT11M13.00S,2024-11-28T00:12:11.9Z,1,REGULAR,3pt,Jump Shot,[],1642258,3.1044678055190538,98.52941176470588,1610612737,2,0,2024-11-28T00:12:17Z,170000,False,-243.0,-23.0,1,left,MISS Z. Risacher 24' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,,,,24.37,Missed,,,,,,,,,,,,,,,
18,PT11M09.00S,2024-11-28T00:12:15.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2024-11-28T00:12:17Z,180000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT11M02.00S,2024-11-28T00:12:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,81.553876478318,44.85294117647059,1610612739,4,0,2024-11-28T00:12:27Z,190000,False,-26.0,121.0,1,right,D. Garland 12' floating Jump Shot (2 PTS),[1629636],1610612739.0,CLE,floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,12.36,Made,,,,,,,,,,2.0,,,,,
20,PT10M51.00S,2024-11-28T00:12:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,7.046649145860711,48.28431372549019,1610612737,4,0,2024-11-28T00:13:45Z,200000,False,9.0,14.0,1,left,MISS Z. Risacher reverse Layup,[1642258],1610612737.0,ATL,reverse,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,1.62,Missed,,,,,,,,,,,,,,,
21,PT10M48.00S,2024-11-28T00:12:38.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,4,0,2024-11-28T00:12:38Z,210000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,
22,PT10M43.00S,2024-11-28T00:12:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,91.5407358738502,49.754901960784316,1610612739,4,0,2024-11-28T00:12:50Z,220000,False,-1.0,27.0,1,right,MISS E. Mobley driving Layup - blocked,"[1630596, 1642258]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,2.7,Missed,,,,,,,,,,,Risacher,1642258.0,,,
23,PT10M43.00S,2024-11-28T00:12:44.5Z,1,REGULAR,block,,[],1642258,,,1610612739,4,0,2024-11-28T00:12:48Z,230000,False,,,0,,Z. Risacher BLOCK (1 BLK),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M43.00S,2024-11-28T00:12:44.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,4,0,2024-11-28T00:12:50Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,22.0,,,,,,,,,,,,,,
