actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-06T00:13:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-06T00:13:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-06T00:13:49.7Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-03-06T00:13:49Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Adebayo: Tip to E. Mobley,"[1630596, 1628386, 1628389]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-03-06T00:13:57.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,64.60249671484888,31.61764705882353,1610612739,0,0,2025-03-06T00:14:03Z,70000,False,-92.0,280.0,1,right,MISS M. Strus 29' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,29.49,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-03-06T00:14:01.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2025-03-06T00:14:03Z,80000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-03-06T00:14:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,4.5499342969776615,35.78431372549019,1610612748,0,0,2025-03-06T00:14:40Z,90000,False,71.0,-10.0,1,left,MISS D. Mitchell 7' driving Layup,[1630558],1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-03-06T00:14:16.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2025-03-06T00:14:20Z,100000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M24.00S,2025-03-06T00:14:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,94.56307490144546,49.26470588235294,1610612739,0,0,2025-03-06T00:49:35Z,110000,False,-4.0,-1.0,1,right,MISS J. Allen cutting Layup - blocked,"[1628386, 201567]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.4,Missed,,,,,Love,201567.0,,,,,,,,,,,,
187,PT11M24.00S,2025-03-06T00:14:23.5Z,1,REGULAR,block,,[],201567,,,1610612739,0,0,2025-03-06T00:47:11Z,120000,False,,,0,,K. Love BLOCK (1 BLK),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2025-03-06T00:14:24.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2025-03-06T00:49:35Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2025-03-06T00:14:53.2Z,1,REGULAR,foul,personal,['2freethrow'],201567,,,1610612739,0,0,2025-03-06T00:14:58Z,160000,False,,,0,,K. Love shooting personal FOUL (1 PF) (Mobley 2 FT),"[201567, 1630596]",1610612748.0,MIA,shooting,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,1626300.0,1.0,0.0,Mobley,1630596.0,,,,,,,
