actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-16T00:40:45.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T00:40:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-16T00:40:48.2Z,1,REGULAR,jumpball,recovered,[],1627777,,,1610612739,0,0,2024-11-16T00:40:48Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Vučević: Tip to G. Niang,"[1627777, 1628386, 202696]",1610612739.0,CLE,startperiod,G. Niang,1627777.0,Niang,G. Niang,Allen,1628386.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-16T00:41:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.258212877792378,48.529411764705884,1610612739,2,0,2024-11-16T00:41:18Z,70000,False,7.0,6.0,1,left,D. Garland driving finger roll Layup (2 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,0.97,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2024-11-16T00:41:15.0Z,1,REGULAR,3pt,Jump Shot,[],203897,61.97437582128777,47.05882352941176,1610612741,2,0,2024-11-16T00:41:21Z,80000,False,-15.0,305.0,1,right,MISS Z. LaVine 30' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,30.53,Missed,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2024-11-16T00:41:18.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,0,2024-11-16T00:41:21Z,90000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2024-11-16T00:41:27.5Z,1,REGULAR,2pt,Jump Shot,[],1628378,14.799605781865965,79.65686274509804,1610612739,4,0,2024-11-16T00:41:50Z,100000,False,-148.0,87.0,1,left,D. Mitchell 17' step back Jump Shot (2 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,17.17,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2024-11-16T00:41:44.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,66.70499342969777,37.254901960784316,1610612741,4,3,2024-11-16T00:41:49Z,110000,False,-64.0,260.0,1,right,C. White 26' 3PT  (3 PTS) (P. Williams 1 AST),"[1629632, 1630172]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,26.82,Made,3.0,,,,,P. Williams,1630172.0,1.0,,,,,,,,,,
13,PT10M39.00S,2024-11-16T00:42:07.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,22.026938239159,9.313725490196079,1610612739,4,3,2024-11-16T00:42:37Z,130000,False,203.0,155.0,1,left,MISS D. Garland 25' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2024-11-16T00:42:08.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,4,3,2024-11-16T00:42:37Z,140000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M31.00S,2024-11-16T00:42:16.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,94.43166885676742,51.9607843137255,1610612741,4,3,2024-11-16T00:42:30Z,150000,False,10.0,0.0,1,right,MISS J. Giddey running Layup - blocked,"[1630581, 1630171]",1610612741.0,CHI,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,Okoro,1630171.0,,,,,,,,
16,PT10M31.00S,2024-11-16T00:42:16.6Z,1,REGULAR,block,,[],1630171,,,1610612741,4,3,2024-11-16T00:42:23Z,160000,False,,,0,,I. Okoro BLOCK (1 BLK),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
