actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-06T00:10:52.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-06T00:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-06T00:10:55.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-12-06T00:10:55Z,40000,False,,,0,,Jump Ball N. Jokić vs. J. Allen: Tip to A. Gordon,"[203932, 203999, 1628386]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-12-06T00:11:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,8.492115637319317,48.03921568627451,1610612743,0,0,2024-12-06T00:11:54Z,70000,False,10.0,27.0,1,left,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.9,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-12-06T00:11:09.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2024-12-06T00:11:54Z,80000,False,,,0,,N. Jokić REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M44.00S,2024-12-06T00:11:12.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,5.590000152587891,50.0,1610612743,0,2,2024-12-06T00:11:59Z,90000,False,0.0,0.0,1,left,N. Jokić tip Layup (2 PTS),[203999],1610612743.0,DEN,tip,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M34.00S,2024-12-06T00:11:18.1Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,0,2,2024-12-06T00:11:21Z,100000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 203999]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Jokić,203999.0,,,,,,,,,,
11,PT11M34.00S,2024-12-06T00:11:18.1Z,1,REGULAR,steal,,[],203999,,,1610612743,0,2,2024-12-06T00:11:20Z,110000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2024-12-06T00:12:06.7Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612743,0,2,2024-12-06T00:12:23Z,140000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630171, 1629008]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1626302.0,1.0,0.0,Porter Jr.,1629008.0,,,,,
16,PT11M11.00S,2024-12-06T00:12:18.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629008,,,1610612743,0,3,2024-12-06T00:12:18Z,160000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
17,PT11M11.00S,2024-12-06T00:12:20.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629008,,,1610612743,0,4,2024-12-06T00:12:20Z,170000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (2 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
