actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-05T00:00:38.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T00:00:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-05T00:00:41.4Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-11-05T00:00:41Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Lopez: Tip to D. Garland,"[1629636, 1628386, 201572]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-11-05T00:00:55.7Z,1,REGULAR,2pt,Jump Shot,[],1629636,77.7431011826544,36.76470588235294,1610612739,0,0,2024-11-05T00:01:01Z,70000,False,-66.0,157.0,1,right,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,17.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-11-05T00:00:57.7Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,0,0,2024-11-05T00:01:01Z,80000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-11-05T00:01:06.9Z,1,REGULAR,2pt,Jump Shot,[],1626171,25.57490144546649,38.23529411764706,1610612749,0,0,2024-11-05T00:01:15Z,90000,False,59.0,188.0,1,left,MISS B. Portis 19' pullup Shot,[1626171],1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,Mid-Range,16-24 Center,19.69,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2024-11-05T00:01:09.9Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2024-11-05T00:01:36Z,100000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2024-11-05T00:01:14.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,93.77463863337714,49.50980392156863,1610612739,2,0,2024-11-05T00:01:21Z,110000,False,-2.0,6.0,1,right,D. Mitchell running Layup (2 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M04.00S,2024-11-05T00:01:35.1Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612749,2,0,2024-11-05T00:01:42Z,120000,False,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (1 TO),[203081],1610612749.0,MIL,bad pass,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,,,,,,,,1830.0,1.0,,,,,,,,,,,
13,PT10M52.00S,2024-11-05T00:01:54.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630596,86.28449408672799,52.20588235294118,1610612739,2,0,2024-11-05T00:02:50Z,130000,False,11.0,76.0,1,right,MISS E. Mobley 7' floating Shot,[1630596],1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.72,Missed,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2024-11-05T00:01:58.2Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,2,0,2024-11-05T00:02:30Z,140000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
