actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-10T00:41:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-10T00:41:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-10T00:41:45.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-11-10T00:41:45Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Claxton: Tip to D. Garland,"[1629636, 1628386, 1629651]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-11-10T00:41:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,81.8166885676741,55.14705882352941,1610612739,0,0,2024-11-10T00:42:21Z,70000,False,26.0,118.0,1,right,MISS D. Mitchell 12' driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,12.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-10T00:42:02.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2024-11-10T00:42:21Z,80000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M14.00S,2024-11-10T00:42:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627827,6.521024967148489,44.11764705882353,1610612751,0,2,2024-11-10T00:43:16Z,90000,False,29.0,9.0,1,left,D. Finney-Smith driving floating Jump Shot (2 PTS) (C. Thomas 1 AST),"[1627827, 1630560]",1610612751.0,BKN,driving floating,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,3.07,Made,,,,,2.0,C. Thomas,1630560.0,1.0,,,,,,,,,,
11,PT10M58.00S,2024-11-10T00:42:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,93.38042049934296,49.01960784313725,1610612739,2,2,2024-11-10T00:42:46Z,110000,False,-5.0,10.0,1,right,D. Garland cutting Layup (2 PTS) (E. Mobley 1 AST),"[1629636, 1630596]",1610612739.0,CLE,cutting,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,
13,PT10M44.00S,2024-11-10T00:42:56.3Z,1,REGULAR,3pt,Jump Shot,[],1627827,28.991458607095925,27.941176470588236,1610612751,2,2,2024-11-10T00:43:02Z,130000,False,110.0,220.0,1,left,MISS D. Finney-Smith 24' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,24.61,Missed,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2024-11-10T00:42:58.3Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,2,2,2024-11-10T00:43:49Z,140000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M37.00S,2024-11-10T00:43:04.8Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,2,2,2024-11-10T00:43:12Z,150000,False,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,,,,,,,,,,,200832.0,1.0,,,,,,,,
16,PT10M18.00S,2024-11-10T00:43:34.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629651,7.5722733245729295,48.03921568627451,1610612751,2,4,2024-11-10T00:43:43Z,160000,False,10.0,19.0,1,left,N. Claxton turnaround bank Hook (2 PTS),[1629651],1610612751.0,BKN,turnaround bank,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,2.0,,,,,,,,,,,,,
