actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-22T01:10:25.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-22T01:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-22T01:10:43.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2024-12-22T01:10:43Z,40000,False,,,0,,Jump Ball A. Drummond vs. J. Allen: Tip to Team (PHI),"[203083, 1628386]",1610612755.0,PHI,startperiod,Team (PHI),Drummond,203083.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-12-22T01:11:03.4Z,1,REGULAR,2pt,Jump Shot,[],202331,9.280551905387648,81.37254901960785,1610612755,0,0,2024-12-22T01:11:09Z,80000,False,-157.0,35.0,1,left,MISS P. George 16' Jump Shot,[202331],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left,16.07,Missed,George,P. George,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-12-22T01:11:05.4Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,0,2024-12-22T01:11:09Z,90000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left,,,Garland,D. Garland,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M32.00S,2024-12-22T01:11:15.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,84.1819973718791,59.31372549019608,1610612739,2,0,2024-12-22T01:11:22Z,100000,False,47.0,96.0,1,right,D. Garland 10' driving floating Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.69,Made,Garland,D. Garland,,,,,2.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-12-22T01:11:29.4Z,1,REGULAR,turnover,bad pass,[],1630231,,,1610612755,2,0,2024-12-22T01:11:34Z,110000,False,,,0,,K. Martin bad pass TURNOVER (1 TO),"[1630231, 1629731]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,,Martin,K. Martin,,,,,,1.0,Wade,1629731.0,,,,,,,,,,,
12,PT11M18.00S,2024-12-22T01:11:29.4Z,1,REGULAR,steal,,[],1629731,,,1610612739,2,0,2024-12-22T01:11:31Z,120000,False,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Right,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2024-12-22T01:11:35.4Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,2,0,2024-12-22T01:11:41Z,130000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1630178]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,,
14,PT11M13.00S,2024-12-22T01:11:35.4Z,1,REGULAR,steal,,[],1630178,,,1610612755,2,0,2024-12-22T01:11:37Z,140000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2024-12-22T01:11:40.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630178,30.305519053876477,12.745098039215685,1610612755,2,3,2024-12-22T01:12:44Z,150000,False,186.0,232.0,1,left,T. Maxey 29' 3PT running pullup (3 PTS),[1630178],1610612755.0,PHI,running pullup,,,,,,Above the Break 3,24+ Right Center,29.79,Made,Maxey,T. Maxey,,,,,3.0,,,,,,,,,,,,,,
16,PT10M57.00S,2024-12-22T01:11:50.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.72733245729303,74.26470588235294,1610612739,2,3,2024-12-22T01:13:07Z,160000,False,121.0,232.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Right Center,26.19,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
