actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-21T00:40:49.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-21T00:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-21T00:41:12.6Z,1,REGULAR,jumpball,recovered,[],1629660,,,1610612739,0,0,2024-11-21T00:41:12Z,40000,False,,,0,,Jump Ball J. Allen vs. Y. Missi: Tip to T. Jerome,"[1629660, 1628386, 1642274]",1610612739.0,CLE,startperiod,T. Jerome,1629660.0,Jerome,T. Jerome,Allen,1628386.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-21T00:41:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,7.046649145860711,53.431372549019606,1610612739,0,0,2024-11-21T00:41:49Z,70000,False,-17.0,14.0,1,left,MISS E. Mobley driving floating bank Shot,[1630596],1610612739.0,CLE,driving floating bank,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-11-21T00:41:24.0Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,0,2024-11-21T00:42:02Z,80000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M42.00S,2024-11-21T00:41:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630596,6.783837056504599,50.49019607843137,1610612739,2,0,2024-11-21T00:42:13Z,90000,False,-2.0,11.0,1,left,E. Mobley floating Jump Shot (2 PTS),[1630596],1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.16,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M23.00S,2024-11-21T00:41:43.3Z,1,REGULAR,3pt,Jump Shot,[],1630527,94.43166885676742,95.34313725490196,1610612740,2,0,2024-11-21T00:41:50Z,100000,False,227.0,0.0,1,right,MISS B. Boston Jr. 3PT,[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2024-11-21T00:41:45.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2024-11-21T00:41:45Z,110000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M14.00S,2024-11-21T00:41:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,7.178055190538765,51.470588235294116,1610612739,2,0,2024-11-21T00:42:50Z,120000,False,-7.0,15.0,1,left,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2024-11-21T00:41:55.9Z,1,REGULAR,rebound,offensive,[],1642281,,,1610612739,2,0,2024-11-21T00:42:50Z,130000,False,,,0,,J. Tyson REBOUND (Off:1 Def:0),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M11.00S,2024-11-21T00:41:59.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1642281,5.590000152587891,50.0,1610612739,4,0,2024-11-21T00:43:15Z,140000,False,0.0,0.0,1,left,J. Tyson tip DUNK (2 PTS),[1642281],1610612739.0,CLE,tip,,,Tyson,J. Tyson,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M47.00S,2024-11-21T00:42:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630527,91.27792378449409,64.70588235294117,1610612740,4,0,2024-11-21T00:44:06Z,160000,False,74.0,29.0,1,right,MISS B. Boston Jr. 7' driving finger roll Layup,[1630527],1610612740.0,NOP,driving finger roll,,,Boston Jr.,B. Boston Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2024-11-21T00:42:36.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,4,0,2024-11-21T00:42:52Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
19,PT10M47.00S,2024-11-21T00:42:41.7Z,1,REGULAR,turnover,traveling,[],1630527,,,1610612740,4,0,2024-11-21T00:43:01Z,180000,False,,,0,,B. Boston Jr. traveling TURNOVER (1 TO),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1662.0,1.0,,,,,,,,,,,
20,PT10M30.00S,2024-11-21T00:43:03.4Z,1,REGULAR,turnover,bad pass,[],1629660,,,1610612739,4,0,2024-11-21T00:44:33Z,190000,False,,,0,,T. Jerome bad pass TURNOVER (1 TO),"[1629660, 1630526]",1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,Robinson-Earl,1630526.0,,,,,,,,,
21,PT10M30.00S,2024-11-21T00:43:03.4Z,1,REGULAR,steal,,[],1630526,,,1610612740,4,0,2024-11-21T00:43:05Z,200000,False,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2024-11-21T00:43:10.4Z,1,REGULAR,turnover,bad pass,[],203901,,,1610612740,4,0,2024-11-21T00:43:14Z,210000,False,,,0,,E. Payton bad pass TURNOVER (1 TO),"[203901, 1628378]",1610612740.0,NOP,,,,Payton,E. Payton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,
23,PT10M21.00S,2024-11-21T00:43:10.4Z,1,REGULAR,steal,,[],1628378,,,1610612739,4,0,2024-11-21T00:46:28Z,220000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2024-11-21T00:43:17.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629660,23.73521681997372,87.74509803921569,1610612739,4,0,2024-11-21T00:45:28Z,230000,False,-189.0,171.0,1,left,MISS T. Jerome 25' running 3PT,[1629660],1610612739.0,CLE,running,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2024-11-21T00:43:19.4Z,1,REGULAR,rebound,offensive,[],1629660,,,1610612739,4,0,2024-11-21T00:43:19Z,240000,False,,,0,,T. Jerome REBOUND (Off:1 Def:0),[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT10M11.00S,2024-11-21T00:43:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629660,6.389618922470433,52.20588235294118,1610612739,4,0,2024-11-21T00:45:54Z,250000,False,-11.0,8.0,1,left,MISS T. Jerome driving Layup,[1629660],1610612739.0,CLE,driving,,,Jerome,T. Jerome,,,,,Restricted Area,0-8 Center,1.34,Missed,,,,,,,,,,,,,,,,,,
27,PT10M09.00S,2024-11-21T00:43:24.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612740,4,0,2024-11-21T00:45:54Z,260000,False,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M02.00S,2024-11-21T00:43:29.7Z,1,REGULAR,3pt,Jump Shot,[],1630526,71.96123521681997,78.92156862745098,1610612740,4,0,2024-11-21T00:43:36Z,270000,False,145.0,211.0,1,right,MISS J. Robinson-Earl 25' pullup 3PT,[1630526],1610612740.0,NOP,pullup,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
29,PT09M59.00S,2024-11-21T00:43:32.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,4,0,2024-11-21T00:43:36Z,280000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M48.00S,2024-11-21T00:43:42.9Z,1,REGULAR,3pt,Jump Shot,[],1630596,9.149145860709593,3.6764705882352944,1610612739,4,0,2024-11-21T00:43:49Z,290000,False,232.0,34.0,1,left,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,23.4,Missed,,,,,,,,,,,,,,,,,,
