actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-14T00:10:25.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-14T00:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-14T00:10:28.0Z,1,REGULAR,jumpball,recovered,[],1629731,,,1610612739,0,0,2024-12-14T00:10:28Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Sarr: Tip to D. Wade,"[1629731, 1628386, 1642259]",1610612739.0,CLE,startperiod,D. Wade,1629731.0,Wade,D. Wade,Allen,1628386.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-12-14T00:10:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.72339027595268,52.20588235294118,1610612739,0,0,2024-12-14T00:11:20Z,70000,False,11.0,16.0,1,right,MISS I. Okoro cutting Layup,[1630171],1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-12-14T00:10:43.0Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,0,0,2024-12-14T00:11:20Z,80000,False,,,0,,D. Wade REBOUND (Off:1 Def:0),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-12-14T00:10:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612739,0,0,2024-12-14T00:10:56Z,90000,False,,,0,,A. Sarr shooting personal FOUL (1 PF) (Allen 2 FT),"[1642259, 1628386]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,1.0,0.0,Allen,1628386.0,,,,,,,,,
11,PT11M39.00S,2024-12-14T00:11:07.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628386,,,1610612739,1,0,2024-12-14T00:11:22Z,110000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M39.00S,2024-12-14T00:11:07.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628386,,,1610612739,1,0,2024-12-14T00:11:22Z,120000,False,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2024-12-14T00:11:09.6Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612764,1,0,2024-12-14T00:11:22Z,130000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M17.00S,2024-12-14T00:11:42.5Z,1,REGULAR,3pt,Jump Shot,[],1642267,33.08147174770039,49.341299019607845,1610612764,1,0,2024-12-14T00:12:48Z,140000,False,3.0,258.0,1,left,MISS C. Carrington 25' pullup 3PT,[1642267],1610612764.0,WAS,pullup,,,Carrington,C. Carrington,,,,,Above the Break 3,24+ Center,25.85,Missed,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2024-12-14T00:11:46.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,1,0,2024-12-14T00:12:57Z,150000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
