actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-20T00:13:03.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-20T00:13:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-20T00:13:05.9Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-11-20T00:13:05Z,40000,False,,,0,,Jump Ball J. Allen vs. S. Adams: Tip to E. Mobley,"[1630596, 1628386, 203500]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-20T00:13:20.9Z,1,REGULAR,3pt,Jump Shot,[],1641772,22.158344283837057,91.66666666666666,1610612739,0,0,2025-11-20T00:13:25Z,70000,False,-208.0,156.0,1,left,MISS N. Tomlin 26' 3PT,[1641772],1610612739.0,CLE,,,,Tomlin,N. Tomlin,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-11-20T00:13:22.9Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2025-11-20T00:13:25Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-11-20T00:13:40.7Z,1,REGULAR,3pt,Jump Shot,[],1641708,92.85479632063075,96.32352941176471,1610612745,0,0,2025-11-20T00:13:45Z,90000,False,232.0,15.0,1,right,MISS A. Thompson 3PT,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,23.21,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-11-20T00:13:44.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612745,0,0,2025-11-20T00:13:45Z,100000,False,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Right Corner 3,24+ Right,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2025-11-20T00:13:46.7Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612745,0,0,2025-11-20T00:13:57Z,110000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Adams 2 FT),"[1628386, 203500]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202007.0,1.0,0.0,Adams,203500.0,,,,,,,,,
13,PT11M18.00S,2025-11-20T00:14:10.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203500,,,1610612745,0,1,2025-11-20T00:14:10Z,130000,False,,,0,,S. Adams Free Throw 1 of 2 (1 PTS),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M18.00S,2025-11-20T00:14:26.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203500,,,1610612745,0,2,2025-11-20T00:14:26Z,140000,False,,,0,,S. Adams Free Throw 2 of 2 (2 PTS),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M05.00S,2025-11-20T00:14:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,14.536793692509855,57.59803921568627,1610612739,0,2,2025-11-20T00:15:13Z,150000,False,-38.0,84.0,1,left,MISS J. Allen 9' driving floating Shot,[1628386],1610612739.0,CLE,driving floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,9.23,Missed,,,,,,,,,,,,,,,,,,
