actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-15T19:40:30.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-15T19:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-15T19:40:32.6Z,1,REGULAR,jumpball,recovered,[],1629731,,,1610612739,0,0,2026-03-15T19:40:32Z,40000,False,,,0,,Jump Ball E. Mobley vs. P. Washington: Tip to D. Wade,"[1629731, 1630596, 1629023]",1610612739.0,CLE,startperiod,D. Wade,1629731.0,Wade,D. Wade,Mobley,1630596.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-15T19:40:44.9Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,0,2026-03-15T19:47:09Z,70000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1630230]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Left Center,1.0,Marshall,1630230.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2026-03-15T19:40:44.9Z,1,REGULAR,steal,,[],1630230,,,1610612742,0,0,2026-03-15T19:44:08Z,80000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2026-03-15T19:40:49.1Z,1,REGULAR,foul,personal,[],1631165,,,1610612742,0,0,2026-03-15T19:40:56Z,90000,False,,,0,,K. Ellis personal FOUL (1 PF),"[1631165, 1642948]",1610612739.0,CLE,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,,1628954.0,1.0,0.0,Nembhard,1642948.0,,,,,,,,,,,,
11,PT11M26.00S,2026-03-15T19:41:19.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642843,19.136005256241788,68.38235294117648,1610612742,0,0,2026-03-15T19:43:09Z,110000,False,-92.0,127.0,1,left,MISS C. Flagg 15' pullup Shot,[1642843],1610612742.0,DAL,pullup,,,Flagg,C. Flagg,,,,,Mid-Range,8-16 Left,,,,,,,,,15.71,Missed,,,,,,,,,,
12,PT11M25.00S,2026-03-15T19:41:20.4Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2026-03-15T19:41:41Z,120000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M19.00S,2026-03-15T19:41:26.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628378,85.23324572930355,33.33333333333333,1610612739,2,0,2026-03-15T19:44:19Z,130000,False,-83.0,86.0,1,right,D. Mitchell 11' running pullup Jump Shot (2 PTS),[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,11.99,Made,,,,,2.0,,,,,
14,PT11M09.00S,2026-03-15T19:41:39.7Z,1,REGULAR,foul,offensive,[],1642843,,,1610612742,2,0,2026-03-15T19:41:53Z,140000,False,,,0,,C. Flagg offensive FOUL (1 PF),"[1642843, 1628378]",1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,,1628954.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
16,PT11M09.00S,2026-03-15T19:41:39.7Z,1,REGULAR,turnover,offensive foul,[],1642843,,,1610612742,2,0,2026-03-15T19:41:39Z,160000,False,,,0,,C. Flagg offensive foul TURNOVER (1 TO),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,1.0,,,1628954.0,,,,,,,,,,,,,,,,
