actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-09T01:10:51.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-09T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-09T01:10:54.2Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2025-11-09T01:10:54Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Vučević: Tip to D. Mitchell,"[1628378, 1628386, 202696]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-09T01:11:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,19.136005256241788,48.77450980392157,1610612739,2,0,2025-11-09T01:11:10Z,70000,False,6.0,127.0,1,left,D. Hunter 12' Jump Shot (2 PTS) (E. Mobley 1 AST),"[1629631, 1630596]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,12.75,Made,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-11-09T01:11:34.4Z,1,REGULAR,violation,kicked ball,[],1628378,,,1610612741,2,0,2025-11-09T01:12:34Z,90000,False,,,0,,D. Mitchell kicked ball VIOLATION,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,1628159.0,,,,,,,,,,,,,
10,PT11M09.00S,2025-11-09T01:11:54.9Z,1,REGULAR,turnover,bad pass,[],1641824,,,1610612741,2,0,2025-11-09T01:12:00Z,100000,False,,,0,,M. Buzelis bad pass TURNOVER (1 TO),"[1641824, 1642281]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Tyson,1642281.0,,,,,,,,,,
11,PT11M09.00S,2025-11-09T01:11:54.9Z,1,REGULAR,steal,,[],1642281,,,1610612739,2,0,2025-11-09T01:11:58Z,110000,False,,,0,,J. Tyson STEAL (1 STL),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2025-11-09T01:12:01.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,6.521024967148489,50.245098039215684,1610612739,4,0,2025-11-09T01:12:23Z,120000,False,-1.0,9.0,1,left,E. Mobley running DUNK (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
14,PT10M49.00S,2025-11-09T01:12:14.5Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612741,4,0,2025-11-09T01:12:28Z,140000,False,,,0,,I. Okoro bad pass out-of-bounds TURNOVER (1 TO),[1630171],1610612741.0,CHI,bad pass,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Left Center,,,,,,,202056.0,1.0,,,,,,,,,,,,
15,PT10M41.00S,2025-11-09T01:12:40.2Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612739,4,0,2025-11-09T01:12:44Z,150000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 1630581]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,Giddey,1630581.0,,,,,,,,,,
16,PT10M41.00S,2025-11-09T01:12:40.2Z,1,REGULAR,steal,,[],1630581,,,1610612741,4,0,2025-11-09T01:12:42Z,160000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2025-11-09T01:12:46.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641824,92.46057818659659,51.225490196078425,1610612741,4,0,2025-11-09T01:12:52Z,170000,False,6.0,18.0,1,right,MISS M. Buzelis running reverse Layup,[1641824],1610612741.0,CHI,running reverse,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2025-11-09T01:12:47.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,4,0,2025-11-09T01:12:52Z,180000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M28.00S,2025-11-09T01:12:53.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629631,34.773324572930356,48.529411764705884,1610612739,7,0,2025-11-09T01:14:23Z,190000,False,7.0,274.0,1,left,D. Hunter 27' 3PT running (5 PTS) (J. Tyson 1 AST),"[1629631, 1642281]",1610612739.0,CLE,running,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,27.45,Made,5.0,J. Tyson,1642281.0,1.0,,,,,,,,,,,,,,
21,PT10M27.00S,2025-11-09T01:13:00.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,7,0,2025-11-09T01:13:00Z,210000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
