actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2026-03-25T23:41:08.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-25T23:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-25T23:41:16.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612748,0,0,2026-03-25T23:41:16Z,40000,False,,,0,,Jump Ball B. Adebayo vs. E. Mobley: Tip to Team (MIA),"[1628389, 1630596]",1610612748.0,MIA,startperiod,Team (MIA),Adebayo,1628389.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-03-25T23:41:32.1Z,1,REGULAR,3pt,Jump Shot,[],1628389,30.17411300919842,25.0,1610612748,0,0,2026-03-25T23:41:47Z,80000,False,125.0,231.0,1,left,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,26.27,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2026-03-25T23:41:35.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2026-03-25T23:41:47Z,90000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Mitchell,D. Mitchell,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M37.00S,2026-03-25T23:41:40.4Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,0,0,2026-03-25T23:41:50Z,100000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1630558]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,,,Mitchell,D. Mitchell,,,,,1.0,Mitchell,1630558.0,,,,,,,,,,,,
11,PT11M37.00S,2026-03-25T23:41:40.4Z,1,REGULAR,steal,,[],1630558,,,1610612748,0,0,2026-03-25T23:41:42Z,110000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Left Center,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2026-03-25T23:41:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630558,7.046649145860711,49.754901960784316,1610612748,0,2,2026-03-25T23:41:54Z,120000,False,1.0,14.0,1,left,D. Mitchell running Layup (2 PTS),[1630558],1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,1.38,Made,Mitchell,D. Mitchell,,,,,,,,2.0,,,,,,,,,,,
13,PT11M08.00S,2026-03-25T23:42:10.4Z,1,REGULAR,3pt,Jump Shot,[],1631165,87.46714848883047,2.696078431372549,1610612739,0,2,2026-03-25T23:42:52Z,130000,False,-237.0,65.0,1,right,MISS K. Ellis 24' step back 3PT,[1631165],1610612739.0,CLE,step back,,,,,,Left Corner 3,24+ Left,24.53,Missed,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2026-03-25T23:42:10.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,2,2026-03-25T23:42:52Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,,,,,13.0,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2026-03-25T23:42:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,13.222733245729303,39.705882352941174,1610612748,0,2,2026-03-25T23:42:45Z,160000,False,51.0,72.0,1,left,MISS B. Adebayo 8' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,8.84,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
