actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-06T00:10:57.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-06T00:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-06T00:11:00.6Z,1,REGULAR,jumpball,recovered,[],1642281,,,1610612739,0,0,2025-11-06T00:11:00Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Bona: Tip to J. Tyson,"[1642281, 1628386, 1641737]",1610612739.0,CLE,startperiod,J. Tyson,1642281.0,Tyson,J. Tyson,Allen,1628386.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-11-06T00:11:07.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,73.27529566360053,83.82352941176471,1610612739,0,0,2025-11-06T00:11:16Z,70000,False,169.0,199.0,1,right,MISS D. Mitchell 26' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,26.09,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-11-06T00:11:15.5Z,1,REGULAR,rebound,offensive,[],1642281,,,1610612739,0,0,2025-11-06T00:11:16Z,80000,False,,,0,,J. Tyson REBOUND (Off:1 Def:0),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2025-11-06T00:11:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642281,94.40999984741211,50.0,1610612739,2,0,2025-11-06T00:11:15Z,90000,False,0.0,0.0,1,right,J. Tyson tip Layup (2 PTS),[1642281],1610612739.0,CLE,tip,,,Tyson,J. Tyson,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M34.00S,2025-11-06T00:11:22.1Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,2,0,2025-11-06T00:11:29Z,100000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1628378]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,
11,PT11M34.00S,2025-11-06T00:11:22.1Z,1,REGULAR,steal,,[],1628378,,,1610612739,2,0,2025-11-06T00:11:27Z,110000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2025-11-06T00:11:29.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629636,83.78777923784494,95.58823529411765,1610612739,2,0,2025-11-06T00:11:48Z,120000,False,228.0,100.0,1,right,MISS D. Garland 24' running 3PT,[1629636],1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,24.88,Missed,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2025-11-06T00:11:30.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,2,0,2025-11-06T00:11:48Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-11-06T00:12:05.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,92.59198423127464,56.127450980392155,1610612739,2,0,2025-11-06T00:12:11Z,150000,False,31.0,17.0,1,right,MISS E. Mobley bank Hook,[1630596],1610612739.0,CLE,bank,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2025-11-06T00:12:08.0Z,1,REGULAR,rebound,defensive,[],1631133,,,1610612755,2,0,2025-11-06T00:12:11Z,160000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT11M06.00S,2025-11-06T00:12:12.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630178,6.915243101182654,80.14705882352942,1610612755,2,2,2025-11-06T00:14:20Z,170000,False,-151.0,13.0,1,left,T. Maxey 15' running pullup Jump Shot (2 PTS),[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Left,15.12,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M48.00S,2025-11-06T00:12:30.1Z,1,REGULAR,3pt,Jump Shot,[],1629636,93.77463863337714,3.1862745098039214,1610612739,5,2,2025-11-06T00:12:34Z,190000,False,-234.0,6.0,1,right,D. Garland 3PT  (3 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Left Corner 3,24+ Left,23.42,Made,,,,,3.0,,,,D. Mitchell,1628378.0,1.0,,,,,,,
21,PT10M23.00S,2025-11-06T00:12:56.2Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,5,2,2025-11-06T00:12:59Z,210000,False,,,0,,T. Maxey bad pass TURNOVER (2 TO),"[1630178, 1628386]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,Allen,1628386.0,,,,,,,,,,
22,PT10M23.00S,2025-11-06T00:12:56.2Z,1,REGULAR,steal,,[],1628386,,,1610612739,5,2,2025-11-06T00:12:58Z,220000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M17.00S,2025-11-06T00:13:00.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,93.11760840998686,50.245098039215684,1610612739,7,2,2025-11-06T00:13:07Z,230000,False,1.0,12.0,1,right,E. Mobley running DUNK (2 PTS) (J. Tyson 1 AST),"[1630596, 1642281]",1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,2.0,,,,J. Tyson,1642281.0,1.0,,,,,,,
25,PT10M11.00S,2025-11-06T00:13:10.2Z,1,REGULAR,turnover,backcourt,[],1630178,,,1610612755,7,2,2025-11-06T00:13:24Z,250000,False,,,0,,T. Maxey backcourt TURNOVER (3 TO),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,3.0,,,,,,1627962.0,,,,,,
26,PT09M57.00S,2025-11-06T00:13:40.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,90.3580814717477,2.450980392156863,1610612739,10,2,2025-11-06T00:13:44Z,260000,False,-238.0,38.0,1,right,D. Mitchell 24' 3PT  (3 PTS) (E. Mobley 1 AST),"[1628378, 1630596]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,24.07,Made,,,,,3.0,,,,E. Mobley,1630596.0,1.0,,,,,,,
28,PT09M46.00S,2025-11-06T00:13:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,9.017739816031538,51.225490196078425,1610612755,10,4,2025-11-06T00:13:58Z,280000,False,-6.0,32.0,1,left,V. Edgecombe driving floating Jump Shot (2 PTS),[1642845],1610612755.0,PHI,driving floating,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,3.29,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M31.00S,2025-11-06T00:14:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.38042049934296,51.470588235294116,1610612739,12,4,2025-11-06T00:14:11Z,290000,False,7.0,10.0,1,right,J. Allen reverse Layup (2 PTS),[1628386],1610612739.0,CLE,reverse,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,2.0,,,,,,,,,,,,,
30,PT09M15.00S,2025-11-06T00:14:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,8.360709592641262,56.86274509803921,1610612755,12,4,2025-11-06T00:14:26Z,300000,False,-34.0,26.0,1,left,MISS K. Oubre Jr. turnaround Shot,[1626162],1610612755.0,PHI,turnaround,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,4.31,Missed,,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2025-11-06T00:14:24.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,12,4,2025-11-06T00:14:26Z,310000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M05.00S,2025-11-06T00:14:32.2Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,12,4,2025-11-06T00:14:36Z,320000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1631133]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Walker,1631133.0,,,,,,,,,,
