actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-23T23:11:18.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-23T23:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-23T23:11:20.5Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2025-11-23T23:11:20Z,40000,False,,,0,,Jump Ball E. Mobley vs. I. Zubac: Tip to D. Garland,"[1629636, 1630596, 1627826]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Mobley,1630596.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-23T23:11:56.6Z,1,REGULAR,3pt,Jump Shot,[],1642281,10.726018396846255,97.05882352941177,1610612739,0,0,2025-11-23T23:12:00Z,80000,False,-235.0,48.0,1,left,MISS J. Tyson 24' 3PT,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Left Corner 3,24+ Left,24.02,Missed,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-11-23T23:11:59.6Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,0,2025-11-23T23:12:00Z,90000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M23.00S,2025-11-23T23:12:15.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,85.89027595269383,50.49019607843137,1610612746,0,2,2025-11-23T23:12:20Z,100000,False,2.0,80.0,1,right,I. Zubac 8' driving Hook (2 PTS),[1627826],1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,8.01,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M13.00S,2025-11-23T23:12:26.2Z,1,REGULAR,3pt,Jump Shot,[],1630596,26.363337713534822,18.38235294117647,1610612739,0,2,2025-11-23T23:12:30Z,110000,False,158.0,195.0,1,left,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2025-11-23T23:12:28.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,2,2025-11-23T23:12:30Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2025-11-23T23:12:47.6Z,1,REGULAR,2pt,Jump Shot,[],201935,76.5604467805519,39.21568627450981,1610612746,0,4,2025-11-23T23:12:53Z,140000,False,-54.0,168.0,1,right,J. Harden 17' step back Jump Shot (2 PTS),[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Mid-Range,16-24 Center,17.62,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M58.00S,2025-11-23T23:12:51.1Z,1,REGULAR,foul,personal,['1freethrow'],1642281,,,1610612746,0,4,2025-11-23T23:12:57Z,150000,False,,,0,,J. Tyson shooting personal FOUL (1 PF) (Harden 1 FT),"[1642281, 201935]",1610612739.0,CLE,shooting,,,Tyson,J. Tyson,,,,,Mid-Range,16-24 Left Center,,,,,,,,1627964.0,1.0,0.0,Harden,201935.0,,,,,,,,
17,PT10M58.00S,2025-11-23T23:13:22.6Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612746,0,5,2025-11-23T23:13:22Z,170000,False,,,0,,J. Harden Free Throw 1 of 1 (3 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
18,PT10M38.00S,2025-11-23T23:13:43.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,19.92444152431012,9.558823529411764,1610612739,3,5,2025-11-23T23:13:48Z,180000,False,202.0,135.0,1,left,D. Mitchell 24' 3PT step back (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,24.3,Made,,,,,3.0,,,,,,D. Garland,1629636.0,1.0,,,,,
20,PT10M23.00S,2025-11-23T23:13:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202695,93.77463863337714,50.98039215686274,1610612746,3,7,2025-11-23T23:14:03Z,200000,False,5.0,6.0,1,right,K. Leonard cutting Layup (2 PTS) (J. Harden 1 AST),"[202695, 201935]",1610612746.0,LAC,cutting,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,,,,,,J. Harden,201935.0,1.0,,,,,
22,PT10M14.00S,2025-11-23T23:14:10.1Z,1,REGULAR,foul,offensive,[],1630596,,,1610612739,3,7,2025-11-23T23:14:38Z,220000,False,,,0,,E. Mobley offensive FOUL (1 PF),"[1630596, 1628381]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,1627964.0,1.0,0.0,Collins,1628381.0,,,,,,,,
24,PT10M14.00S,2025-11-23T23:14:10.1Z,1,REGULAR,turnover,offensive foul,[],1630596,,,1610612739,3,7,2025-11-23T23:14:10Z,240000,False,,,0,,E. Mobley offensive foul TURNOVER (1 TO),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,1627964.0,,,,,,,,1.0,,,,
25,PT10M14.00S,2025-11-23T23:14:28.2Z,1,REGULAR,substitution,out,[],202695,,,1610612746,3,7,2025-11-23T23:14:33Z,250000,False,,,0,,SUB out: K. Leonard,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M14.00S,2025-11-23T23:14:28.2Z,1,REGULAR,substitution,in,[],1642920,,,1610612746,3,7,2025-11-23T23:14:33Z,260000,False,,,0,,SUB in: K. Sanders,[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,
