actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-09T23:11:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-09T23:11:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-09T23:11:57.4Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612739,0,0,2026-03-09T23:11:57Z,40000,False,,,0,,Jump Ball E. Mobley vs. A. Bona: Tip to J. Harden,"[201935, 1630596, 1641737]",1610612739.0,CLE,startperiod,J. Harden,201935.0,Harden,J. Harden,Mobley,1630596.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-09T23:12:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630241,77.4802890932983,92.40196078431373,1610612739,0,0,2026-03-09T23:12:19Z,70000,False,212.0,159.0,1,right,MISS S. Merrill 26' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,26.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-03-09T23:12:16.8Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,0,0,2026-03-09T23:13:54Z,80000,False,,,0,,D. Wade REBOUND (Off:1 Def:0),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT11M37.00S,2026-03-09T23:12:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629731,91.27792378449409,50.245098039215684,1610612739,0,0,2026-03-09T23:14:27Z,85000,False,1.0,29.0,1,right,MISS D. Wade tip Layup,[1629731],1610612739.0,CLE,tip,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,,,,,,,,,,
19,PT11M36.00S,2026-03-09T23:12:25.3Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,0,0,2026-03-09T23:14:27Z,87500,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-03-09T23:12:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631230,10.85742444152431,42.64705882352941,1610612755,0,2,2026-03-09T23:53:05Z,90000,False,37.0,50.0,1,left,D. Barlow 6' driving floating Jump Shot (2 PTS),[1631230],1610612755.0,PHI,driving floating,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,6.18,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M12.00S,2026-03-09T23:12:45.7Z,1,REGULAR,violation,kicked ball,[],1631230,,,1610612739,0,2,2026-03-09T23:12:52Z,100000,False,,,0,,D. Barlow kicked ball VIOLATION,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,200832.0,,,,,,,,,,,,
11,PT11M06.00S,2026-03-09T23:13:04.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,90.22667542706965,41.911764705882355,1610612739,0,2,2026-03-09T23:14:27Z,110000,False,-40.0,39.0,1,right,MISS D. Mitchell driving floating bank Shot,[1628378],1610612739.0,CLE,driving floating bank,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2026-03-09T23:13:04.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,2,2026-03-09T23:13:10Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2026-03-09T23:13:29.0Z,1,REGULAR,foul,personal,['2freethrow'],1630241,,,1610612755,0,2,2026-03-09T23:13:35Z,140000,False,,,0,,S. Merrill shooting personal FOUL (1 PF) (Oubre Jr. 2 FT),"[1630241, 1626162]",1610612739.0,CLE,shooting,,,Merrill,S. Merrill,,,,,Mid-Range,8-16 Right,,,,,,,,1627519.0,1.0,0.0,Oubre Jr.,1626162.0,,,,,,,,
16,PT10M52.00S,2026-03-09T23:13:53.1Z,1,REGULAR,freethrow,1 of 2,[],1626162,,,1610612755,0,3,2026-03-09T23:13:53Z,160000,False,,,0,,K. Oubre Jr. Free Throw 1 of 2 (1 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
17,PT10M52.00S,2026-03-09T23:14:09.9Z,1,REGULAR,freethrow,2 of 2,[],1626162,,,1610612755,0,4,2026-03-09T23:14:09Z,170000,False,,,0,,K. Oubre Jr. Free Throw 2 of 2 (2 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
