actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-22T00:13:03.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-22T00:13:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-22T00:13:07.6Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2025-11-22T00:13:07Z,40000,False,,,0,,Jump Ball E. Mobley vs. I. Jackson: Tip to D. Mitchell,"[1628378, 1630596, 1630543]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Mobley,1630596.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-11-22T00:13:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,6.389618922470433,50.245098039215684,1610612739,2,0,2025-11-22T00:13:37Z,70000,False,-1.0,8.0,1,left,D. Hunter driving Layup (2 PTS),[1629631],1610612739.0,CLE,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2025-11-22T00:13:51.5Z,1,REGULAR,2pt,Jump Shot,[],1627783,91.67214191852825,14.460784313725492,1610612754,2,2,2025-11-22T00:15:20Z,80000,False,-178.0,26.0,1,right,P. Siakam 17' Jump Shot (2 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left,17.96,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M03.00S,2025-11-22T00:14:06.6Z,1,REGULAR,foul,personal,['2freethrow'],1631097,,,1610612739,2,2,2025-11-22T00:14:17Z,90000,False,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Mobley 2 FT),"[1631097, 1630596]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,1193.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,
11,PT11M03.00S,2025-11-22T00:14:27.2Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,2,2,2025-11-22T00:14:27Z,110000,False,,,0,,MISS E. Mobley Free Throw 1 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2025-11-22T00:14:27.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,2,2,2025-11-22T00:14:27Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,
13,PT11M03.00S,2025-11-22T00:14:27.2Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,2,2,2025-11-22T00:14:52Z,130000,False,,,0,,MISS E. Mobley Free Throw 2 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2025-11-22T00:14:30.2Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,2,2025-11-22T00:14:52Z,140000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT10M59.00S,2025-11-22T00:14:45.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630596,6.783837056504599,51.225490196078425,1610612739,2,2,2025-11-22T00:15:00Z,150000,False,-6.0,11.0,1,left,MISS E. Mobley putback DUNK,[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2025-11-22T00:14:51.2Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,2,2025-11-22T00:14:51Z,160000,False,,,0,,E. Mobley REBOUND (Off:2 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,2.0,0.0,2.0,,,,,,,,
17,PT10M56.00S,2025-11-22T00:14:52.0Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,2,2,2025-11-22T00:15:11Z,170000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1631097]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Mathurin,1631097.0,,,,,
18,PT10M56.00S,2025-11-22T00:14:52.0Z,1,REGULAR,steal,,[],1631097,,,1610612754,2,2,2025-11-22T00:14:54Z,180000,False,,,0,,B. Mathurin STEAL (1 STL),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M56.00S,2025-11-22T00:14:57.8Z,1,REGULAR,foul,personal,[],1629631,,,1610612754,2,2,2025-11-22T00:15:00Z,190000,False,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 1631097]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,1193.0,1.0,0.0,Mathurin,1631097.0,,,,,,,,,,,,
21,PT10M51.00S,2025-11-22T00:15:14.8Z,1,REGULAR,turnover,bad pass,[],1631097,,,1610612754,2,2,2025-11-22T00:15:21Z,210000,False,,,0,,B. Mathurin bad pass TURNOVER (1 TO),"[1631097, 1629631]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,Hunter,1629631.0,,,,,
