actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-03T00:42:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T00:42:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-03T00:42:39.2Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2026-01-03T00:42:39Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Holmes II: Tip to E. Mobley,"[1630596, 1628386, 1641747]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Holmes II,1641747.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-03T00:42:55.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,32.14520367936925,32.35294117647059,1610612739,0,0,2026-01-03T00:43:02Z,70000,False,88.0,250.0,1,left,MISS D. Garland 26' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,26.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-03T00:42:55.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,0,2026-01-03T00:43:02Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2026-01-03T00:43:21.3Z,1,REGULAR,3pt,Jump Shot,[],1642461,93.11760840998686,96.56862745098039,1610612743,0,3,2026-01-03T00:43:25Z,100000,False,233.0,12.0,1,right,S. Jones 3PT  (3 PTS) (D. Holmes II 1 AST),"[1642461, 1641747]",1610612743.0,DEN,,,,Jones,S. Jones,,,,,Right Corner 3,24+ Right,23.31,Made,,3.0,D. Holmes II,1641747.0,1.0,,,,,,,,,,,,,
12,PT11M04.00S,2026-01-03T00:43:44.2Z,1,REGULAR,foul,personal,['2freethrow'],1641747,,,1610612739,0,3,2026-01-03T00:43:58Z,120000,False,,,0,,D. Holmes II shooting personal FOUL (1 PF) (Allen 2 FT),"[1641747, 1628386]",1610612743.0,DEN,shooting,,,Holmes II,D. Holmes II,,,,,Restricted Area,0-8 Center,,,,,,,,1627526.0,1.0,0.0,Allen,1628386.0,,,,,,,,
14,PT11M04.00S,2026-01-03T00:44:05.6Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,1,3,2026-01-03T00:44:05Z,140000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
15,PT11M04.00S,2026-01-03T00:44:19.7Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,2,3,2026-01-03T00:44:19Z,150000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
16,PT10M48.00S,2026-01-03T00:44:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642461,92.59198423127464,39.950980392156865,1610612743,2,3,2026-01-03T00:51:32Z,160000,False,-50.0,17.0,1,right,MISS S. Jones floating Shot - blocked,"[1642461, 1630596]",1610612743.0,DEN,floating,,,Jones,S. Jones,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,Mobley,1630596.0,,,,,,
17,PT10M48.00S,2026-01-03T00:44:36.4Z,1,REGULAR,block,,[],1630596,,,1610612743,2,3,2026-01-03T00:44:39Z,170000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2026-01-03T00:44:40.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,3,2026-01-03T00:44:41Z,180000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,,,,,,,,,,,,1.0,1.0,0.0,,,
19,PT10M39.00S,2026-01-03T00:44:48.6Z,1,REGULAR,foul,personal,['2freethrow'],1641747,,,1610612739,2,3,2026-01-03T00:45:05Z,190000,False,,,0,,D. Holmes II shooting personal FOUL (2 PF) (Mobley 2 FT),"[1641747, 1630596]",1610612743.0,DEN,shooting,,,Holmes II,D. Holmes II,,,,,Restricted Area,0-8 Center,,,,,,,,204059.0,2.0,0.0,Mobley,1630596.0,,,,,,,,
21,PT10M39.00S,2026-01-03T00:45:09.9Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,2,3,2026-01-03T00:45:58Z,210000,False,,,0,,MISS E. Mobley Free Throw 1 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M39.00S,2026-01-03T00:45:09.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,2,3,2026-01-03T00:45:58Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
23,PT10M39.00S,2026-01-03T00:45:11.0Z,1,REGULAR,substitution,out,[],1641747,,,1610612739,2,3,2026-01-03T00:45:18Z,230000,False,,,0,,SUB out: D. Holmes II,[1641747],1610612743.0,DEN,,,,Holmes II,D. Holmes II,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M39.00S,2026-01-03T00:45:11.0Z,1,REGULAR,substitution,in,[],1630192,,,1610612739,2,3,2026-01-03T00:45:18Z,240000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M39.00S,2026-01-03T00:45:09.9Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,2,3,2026-01-03T00:45:58Z,250000,False,,,0,,MISS E. Mobley Free Throw 2 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT10M36.00S,2026-01-03T00:45:12.9Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,3,2026-01-03T00:45:58Z,260000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,25.0,,,,,,,,,,,,1.0,0.0,1.0,,,
