actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-06T00:40:48.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T00:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-06T00:40:52.2Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2025-12-06T00:40:52Z,40000,False,,,0,,Jump Ball B. Biyombo vs. E. Mobley: Tip to D. Fox,"[1628368, 202687, 1630596]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Biyombo,202687.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-06T00:41:01.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202687,6.1268068331143235,50.98039215686274,1610612759,0,2,2025-12-06T00:41:08Z,70000,False,-5.0,5.0,1,left,B. Biyombo alley-oop DUNK (2 PTS) (D. Vassell 1 AST),"[202687, 1630170]",1610612759.0,SAS,alley-oop,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,0.71,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-12-06T00:41:18.7Z,1,REGULAR,foul,personal,[],1630170,,,1610612739,0,2,2025-12-06T00:41:25Z,90000,False,,,0,,D. Vassell personal FOUL (1 PF),"[1630170, 1628378]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,,,,,,200834.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
11,PT11M23.00S,2025-12-06T00:41:43.2Z,1,REGULAR,3pt,Jump Shot,[],1641772,95.0886990801577,96.07843137254902,1610612739,0,2,2025-12-06T00:41:46Z,110000,False,230.0,-6.0,1,right,MISS N. Tomlin 3PT,[1641772],1610612739.0,CLE,,,,Tomlin,N. Tomlin,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2025-12-06T00:41:46.2Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,0,2,2025-12-06T00:41:46Z,120000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M15.00S,2025-12-06T00:41:50.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,29.25427069645204,18.137254901960784,1610612759,0,2,2025-12-06T00:41:56Z,130000,False,159.0,222.0,1,left,MISS D. Vassell 27' running 3PT,[1630170],1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,27.36,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2025-12-06T00:41:54.7Z,1,REGULAR,rebound,offensive,[],1630577,,,1610612759,0,2,2025-12-06T00:41:54Z,140000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:0),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT11M10.00S,2025-12-06T00:41:56.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,32.53942181340342,48.529411764705884,1610612759,0,2,2025-12-06T00:42:06Z,150000,False,7.0,253.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,25.35,Missed,,,,,,,,,,,,,,,,,,
16,PT11M09.00S,2025-12-06T00:41:57.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,2,2025-12-06T00:42:06Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,15.0,,,,,,,,
