actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-20T00:40:49.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-20T00:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-20T00:40:57.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2025-12-20T00:40:57Z,40000,False,,,0,,Jump Ball N. Vučević vs. J. Allen: Tip to Team (CHI),"[202696, 1628386]",1610612741.0,CHI,startperiod,Team (CHI),Vučević,202696.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-12-20T00:41:18.8Z,1,REGULAR,3pt,Jump Shot,[],202696,69.59592641261499,27.450980392156865,1610612741,0,0,2025-12-20T00:41:41Z,80000,False,-113.0,233.0,1,right,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,25.91,Missed,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-12-20T00:41:20.8Z,1,REGULAR,rebound,defensive,[],1642878,,,1610612739,0,0,2025-12-20T00:41:41Z,90000,False,,,0,,T. Proctor REBOUND (Off:0 Def:1),[1642878],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Proctor,T. Proctor,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M22.00S,2025-12-20T00:41:55.4Z,1,REGULAR,3pt,Jump Shot,[],1642878,28.728646517739815,18.137254901960784,1610612739,3,0,2025-12-20T00:42:20Z,110000,False,159.0,218.0,1,left,T. Proctor 26' 3PT step back (3 PTS),[1642878],1610612739.0,CLE,step back,,,,,,Above the Break 3,24+ Right Center,26.96,Made,Proctor,T. Proctor,,,,,3.0,,,,,,,,,,,,,
12,PT11M13.00S,2025-12-20T00:42:05.2Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,3,0,2025-12-20T00:42:47Z,120000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1628386]",1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,Giddey,J. Giddey,,,,,,1.0,Allen,1628386.0,,,,,,,,,,
13,PT11M13.00S,2025-12-20T00:42:05.2Z,1,REGULAR,steal,,[],1628386,,,1610612739,3,0,2025-12-20T00:42:07Z,130000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2025-12-20T00:42:10.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629731,26.757555847568987,82.84313725490196,1610612739,3,0,2025-12-20T00:42:17Z,140000,False,-164.0,199.0,1,left,MISS D. Wade 25' running 3PT,[1629731],1610612739.0,CLE,running,,,,,,Above the Break 3,24+ Left Center,25.8,Missed,Wade,D. Wade,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2025-12-20T00:42:13.4Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,3,0,2025-12-20T00:42:17Z,150000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Buzelis,M. Buzelis,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M51.00S,2025-12-20T00:42:25.3Z,1,REGULAR,3pt,Jump Shot,[],1629632,69.07030223390277,77.45098039215686,1610612741,3,0,2025-12-20T00:42:29Z,160000,False,137.0,238.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,27.49,Missed,White,C. White,,,,,,,,,,,,,,,,,,
