actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-10T18:12:51.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-10T18:12:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-01-10T18:12:55.5Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2026-01-10T18:12:55Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Allen: Tip to J. Randle,"[203944, 203497, 1628386]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2026-01-10T18:13:18.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612750,0,0,2026-01-10T18:13:24Z,70000,False,,,0,,MIN shot clock Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2026-01-10T18:13:55.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630241,18.084756898817346,52.450980392156865,1610612739,0,0,2026-01-10T18:15:39Z,90000,False,-12.0,117.0,1,left,MISS S. Merrill 11' driving floating Shot,[1630241],1610612739.0,CLE,driving floating,,,Merrill,S. Merrill,,,,,In The Paint (Non-RA),8-16 Center,,11.81,Missed,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2026-01-10T18:13:57.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2026-01-10T18:15:39Z,100000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M11.00S,2026-01-10T18:14:19.1Z,1,REGULAR,2pt,Jump Shot,[],1630183,79.188567674113,49.26470588235294,1610612750,0,0,2026-01-10T18:14:22Z,120000,False,-4.0,143.0,1,right,MISS J. McDaniels 14' driving floating Shot,[1630183],1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,,14.31,Missed,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2026-01-10T18:14:21.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2026-01-10T18:14:21Z,130000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Center,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,
14,PT11M08.00S,2026-01-10T18:14:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,94.03745072273325,48.77450980392157,1610612750,0,2,2026-01-10T18:14:26Z,140000,False,-6.0,4.0,1,right,R. Gobert putback Layup (2 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,0.7,Made,,,,,2.0,,,,,,,,,,,,
15,PT10M59.00S,2026-01-10T18:14:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.488173455978973,36.27450980392157,1610612739,3,2,2026-01-10T18:14:34Z,150000,False,69.0,243.0,1,left,D. Mitchell 25' 3PT pullup (3 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,25.3,Made,,,,,3.0,,,,,,,,,,,,
16,PT10M44.00S,2026-01-10T18:14:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.85479632063075,50.98039215686274,1610612750,3,4,2026-01-10T18:16:31Z,160000,False,5.0,15.0,1,right,R. Gobert driving Layup (4 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,1.55,Made,,,,,4.0,A. Edwards,1630162.0,1.0,,,,,,,,,
18,PT10M34.00S,2026-01-10T18:14:55.7Z,1,REGULAR,2pt,Jump Shot,[],1628378,20.45006570302234,20.588235294117645,1610612739,5,4,2026-01-10T18:14:59Z,180000,False,147.0,140.0,1,left,D. Mitchell 20' pullup Jump Shot (5 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,20.29,Made,,,,,5.0,,,,,,,,,,,,
19,PT10M16.00S,2026-01-10T18:15:13.6Z,1,REGULAR,3pt,Jump Shot,[],203944,90.09526938239159,3.1862745098039214,1610612750,5,7,2026-01-10T18:15:17Z,190000,False,-234.0,41.0,1,right,J. Randle 3PT  (3 PTS) (D. DiVincenzo 1 AST),"[203944, 1628978]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,23.76,Made,,,,,3.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,
21,PT09M56.00S,2026-01-10T18:15:33.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,20.05584756898817,51.71568627450981,1610612739,5,7,2026-01-10T18:17:19Z,210000,False,-9.0,136.0,1,left,MISS J. Allen 13' floating Shot,[1628386],1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,13.63,Missed,,,,,,,,,,,,,,,,,
22,PT09M54.00S,2026-01-10T18:15:35.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,5,7,2026-01-10T18:15:35Z,220000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,
23,PT09M50.00S,2026-01-10T18:15:40.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630596,11.251642575558476,44.85294117647059,1610612739,7,7,2026-01-10T18:15:43Z,230000,False,26.0,53.0,1,left,E. Mobley driving Hook (2 PTS) (S. Merrill 1 AST),"[1630596, 1630241]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,5.92,Made,,,,,2.0,S. Merrill,1630241.0,1.0,,,,,,,,,
25,PT09M32.00S,2026-01-10T18:16:03.7Z,1,REGULAR,foul,personal,[],1630241,,,1610612750,7,7,2026-01-10T18:17:59Z,250000,False,,,0,,S. Merrill personal FOUL (1 PF),"[1630241, 203497]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Mid-Range,16-24 Right,1146.0,,,,,,,,,,,1.0,0.0,Gobert,203497.0,,,,,
27,PT09M23.00S,2026-01-10T18:16:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,59.34625492772667,66.42156862745098,1610612750,7,7,2026-01-10T18:16:32Z,270000,False,82.0,330.0,1,right,MISS A. Edwards 33' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,33.97,Missed,,,,,,,,,,,,,,,,,
28,PT09M19.00S,2026-01-10T18:16:32.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,7,2026-01-10T18:16:32Z,280000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,
29,PT09M17.00S,2026-01-10T18:16:35.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,19.004599211563733,5.88235294117647,1610612739,7,7,2026-01-10T18:16:42Z,290000,False,221.0,126.0,1,left,MISS D. Mitchell 25' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,25.41,Missed,,,,,,,,,,,,,,,,,
30,PT09M14.00S,2026-01-10T18:16:37.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,7,7,2026-01-10T18:16:37Z,300000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M06.00S,2026-01-10T18:16:45.5Z,1,REGULAR,3pt,Jump Shot,[],203944,67.62483574244416,69.36274509803921,1610612750,7,7,2026-01-10T18:16:50Z,310000,False,97.0,252.0,1,right,MISS J. Randle 26' step back 3PT,[203944],1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,26.98,Missed,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2026-01-10T18:16:47.5Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,7,7,2026-01-10T18:16:50Z,320000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M01.00S,2026-01-10T18:16:51.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630596,6.258212877792378,51.225490196078425,1610612739,9,7,2026-01-10T18:16:56Z,330000,False,-6.0,6.0,1,left,E. Mobley running DUNK (4 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,0.88,Made,,,,,4.0,D. Mitchell,1628378.0,1.0,,,,,,,,,
35,PT08M42.00S,2026-01-10T18:17:10.5Z,1,REGULAR,3pt,Jump Shot,[],1628978,69.46452036793693,27.941176470588236,1610612750,9,10,2026-01-10T18:17:13Z,350000,False,-110.0,235.0,1,right,D. DiVincenzo 25' 3PT pullup (3 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,25.91,Made,,,,,3.0,J. Randle,203944.0,1.0,,,,,,,,,
36,PT08M31.00S,2026-01-10T18:17:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,4.812746386333772,48.28431372549019,1610612739,11,10,2026-01-10T18:17:28Z,360000,False,9.0,-7.0,1,left,D. Mitchell driving Layup (7 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,1.13,Made,,,,,7.0,,,,,,,,,,,,
