actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-20T00:12:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-20T00:12:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-20T00:12:47.9Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612739,0,0,2026-02-20T00:12:47Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Sharpe: Tip to J. Harden,"[201935, 1628386, 1630549]",1610612739.0,CLE,startperiod,J. Harden,201935.0,Harden,J. Harden,Allen,1628386.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-20T00:13:01.6Z,1,REGULAR,foul,personal,['2freethrow'],1641730,,,1610612739,0,0,2026-02-20T00:13:12Z,70000,False,,,0,,N. Clowney shooting personal FOUL (1 PF) (Allen 2 FT),"[1641730, 1628386]",1610612751.0,BKN,shooting,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,202041.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2026-02-20T00:13:25.7Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,0,0,2026-02-20T00:13:25Z,90000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M45.00S,2026-02-20T00:13:25.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,0,0,2026-02-20T00:13:25Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M45.00S,2026-02-20T00:13:39.0Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,1,0,2026-02-20T00:13:39Z,110000,False,,,0,,J. Allen Free Throw 2 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M30.00S,2026-02-20T00:13:57.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,8.09789750328515,49.50980392156863,1610612751,1,0,2026-02-20T00:15:24Z,120000,False,2.0,24.0,1,left,MISS M. Porter Jr. driving DUNK - blocked,"[1629008, 1628386]",1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.37,Allen,1628386.0,,,,,,,,,
13,PT11M30.00S,2026-02-20T00:13:57.7Z,1,REGULAR,block,,[],1628386,,,1610612751,1,0,2026-02-20T00:14:00Z,130000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M27.00S,2026-02-20T00:14:00.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,1,0,2026-02-20T00:15:24Z,140000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,12.0,,,,,1.0,1.0,0.0,,,,,,
15,PT11M21.00S,2026-02-20T00:14:05.4Z,1,REGULAR,3pt,Jump Shot,[],1629731,79.45137976346912,93.13725490196079,1610612739,4,0,2026-02-20T00:16:00Z,150000,False,216.0,141.0,1,right,D. Wade 25' 3PT  (3 PTS) (J. Harden 1 AST),"[1629731, 201935]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,25.75,,,,,,J. Harden,201935.0,1.0,,,
17,PT11M19.00S,2026-02-20T00:14:14.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,4,0,2026-02-20T00:14:14Z,170000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M11.00S,2026-02-20T00:17:17.8Z,1,REGULAR,3pt,Jump Shot,[],1641730,15.588042049934298,4.6568627450980395,1610612751,4,0,2026-02-20T00:17:21Z,190000,False,227.0,94.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right,,,,,,Missed,,,24.54,,,,,,,,,,,
20,PT11M08.00S,2026-02-20T00:17:20.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,4,0,2026-02-20T00:17:21Z,200000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right,,,,,,,19.0,,,,,1.0,1.0,0.0,,,,,,
21,PT11M05.00S,2026-02-20T00:17:24.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630596,93.9060446780552,49.26470588235294,1610612739,6,0,2026-02-20T00:17:33Z,210000,False,-4.0,5.0,1,right,E. Mobley running DUNK (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,0.61,,,,,,D. Mitchell,1628378.0,1.0,,,
23,PT10M49.00S,2026-02-20T00:17:40.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.882391590013142,63.725490196078425,1610612751,6,0,2026-02-20T00:19:17Z,230000,False,-69.0,247.0,1,left,MISS M. Porter Jr. 25' pullup 3PT,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,25.65,,,,,,,,,,,
24,PT10M48.00S,2026-02-20T00:17:41.3Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,6,0,2026-02-20T00:19:56Z,240000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,23.0,,,,,1.0,0.0,1.0,,,,,,
36,PT10M47.00S,2026-02-20T00:17:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,6.258212877792378,50.0,1610612751,6,0,2026-02-20T00:20:07Z,245000,False,0.0,6.0,1,left,MISS D. Sharpe tip Layup,[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,0.63,,,,,,,,,,,
