actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-26T22:12:09.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-26T22:12:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-10-26T22:12:15.9Z,1,REGULAR,jumpball,recovered,[],1629018,,,1610612749,0,0,2025-10-26T22:12:15Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Allen: Tip to G. Trent Jr.,"[1629018, 1626167, 1628386]",1610612749.0,MIL,startperiod,G. Trent Jr.,1629018.0,Trent Jr.,G. Trent Jr.,Turner,1626167.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-10-26T22:12:32.4Z,1,REGULAR,violation,kicked ball,[],1630596,,,1610612749,0,0,2025-10-26T22:13:04Z,70000,False,,,0,,E. Mobley kicked ball VIOLATION,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,1628484.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-10-26T22:12:46.8Z,1,REGULAR,foul,personal,[],1629631,,,1610612749,0,0,2025-10-26T22:12:54Z,80000,False,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 203507]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,1628484.0,Restricted Area,0-8 Center,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
10,PT11M31.00S,2025-10-26T22:13:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629018,17.559132720105126,95.83333333333334,1610612749,0,0,2025-10-26T22:13:18Z,100000,False,-229.0,113.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,Above the Break 3,24+ Left Center,,,,,25.54,Missed,,,,,,,,,,,,,
11,PT11M27.00S,2025-10-26T22:13:14.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612749,0,0,2025-10-26T22:13:18Z,110000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M21.00S,2025-10-26T22:13:20.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,5.338370565045992,49.754901960784316,1610612749,0,0,2025-10-26T22:13:27Z,120000,False,1.0,-2.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1630596]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,,Restricted Area,0-8 Center,,,,,0.26,Missed,,,,,Mobley,1630596.0,,,,,,,
13,PT11M21.00S,2025-10-26T22:13:20.3Z,1,REGULAR,block,,[],1630596,,,1610612749,0,0,2025-10-26T22:13:22Z,130000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2025-10-26T22:13:23.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2025-10-26T22:13:27Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M11.00S,2025-10-26T22:13:30.2Z,1,REGULAR,3pt,Jump Shot,[],1630596,69.20170827858082,30.637254901960787,1610612739,0,0,2025-10-26T23:32:27Z,150000,False,-97.0,237.0,1,right,MISS E. Mobley 25' pullup 3PT,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,,Above the Break 3,24+ Left Center,,,,,25.6,Missed,,,,,,,,,,,,,
