actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-07T00:42:07.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-07T00:42:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-07T00:42:11.4Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612739,0,0,2025-12-07T00:42:11Z,40000,False,,,0,,Jump Ball E. Mobley vs. Q. Post: Tip to D. Hunter,"[1629631, 1630596, 1642366]",1610612739.0,CLE,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Mobley,1630596.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-07T00:42:24.8Z,1,REGULAR,foul,personal,[],1630311,,,1610612739,0,0,2025-12-07T00:42:41Z,70000,False,,,0,,P. Spencer personal FOUL (1 PF),"[1630311, 1630596]",1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),0-8 Center,203593.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-12-07T00:42:53.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,5.469776609724048,51.225490196078425,1610612739,2,0,2025-12-07T00:42:59Z,90000,False,-6.0,-1.0,1,left,E. Mobley alley-oop DUNK (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,0.62,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,
11,PT11M11.00S,2025-12-07T00:43:16.3Z,1,REGULAR,3pt,Jump Shot,[],1642366,65.25952693823915,52.20588235294118,1610612744,2,3,2025-12-07T00:43:50Z,110000,False,11.0,274.0,1,right,Q. Post 27' 3PT pullup (3 PTS) (B. Hield 1 AST),"[1642366, 1627741]",1610612744.0,GSW,pullup,,,Post,Q. Post,,,,,Above the Break 3,24+ Center,,,,,,27.43,Made,3.0,B. Hield,1627741.0,1.0,,,,,,,,,
13,PT10M58.00S,2025-12-07T00:43:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,9.017739816031538,49.01960784313725,1610612739,2,3,2025-12-07T00:43:35Z,130000,False,5.0,32.0,1,left,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,3.27,Missed,,,,,,,,,,,,,
14,PT10M55.00S,2025-12-07T00:43:33.3Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,2,3,2025-12-07T00:43:35Z,140000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M45.00S,2025-12-07T00:43:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642366,92.72339027595268,50.98039215686274,1610612744,2,3,2025-12-07T00:44:48Z,150000,False,5.0,16.0,1,right,MISS Q. Post driving finger roll Layup,[1642366],1610612744.0,GSW,driving finger roll,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,,,,,,1.66,Missed,,,,,,,,,,,,,
16,PT10M43.00S,2025-12-07T00:43:44.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,3,2025-12-07T00:43:49Z,160000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M39.00S,2025-12-07T00:43:48.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629631,6.521024967148489,49.01960784313725,1610612739,2,3,2025-12-07T00:45:26Z,170000,False,5.0,9.0,1,left,MISS D. Hunter running Layup,[1629631],1610612739.0,CLE,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,1.01,Missed,,,,,,,,,,,,,
