actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-12-23T00:13:14.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-23T00:13:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-23T00:13:22.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612739,0,0,2025-12-23T00:13:22Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Plumlee: Tip to Team (CLE),"[1628386, 203486]",1610612739.0,CLE,startperiod,Team (CLE),Allen,1628386.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-12-23T00:13:45.2Z,1,REGULAR,turnover,traveling,[],1628378,,,1610612739,0,0,2025-12-23T00:15:24Z,70000,False,,,0,,D. Mitchell traveling TURNOVER (1 TO),[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,1627541.0,1.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-12-23T00:14:12.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,69.99014454664915,76.7156862745098,1610612766,0,0,2025-12-23T00:14:18Z,80000,False,134.0,230.0,1,right,MISS B. Miller 26' step back 3PT,[1641706],1610612766.0,CHA,step back,,,,,,Above the Break 3,24+ Right Center,,,Miller,B. Miller,26.56,Missed,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-12-23T00:14:16.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2025-12-23T00:14:18Z,90000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Allen,J. Allen,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M20.00S,2025-12-23T00:14:24.9Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612739,0,0,2025-12-23T00:18:26Z,100000,False,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Allen 2 FT),"[203486, 1628386]",1610612766.0,CHA,shooting,,,,,,In The Paint (Non-RA),0-8 Center,202058.0,,Plumlee,M. Plumlee,,,,,,,1.0,0.0,Allen,1628386.0,,,,,,,,,
13,PT11M20.00S,2025-12-23T00:14:53.2Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,1,0,2025-12-23T00:14:53Z,120000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,,,,,,,,Allen,J. Allen,,Made,,,,,,,,,1.0,,,,,,,,
14,PT11M20.00S,2025-12-23T00:15:06.4Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,2,0,2025-12-23T00:15:06Z,130000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,,,,,,,,Allen,J. Allen,,Made,,,,,,,,,2.0,,,,,,,,
16,PT11M04.00S,2025-12-23T00:15:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,67.23061760840999,30.392156862745097,1610612766,2,3,2025-12-23T00:15:28Z,140000,False,-98.0,256.0,1,right,L. Ball 27' 3PT step back (3 PTS),[1630163],1610612766.0,CHA,step back,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,27.36,Made,,,,,,,,,3.0,,,,,,,,
17,PT10M52.00S,2025-12-23T00:15:37.2Z,1,REGULAR,3pt,Jump Shot,[],1629636,6.258212877792378,1.2254901960784315,1610612739,5,3,2025-12-23T00:15:40Z,150000,False,244.0,6.0,1,left,D. Garland 24' 3PT  (3 PTS) (D. Wade 1 AST),"[1629636, 1629731]",1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,,,Garland,D. Garland,24.4,Made,,,,,,,,,3.0,D. Wade,1629731.0,1.0,,,,,
19,PT10M33.00S,2025-12-23T00:15:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,85.10183968462549,4.166666666666666,1610612766,5,6,2025-12-23T00:15:58Z,170000,False,-229.0,88.0,1,right,L. Ball 24' 3PT  (6 PTS) (B. Miller 1 AST),"[1630163, 1641706]",1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,Ball,L. Ball,24.53,Made,,,,,,,,,6.0,B. Miller,1641706.0,1.0,,,,,
21,PT10M22.00S,2025-12-23T00:16:07.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,31.35676741130092,65.44117647058823,1610612739,8,6,2025-12-23T00:16:19Z,190000,False,-77.0,242.0,1,left,D. Garland 25' 3PT pullup (6 PTS),[1629636],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Center,,,Garland,D. Garland,25.43,Made,,,,,,,,,6.0,,,,,,,,
22,PT10M08.00S,2025-12-23T00:16:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,93.64323258869908,50.98039215686274,1610612766,8,8,2025-12-23T00:16:25Z,200000,False,5.0,7.0,1,right,M. Plumlee alley-oop Layup (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,alley-oop,,,,,,Restricted Area,0-8 Center,,,Plumlee,M. Plumlee,0.88,Made,,,,,,,,,2.0,L. Ball,1630163.0,1.0,,,,,
24,PT10M08.00S,2025-12-23T00:16:22.9Z,1,REGULAR,foul,personal,['1freethrow'],1628378,,,1610612766,8,8,2025-12-23T00:16:35Z,220000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Plumlee 1 FT),"[1628378, 203486]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,202058.0,,Mitchell,D. Mitchell,,,,,,,1.0,0.0,Plumlee,203486.0,,,,,,,,,
26,PT10M08.00S,2025-12-23T00:16:44.3Z,1,REGULAR,freethrow,1 of 1,[],203486,,,1610612766,8,9,2025-12-23T00:16:44Z,240000,False,,,0,,M. Plumlee Free Throw 1 of 1 (3 PTS),[203486],1610612766.0,CHA,,,,,,,,,,,Plumlee,M. Plumlee,,Made,,,,,,,,,3.0,,,,,,,,
27,PT10M01.00S,2025-12-23T00:16:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612739,8,9,2025-12-23T00:17:06Z,250000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (Garland 2 FT),"[1641706, 1629636]",1610612766.0,CHA,shooting,,,,,,Restricted Area,0-8 Center,202058.0,,Miller,B. Miller,,,,,,,1.0,0.0,Garland,1629636.0,,,,,,,,,
29,PT10M01.00S,2025-12-23T00:17:23.6Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,9,9,2025-12-23T00:17:23Z,270000,False,,,0,,D. Garland Free Throw 1 of 2 (7 PTS),[1629636],1610612739.0,CLE,,,,,,,,,,,Garland,D. Garland,,Made,,,,,,,,,7.0,,,,,,,,
