actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-13T00:11:13.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-13T00:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-13T00:11:16.4Z,1,REGULAR,jumpball,recovered,[],203994,,,1610612762,0,0,2026-01-13T00:11:16Z,40000,False,,,0,,Jump Ball J. Nurkić vs. J. Allen: Tip to J. Nurkić,"[203994, 203994, 1628386]",1610612762.0,UTA,startperiod,J. Nurkić,203994.0,Nurkić,J. Nurkić,Nurkić,203994.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-13T00:11:30.7Z,1,REGULAR,foul,personal,['2freethrow'],1629636,,,1610612762,0,0,2026-01-13T00:11:40Z,70000,False,,,0,,D. Garland shooting personal FOUL (1 PF) (George 2 FT),"[1629636, 1641718]",1610612739.0,CLE,shooting,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,1628481.0,1.0,0.0,George,1641718.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2026-01-13T00:12:00.4Z,1,REGULAR,freethrow,1 of 2,[],1641718,,,1610612762,0,1,2026-01-13T00:12:00Z,90000,False,,,0,,K. George Free Throw 1 of 2 (1 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2026-01-13T00:12:18.5Z,1,REGULAR,freethrow,2 of 2,[],1641718,,,1610612762,0,2,2026-01-13T00:12:18Z,100000,False,,,0,,K. George Free Throw 2 of 2 (2 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M33.00S,2026-01-13T00:12:30.5Z,1,REGULAR,3pt,Jump Shot,[],1630596,30.17411300919842,23.52941176470588,1610612739,0,2,2026-01-13T00:12:34Z,110000,False,132.0,231.0,1,left,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.63,,,,,,,,,,,,
12,PT11M30.00S,2026-01-13T00:12:33.5Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,0,2,2026-01-13T00:12:34Z,120000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M28.00S,2026-01-13T00:12:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642262,93.38042049934296,50.245098039215684,1610612762,0,2,2026-01-13T00:12:41Z,130000,False,1.0,10.0,1,right,MISS C. Williams running Layup,[1642262],1610612762.0,UTA,running,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,,,Missed,,0.98,,,,,,,,,,,,
14,PT11M28.00S,2026-01-13T00:12:38.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,2,2026-01-13T00:12:38Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,13.0,,,,,,,,,,,
16,PT11M19.00S,2026-01-13T00:13:07.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,86.94152431011827,35.78431372549019,1610612762,0,2,2026-01-13T00:13:33Z,160000,False,-71.0,70.0,1,right,MISS J. Nurkić 9' driving Hook,[203994],1610612762.0,UTA,driving,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,9.99,,,,,,,,,,,,
17,PT11M19.00S,2026-01-13T00:13:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,2,2026-01-13T00:13:12Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,16.0,,,,,,,,,,,
19,PT11M08.00S,2026-01-13T00:13:25.3Z,1,REGULAR,turnover,bad pass,[],1630241,,,1610612739,0,2,2026-01-13T00:13:29Z,190000,False,,,0,,S. Merrill bad pass TURNOVER (1 TO),"[1630241, 203994]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,Nurkić,203994.0,,,,,
20,PT11M08.00S,2026-01-13T00:13:25.3Z,1,REGULAR,steal,,[],203994,,,1610612762,0,2,2026-01-13T00:13:28Z,200000,False,,,0,,J. Nurkić STEAL (1 STL),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
