actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-19T19:43:14.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-19T19:43:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-19T19:43:19.1Z,1,REGULAR,jumpball,recovered,[],1629731,,,1610612739,0,0,2026-01-19T19:43:19Z,40000,False,,,0,,Jump Ball J. Allen vs. C. Holmgren: Tip to D. Wade,"[1629731, 1628386, 1631096]",1610612739.0,CLE,startperiod,D. Wade,1629731.0,Wade,D. Wade,Allen,1628386.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-01-19T19:43:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.32917214191852,51.225490196078425,1610612739,2,0,2026-01-19T19:43:38Z,80000,False,6.0,20.0,1,right,D. Mitchell driving finger roll Layup (2 PTS),[1628378],1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.05,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2026-01-19T19:43:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,20.05584756898817,43.872549019607845,1610612760,2,2,2026-01-19T19:44:04Z,90000,False,31.0,136.0,1,left,A. Wiggins 13' turnaround fadeaway Jump Shot (2 PTS),[1630598],1610612760.0,OKC,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,13.94,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2026-01-19T19:44:07.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,94.43166885676742,49.754901960784316,1610612739,4,2,2026-01-19T19:44:12Z,100000,False,-1.0,0.0,1,right,E. Mobley cutting DUNK (2 PTS) (J. Allen 1 AST),"[1630596, 1628386]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.12,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
12,PT10M49.00S,2026-01-19T19:44:24.6Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,4,2,2026-01-19T19:44:30Z,120000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 1630596]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Mobley,1630596.0,,,,,,,,,,,
13,PT10M49.00S,2026-01-19T19:44:24.6Z,1,REGULAR,steal,,[],1630596,,,1610612739,4,2,2026-01-19T19:44:28Z,130000,False,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2026-01-19T19:44:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629731,94.30026281208936,53.18627450980392,1610612739,4,2,2026-01-19T19:44:39Z,140000,False,16.0,1.0,1,right,MISS D. Wade running Layup,[1629731],1610612739.0,CLE,running,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2026-01-19T19:44:31.7Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,4,2,2026-01-19T19:44:39Z,150000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M28.00S,2026-01-19T19:44:45.9Z,1,REGULAR,3pt,Jump Shot,[],1631119,31.09395532194481,69.11764705882352,1610612760,4,5,2026-01-19T19:44:50Z,160000,False,-96.0,240.0,1,left,J. Williams 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1631119, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,25.82,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
18,PT10M17.00S,2026-01-19T19:44:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,84.57621550591328,39.950980392156865,1610612739,6,5,2026-01-19T19:45:02Z,180000,False,-50.0,92.0,1,right,J. Allen 10' floating Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,10.52,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
20,PT10M05.00S,2026-01-19T19:45:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.783837056504599,51.71568627450981,1610612760,6,7,2026-01-19T19:48:02Z,200000,False,-9.0,11.0,1,left,S. Gilgeous-Alexander cutting Layup (2 PTS) (J. Williams 1 AST),"[1628983, 1631119]",1610612760.0,OKC,cutting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.42,Made,2.0,J. Williams,1631119.0,1.0,,,,,,,,,,,,,,
26,PT09M56.00S,2026-01-19T19:45:46.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,6,7,2026-01-19T19:56:43Z,220000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2026-01-19T19:45:46.4Z,1,REGULAR,foul,offensive,[],1628378,,,1610612739,6,7,2026-01-19T19:55:29Z,230000,False,,,0,,D. Mitchell offensive FOUL (1 PF),"[1628378, 1631119]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,101283.0,1.0,0.0,Williams,1631119.0,,
