actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-27T00:13:10.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-27T00:13:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-27T00:13:13.5Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2026-01-27T00:13:13Z,40000,False,,,0,,Jump Ball J. Allen vs. W. Carter Jr.: Tip to E. Mobley,"[1630596, 1628386, 1628976]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-27T00:13:27.5Z,1,REGULAR,3pt,Jump Shot,[],1629731,92.72339027595268,3.431372549019608,1610612739,0,0,2026-01-27T00:13:31Z,70000,False,-233.0,16.0,1,right,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Left Corner 3,24+ Left,23.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2026-01-27T00:13:30.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2026-01-27T00:13:31Z,80000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-01-27T00:13:44.3Z,1,REGULAR,3pt,Jump Shot,[],1641710,33.85348226018397,48.28431372549019,1610612753,0,0,2026-01-27T00:13:48Z,90000,False,9.0,266.0,1,left,MISS A. Black 26' 3PT,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,26.58,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2026-01-27T00:13:48.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2026-01-27T00:13:48Z,100000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2026-01-27T00:14:03.6Z,1,REGULAR,turnover,out-of-bounds,[],1642281,,,1610612739,0,0,2026-01-27T00:14:10Z,110000,False,,,0,,J. Tyson lost ball out-of-bounds TURNOVER (1 TO),[1642281],1610612739.0,CLE,lost ball,,,Tyson,J. Tyson,,,,,Mid-Range,8-16 Left,,,,,,,1179.0,1.0,,,,,,,,,,,,
12,PT10M51.00S,2026-01-27T00:14:28.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630591,18.873193166885677,57.59803921568627,1610612753,0,0,2026-01-27T00:15:05Z,120000,False,-38.0,125.0,1,left,MISS J. Suggs 13' step back Shot,[1630591],1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,13.06,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2026-01-27T00:14:31.4Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2026-01-27T00:14:32Z,130000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M40.00S,2026-01-27T00:14:39.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,84.44480946123521,46.32352941176471,1610612739,2,0,2026-01-27T00:14:43Z,140000,False,-18.0,94.0,1,right,E. Mobley 9' turnaround Hook (2 PTS),[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,9.55,Made,,,,,,,2.0,,,,,,,,,,,
