actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-31T23:41:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-31T23:41:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-31T23:41:56.0Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612739,0,0,2025-10-31T23:41:56Z,40000,False,,,0,,Jump Ball E. Mobley vs. C. Murray-Boyles: Tip to L. Ball,"[1628366, 1630596, 1642867]",1610612739.0,CLE,startperiod,L. Ball,1628366.0,Ball,L. Ball,Mobley,1630596.0,Murray-Boyles,1642867.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-10-31T23:42:11.1Z,1,REGULAR,turnover,bad pass,[],1642281,,,1610612739,0,0,2025-10-31T23:42:17Z,70000,False,,,0,,J. Tyson bad pass TURNOVER (1 TO),"[1642281, 1630193]",1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Mid-Range,8-16 Right,1.0,Quickley,1630193.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-10-31T23:42:11.1Z,1,REGULAR,steal,,[],1630193,,,1610612761,0,0,2025-10-31T23:42:13Z,80000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-10-31T23:42:15.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630193,92.46057818659659,50.98039215686274,1610612761,0,0,2025-10-31T23:43:20Z,90000,False,5.0,18.0,1,right,MISS I. Quickley running pullup Shot,[1630193],1610612761.0,TOR,running pullup,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,1.9,Missed,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-10-31T23:42:21.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,0,0,2025-10-31T23:43:20Z,100000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M25.00S,2025-10-31T23:42:26.2Z,1,REGULAR,3pt,Jump Shot,[],1642281,5.075558475689881,4.166666666666666,1610612739,0,0,2025-10-31T23:42:33Z,110000,False,229.0,-5.0,1,left,MISS J. Tyson 3PT,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Right Corner 3,24+ Right,,,,22.93,Missed,,,,,,,,,,,,,,,
12,PT11M24.00S,2025-10-31T23:42:27.2Z,1,REGULAR,rebound,offensive,[],1642281,,,1610612739,0,0,2025-10-31T23:49:54Z,120000,False,,,0,,J. Tyson REBOUND (Off:1 Def:0),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M24.00S,2025-10-31T23:42:32.9Z,1,REGULAR,foul,personal,[],1629628,,,1610612739,0,0,2025-10-31T23:43:49Z,130000,False,,,0,,R. Barrett personal FOUL (1 PF),"[1629628, 1642281]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,202053.0,1.0,0.0,Tyson,1642281.0,,,,,,
15,PT11M20.00S,2025-10-31T23:42:50.7Z,1,REGULAR,turnover,bad pass,[],1628366,,,1610612739,0,0,2025-10-31T23:43:29Z,150000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1628366, 1629628]",1610612739.0,CLE,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,1.0,Barrett,1629628.0,,,,,,,,,,,,,,,,,
