actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-04T03:06:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-04T03:06:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-02-04T03:06:27.5Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2022-02-04T03:06:27Z,40000,,,0,,Jump Ball A. Davis vs. S. Ibaka: Tip to R. Westbrook,"[201566, 203076, 201586]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Davis,203076.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-02-04T03:06:37.9Z,1,REGULAR,3pt,Jump Shot,[],202340,76.00197109067017,84.55882352941177,1610612747,0,3,2022-02-04T03:07:19Z,70000,173.0,173.0,1,right,A. Bradley 24' 3PT pullup (3 PTS),[202340],1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,24.46,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-02-04T03:06:58.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,0,3,2022-02-04T03:06:58Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-04T03:07:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,11.350197109067011,59.31372549019608,1610612746,0,3,2022-02-04T03:07:21Z,90000,-47.0,54.0,1,left,MISS M. Morris Sr. 7' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,7.15,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-02-04T03:07:19.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,3,2022-02-04T03:07:21Z,100000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M05.00S,2022-02-04T03:07:35.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201566,93.74178712220763,53.92156862745098,1610612747,0,3,2022-02-04T03:07:40Z,110000,20.0,6.0,1,right,MISS R. Westbrook driving DUNK,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.06,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-02-04T03:07:38.7Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,0,3,2022-02-04T03:07:40Z,120000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2022-02-04T03:07:44.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201586,11.744415243101187,57.84313725490196,1610612746,2,3,2022-02-04T03:07:49Z,130000,-39.0,58.0,1,left,S. Ibaka 6' turnaround Hook (2 PTS) (A. Coffey 1 AST),"[201586, 1629599]",1610612746.0,LAC,turnaround,,,Ibaka,S. Ibaka,,,,,6.99,Made,2.0,,,,,A. Coffey,1629599.0,1.0,,,,,,,,,,,
15,PT10M43.00S,2022-02-04T03:07:58.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.2161629434954,48.529411764705884,1610612747,2,5,2022-02-04T03:08:01Z,150000,-7.0,11.0,1,right,A. Davis alley-oop DUNK (2 PTS) (M. Monk 1 AST),"[203076, 1628370]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,1.35,Made,2.0,,,,,M. Monk,1628370.0,1.0,,,,,,,,,,,
17,PT10M29.00S,2022-02-04T03:08:10.7Z,1,REGULAR,2pt,Jump Shot,[],201587,25.804862023653087,69.11764705882354,1610612746,4,5,2022-02-04T03:08:16Z,170000,-96.0,190.0,1,left,N. Batum 21' Jump Shot (2 PTS) (R. Jackson 1 AST),"[201587, 202704]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,21.28,Made,2.0,,,,,R. Jackson,202704.0,1.0,,,,,,,,,,,
19,PT10M16.00S,2022-02-04T03:08:24.8Z,1,REGULAR,2pt,Jump Shot,[],201566,80.07555847568989,71.07843137254902,1610612747,4,5,2022-02-04T03:08:28Z,190000,105.0,135.0,1,right,MISS R. Westbrook 17' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,17.11,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2022-02-04T03:08:27.8Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,4,5,2022-02-04T03:08:28Z,200000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M05.00S,2022-02-04T03:08:35.3Z,1,REGULAR,2pt,Jump Shot,[],201587,10.693166885676746,89.2156862745098,1610612746,4,5,2022-02-04T03:08:39Z,210000,-196.0,48.0,1,left,MISS N. Batum 20' Jump Shot,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,20.19,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-02-04T03:08:37.4Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,4,5,2022-02-04T03:08:37Z,220000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M55.00S,2022-02-04T03:08:44.9Z,1,REGULAR,2pt,Jump Shot,[],203076,81.25821287779237,69.8529411764706,1610612747,4,7,2022-02-04T03:09:10Z,230000,99.0,124.0,1,right,A. Davis 15' pullup Jump Shot (4 PTS) (M. Monk 2 AST),"[203076, 1628370]",1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,15.86,Made,4.0,,,,,M. Monk,1628370.0,2.0,,,,,,,,,,,
25,PT09M38.00S,2022-02-04T03:09:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201586,15.949408672798953,43.872549019607845,1610612746,6,7,2022-02-04T03:09:07Z,250000,31.0,97.0,1,left,S. Ibaka 10' turnaround Jump Shot (4 PTS) (R. Jackson 2 AST),"[201586, 202704]",1610612746.0,LAC,turnaround,,,Ibaka,S. Ibaka,,,,,10.21,Made,4.0,,,,,R. Jackson,202704.0,2.0,,,,,,,,,,,
27,PT09M28.00S,2022-02-04T03:09:15.2Z,1,REGULAR,turnover,out-of-bounds,[],202340,,,1610612747,6,7,2022-02-04T03:09:21Z,270000,,,0,,A. Bradley step out-of-bounds TURNOVER (1 TO),[202340],1610612747.0,LAL,step,,,Bradley,A. Bradley,,,,,,,,,,,,,,,1627962.0,1.0,,,,,,,,,
28,PT09M07.00S,2022-02-04T03:09:42.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202704,16.737844940867276,80.88235294117646,1610612746,6,7,2022-02-04T03:09:48Z,280000,-154.0,105.0,1,left,MISS R. Jackson 18' step back Shot,[202704],1610612746.0,LAC,step back,,,Jackson,R. Jackson,,,,,18.66,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M05.00S,2022-02-04T03:09:44.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,6,7,2022-02-04T03:09:48Z,290000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
30,PT09M05.00S,2022-02-04T03:09:49.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,6,7,2022-02-04T03:09:49Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M47.00S,2022-02-04T03:10:14.1Z,1,REGULAR,3pt,Jump Shot,[],1626169,96.23850197109067,3.1862745098039227,1610612747,6,7,2022-02-04T03:10:18Z,310000,-234.0,-17.0,1,right,MISS S. Johnson 3PT,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M44.00S,2022-02-04T03:10:17.1Z,1,REGULAR,rebound,defensive,[],201586,,,1610612746,6,7,2022-02-04T03:10:18Z,320000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M39.00S,2022-02-04T03:10:22.2Z,1,REGULAR,3pt,Jump Shot,[],201586,34.477660972404735,32.59803921568627,1610612746,6,7,2022-02-04T03:10:27Z,330000,87.0,272.0,1,left,MISS S. Ibaka 28' 3PT,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,28.52,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M36.00S,2022-02-04T03:10:25.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,6,7,2022-02-04T03:10:27Z,340000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT08M29.00S,2022-02-04T03:10:31.8Z,1,REGULAR,3pt,Jump Shot,[],1628370,68.11760840998686,61.27450980392157,1610612747,6,7,2022-02-04T03:10:35Z,350000,56.0,247.0,1,right,MISS M. Monk 25' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
