actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-10T03:40:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T03:40:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-10T03:40:48.2Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2022-03-10T03:40:48Z,40000,,,0,,Jump Ball K. Porzingis vs. I. Zubac: Tip to C. Kispert,"[1630557, 204001, 1627826]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Porzingis,204001.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-10T03:40:55.4Z,1,REGULAR,3pt,Jump Shot,[],204001,28.301576872536145,79.16666666666666,1610612764,0,0,2022-03-10T03:41:28Z,70000,-146.0,214.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-03-10T03:40:58.4Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,0,0,2022-03-10T03:40:58Z,80000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-03-10T03:41:06.1Z,1,REGULAR,3pt,Jump Shot,[],202704,91.37647831800263,4.411764705882348,1610612746,3,0,2022-03-10T03:41:32Z,90000,-228.0,29.0,1,right,R. Jackson 3PT  (3 PTS) (N. Batum 1 AST),"[202704, 201587]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,22.97,Made,,,,,3.0,N. Batum,201587.0,1.0,,,,,,,,,,,
11,PT11M19.00S,2022-03-10T03:41:23.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,29.221419185282528,20.833333333333343,1610612764,3,0,2022-03-10T03:41:36Z,110000,146.0,222.0,1,left,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2022-03-10T03:41:23.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,3,0,2022-03-10T03:41:36Z,120000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-03-10T03:41:39.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,91.37647831800263,51.470588235294116,1610612746,5,0,2022-03-10T03:41:44Z,130000,7.0,29.0,1,right,I. Zubac Hook (2 PTS) (M. Morris Sr. 1 AST),"[1627826, 202694]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,2.95,Made,,,,,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,
15,PT10M51.00S,2022-03-10T03:41:52.7Z,1,REGULAR,foul,offensive,[],204001,,,1610612764,5,0,2022-03-10T03:42:09Z,150000,,,0,,K. Porzingis charge offensive FOUL (1 PF),"[204001, 201587]",1610612764.0,WAS,charge,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,200834.0,1.0,0.0,Batum,201587.0,,,,,,
17,PT10M51.00S,2022-03-10T03:41:52.7Z,1,REGULAR,turnover,offensive foul,[],204001,,,1610612764,5,0,2022-03-10T03:42:09Z,170000,,,0,,K. Porzingis offensive foul TURNOVER (1 TO),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,200834.0,,,,,1.0,,,,,
