actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-27T02:11:04.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-27T02:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-27T02:11:08.1Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2021-12-27T02:11:08Z,40000,,,0,,Jump Ball N. Jokic vs. I. Zubac: Tip to J. Green,"[201145, 203999, 1627826]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-27T02:11:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,12.401445466491452,43.38235294117647,1610612743,0,0,2021-12-27T02:11:34Z,70000,33.0,64.0,1,left,MISS M. Morris 7' driving floating Shot,[1628420],1610612743.0,DEN,driving floating,,,Morris,M. Morris,,,,,7.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-12-27T02:11:30.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2021-12-27T02:11:34Z,80000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2021-12-27T02:11:35.8Z,1,REGULAR,3pt,Jump Shot,[],201587,70.48291721419186,72.54901960784314,1610612746,0,0,2021-12-27T02:11:43Z,90000,113.0,225.0,1,right,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-12-27T02:11:39.5Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,0,2021-12-27T02:11:39Z,100000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M20.00S,2021-12-27T02:11:43.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627826,85.5946123521682,54.90196078431372,1610612746,2,0,2021-12-27T02:11:54Z,110000,25.0,83.0,1,right,I. Zubac 8' Hook (2 PTS) (E. Bledsoe 1 AST),"[1627826, 202339]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,8.64,Made,,,,,2.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,
13,PT10M57.00S,2021-12-27T02:12:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.619579500657039,53.431372549019606,1610612743,2,2,2021-12-27T02:12:12Z,130000,-17.0,10.0,1,left,N. Jokic finger roll Layup (2 PTS) (A. Rivers 1 AST),"[203999, 203085]",1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,1.97,Made,,,,,2.0,A. Rivers,203085.0,1.0,,,,,,,,,,
15,PT10M44.00S,2021-12-27T02:12:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.47897503285151,47.79411764705882,1610612746,4,2,2021-12-27T02:12:25Z,150000,-11.0,9.0,1,right,I. Zubac cutting Layup (4 PTS) (E. Bledsoe 2 AST),"[1627826, 202339]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,1.41,Made,,,,,4.0,E. Bledsoe,202339.0,2.0,,,,,,,,,,
17,PT10M24.00S,2021-12-27T02:12:38.8Z,1,REGULAR,3pt,Jump Shot,[],201145,24.227989487516425,85.7843137254902,1610612743,4,2,2021-12-27T02:12:43Z,170000,-179.0,175.0,1,left,MISS J. Green 25' step back 3PT,[201145],1610612743.0,DEN,step back,,,Green,J. Green,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,
