actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-07T02:10:59.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-07T02:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-07T02:11:01.0Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-02-07T02:11:01Z,40000,,,0,,Jump Ball B. Portis vs. I. Zubac: Tip to G. Antetokounmpo,"[203507, 1626171, 1627826]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-07T02:11:19.4Z,1,REGULAR,3pt,Jump Shot,[],201950,83.22930354796321,94.6078431372549,1610612749,0,0,2022-02-07T02:11:25Z,70000,223.0,105.0,1,right,MISS J. Holiday 24' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,24.65,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-02-07T02:11:23.4Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,0,2022-02-07T02:11:25Z,80000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-02-07T02:11:29.0Z,1,REGULAR,2pt,Jump Shot,[],202704,22.651116951379763,78.43137254901961,1610612746,2,0,2022-02-07T02:11:36Z,90000,-142.0,160.0,1,left,R. Jackson 21' step back Jump Shot (2 PTS),[202704],1610612746.0,LAC,step back,,,Jackson,R. Jackson,,,,,21.44,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M15.00S,2022-02-07T02:11:42.4Z,1,REGULAR,3pt,Jump Shot,[],203114,76.65900131406045,93.13725490196079,1610612749,2,0,2022-02-07T02:11:47Z,100000,216.0,167.0,1,right,MISS K. Middleton 27' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,27.27,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-02-07T02:11:45.4Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,2,0,2022-02-07T02:11:47Z,110000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-02-07T02:11:49.7Z,1,REGULAR,turnover,bad pass,[],202694,,,1610612746,2,0,2022-02-07T02:11:58Z,120000,,,0,,M. Morris Sr. bad pass TURNOVER (1 TO),"[202694, 203114]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,1.0,Middleton,203114.0,,,,,,,,,,,
13,PT11M09.00S,2022-02-07T02:11:49.7Z,1,REGULAR,steal,,[],203114,,,1610612749,2,0,2022-02-07T02:11:51Z,130000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-02-07T02:11:53.7Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612749,2,0,2022-02-07T02:12:01Z,140000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[202694, 203507]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,202035.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
16,PT11M06.00S,2022-02-07T02:12:28.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,2,1,2022-02-07T02:12:52Z,160000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
17,PT11M06.00S,2022-02-07T02:12:28.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203507,,,1610612749,2,1,2022-02-07T02:12:52Z,170000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
