actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-10-26T02:41:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-26T02:41:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-26T02:41:25.0Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-10-26T02:41:25Z,40000,,,0,,Jump Ball J. Nurkic vs. I. Zubac: Tip to D. Lillard,"[203081, 203994, 1627826]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-10-26T02:41:39.5Z,1,REGULAR,turnover,bad pass,[],203496,,,1610612757,0,0,2021-10-26T02:41:46Z,70000,,,0,,R. Covington bad pass TURNOVER (1 TO),"[203496, 1627826]",1610612757.0,POR,,,,Covington,R. Covington,,,,,1.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-10-26T02:41:39.5Z,1,REGULAR,steal,,[],1627826,,,1610612746,0,0,2021-10-26T02:41:42Z,80000,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-10-26T02:41:47.1Z,1,REGULAR,turnover,traveling,[],201587,,,1610612746,0,0,2021-10-26T02:42:11Z,90000,,,0,,N. Batum traveling TURNOVER (1 TO),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,1.0,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-10-26T02:42:15.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629642,89.53679369250986,96.32352941176471,1610612757,0,3,2021-10-26T02:42:23Z,100000,232.0,46.0,1,right,N. Little 3PT  (3 PTS) (C. McCollum 1 AST),"[1629642, 203468]",1610612757.0,POR,,,,Little,N. Little,,,,,,,,23.61,Made,3.0,C. McCollum,203468.0,1.0,,,,,,,,,,,
12,PT11M00.00S,2021-10-26T02:42:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,6.8823915900131425,49.754901960784316,1610612746,2,3,2021-10-26T02:42:41Z,120000,1.0,12.0,1,left,R. Jackson driving finger roll Layup (2 PTS),[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,,,,1.23,Made,2.0,,,,,,,,,,,,,,
13,PT10M50.00S,2021-10-26T02:42:44.8Z,1,REGULAR,3pt,Jump Shot,[],203081,67.88354139290408,48.751531862745104,1610612757,2,3,2021-10-26T02:42:54Z,130000,-6.0,249.0,1,right,MISS D. Lillard 24' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,24.95,Missed,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-10-26T02:42:44.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,3,2021-10-26T02:42:54Z,140000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,
15,PT10M50.00S,2021-10-26T02:42:50.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,2,3,2021-10-26T02:42:50Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
