actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-04T03:41:05.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T03:41:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-01-04T03:41:10.0Z,1,REGULAR,jumpball,recovered,[],201586,,,1610612746,0,0,2022-01-04T03:41:10Z,40000,,,0,,Jump Ball S. Ibaka vs. N. Reid: Tip to S. Ibaka,"[201586, 201586, 1629675]",1610612746.0,LAC,startperiod,S. Ibaka,201586.0,Ibaka,S. Ibaka,Ibaka,201586.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-04T03:41:25.8Z,1,REGULAR,turnover,out-of-bounds,[],202339,,,1610612746,0,0,2022-01-04T03:41:34Z,70000,,,0,,E. Bledsoe lost ball out-of-bounds TURNOVER (1 TO),[202339],1610612746.0,LAC,lost ball,,,Bledsoe,E. Bledsoe,,,,,2002.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2022-01-04T03:41:48.4Z,1,REGULAR,turnover,out-of-bounds,[],201976,,,1610612750,0,0,2022-01-04T03:41:57Z,80000,,,0,,P. Beverley bad pass out-of-bounds TURNOVER (1 TO),[201976],1610612750.0,MIN,bad pass,,,Beverley,P. Beverley,,,,,2002.0,1.0,,,,,,,,,,,,,,,,,,,
9,PT11M06.00S,2022-01-04T03:42:12.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202339,69.03745072273324,30.14705882352942,1610612746,0,0,2022-01-04T03:42:19Z,90000,-99.0,239.0,1,right,MISS E. Bledsoe 25' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,25.83,Missed,,,,,,,,,,,,,,,,,
10,PT11M03.00S,2022-01-04T03:42:15.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,0,2022-01-04T03:42:19Z,100000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
11,PT11M03.00S,2022-01-04T03:42:19.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,0,0,2022-01-04T03:42:19Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-01-04T03:42:33.4Z,1,REGULAR,turnover,lost ball,[],201586,,,1610612746,0,0,2022-01-04T03:42:38Z,120000,,,0,,S. Ibaka lost ball TURNOVER (1 TO),"[201586, 1629675]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,1.0,,,,Reid,1629675.0,,,,,,,,,,,,,,
13,PT10M58.00S,2022-01-04T03:42:33.4Z,1,REGULAR,steal,,[],1629675,,,1610612750,0,0,2022-01-04T03:42:35Z,130000,,,0,,N. Reid STEAL (1 STL),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2022-01-04T03:42:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629675,7.670827858081481,44.11764705882353,1610612750,0,2,2022-01-04T03:42:54Z,140000,29.0,20.0,1,left,N. Reid driving reverse Layup (2 PTS) (P. Beverley 1 AST),"[1629675, 201976]",1610612750.0,MIN,driving reverse,,,Reid,N. Reid,,,,,,,3.53,Made,,,,2.0,P. Beverley,201976.0,1.0,,,,,,,,,,
16,PT10M22.00S,2022-01-04T03:43:08.3Z,1,REGULAR,2pt,Jump Shot,[],202694,85.98883048620237,71.32352941176471,1610612746,0,2,2022-01-04T03:43:14Z,160000,107.0,79.0,1,right,MISS M. Morris Sr. 13' Jump Shot,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,13.28,Missed,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2022-01-04T03:43:10.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,2,2022-01-04T03:43:14Z,170000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,16.0,,,,,,,1.0,1.0,0.0,,,,,,,
18,PT10M15.00S,2022-01-04T03:43:16.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627736,33.163600525624176,41.17647058823529,1610612750,0,2,2022-01-04T03:43:27Z,180000,44.0,259.0,1,left,MISS M. Beasley 26' running 3PT,[1627736],1610612750.0,MIN,running,,,Beasley,M. Beasley,,,,,,,26.29,Missed,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2022-01-04T03:43:20.3Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,0,2,2022-01-04T03:43:27Z,190000,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,18.0,,,,,,,1.0,0.0,1.0,,,,,,,
20,PT10M04.00S,2022-01-04T03:43:27.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629675,5.699737187910642,50.245098039215684,1610612750,0,4,2022-01-04T03:43:33Z,200000,-1.0,1.0,1,left,N. Reid cutting DUNK (4 PTS) (P. Beverley 2 AST),"[1629675, 201976]",1610612750.0,MIN,cutting,,,Reid,N. Reid,,,,,,,0.16,Made,,,,4.0,P. Beverley,201976.0,2.0,,,,,,,,,,
22,PT09M46.00S,2022-01-04T03:43:44.9Z,1,REGULAR,3pt,Jump Shot,[],202704,92.82194480946123,2.941176470588232,1610612746,3,4,2022-01-04T03:43:48Z,220000,-235.0,15.0,1,right,R. Jackson 3PT  (3 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,23.58,Made,,,,3.0,,,,,,,,,,,,,
23,PT09M25.00S,2022-01-04T03:44:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,9.379106438896187,55.3921568627451,1610612750,3,6,2022-01-04T03:44:12Z,230000,-27.0,36.0,1,left,N. Reid cutting Layup (6 PTS) (P. Beverley 3 AST),"[1629675, 201976]",1610612750.0,MIN,cutting,,,Reid,N. Reid,,,,,,,4.48,Made,,,,6.0,P. Beverley,201976.0,3.0,,,,,,,,,,
25,PT09M10.00S,2022-01-04T03:44:20.9Z,1,REGULAR,2pt,Jump Shot,[],202694,75.21353482260184,54.90196078431372,1610612746,5,6,2022-01-04T03:44:28Z,250000,25.0,180.0,1,right,M. Morris Sr. 18' pullup Jump Shot (2 PTS) (E. Bledsoe 1 AST),"[202694, 202339]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,,18.22,Made,,,,2.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,
