actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-18T03:40:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-18T03:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-18T03:40:56.5Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612745,0,0,2022-02-18T03:40:56Z,40000,,,0,,Jump Ball C. Wood vs. I. Zubac: Tip to D. Schroder,"[203471, 1626174, 1627826]",1610612745.0,HOU,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Wood,1626174.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-18T03:41:10.1Z,1,REGULAR,3pt,Jump Shot,[],1629726,10.643889618922472,95.0750612745098,1610612745,0,0,2022-02-18T03:41:18Z,70000,-225.0,48.0,1,left,MISS G. Mathews 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-18T03:41:12.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2022-02-18T03:41:18Z,80000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-18T03:41:22.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,91.50788436268068,51.71568627450981,1610612746,2,0,2022-02-18T03:41:26Z,90000,9.0,27.0,1,right,I. Zubac Hook (2 PTS) (M. Morris Sr. 1 AST),"[1627826, 202694]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,2.86,Made,,,,,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,
11,PT11M20.00S,2022-02-18T03:41:33.9Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,2,0,2022-02-18T03:41:38Z,110000,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 201587]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,1.0,Batum,201587.0,,,,,,,,
12,PT11M20.00S,2022-02-18T03:41:33.9Z,1,REGULAR,steal,,[],201587,,,1610612746,2,0,2022-02-18T03:41:35Z,120000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-02-18T03:41:42.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627826,93.74178712220763,49.50980392156863,1610612746,2,0,2022-02-18T03:41:48Z,130000,-2.0,6.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,0.68,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-02-18T03:41:44.9Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,2,0,2022-02-18T03:41:44Z,140000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
15,PT11M06.00S,2022-02-18T03:41:47.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202704,92.82194480946123,47.79411764705882,1610612746,4,0,2022-02-18T03:41:52Z,150000,-11.0,15.0,1,right,R. Jackson cutting Layup (2 PTS) (I. Zubac 1 AST),"[202704, 1627826]",1610612746.0,LAC,cutting,,,Jackson,R. Jackson,,,,,1.86,Made,,,,,2.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,
