actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
24,PT10M47.00S,2021-12-28T03:43:34.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202694,,,1610612746,8,2,2021-12-28T03:43:34Z,240000,,,0,,M. Morris Sr. Free Throw 2 of 2 (2 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT10M29.00S,2021-12-28T03:43:54.8Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612751,8,2,2021-12-28T03:44:00Z,250000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Claxton 2 FT),"[202694, 1629651]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Claxton,1629651.0,,,,,,
27,PT10M29.00S,2021-12-28T03:44:15.8Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,8,3,2021-12-28T03:44:15Z,270000,,,0,,N. Claxton Free Throw 1 of 2 (3 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
28,PT10M29.00S,2021-12-28T03:44:31.3Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,8,4,2021-12-28T03:44:31Z,280000,,,0,,N. Claxton Free Throw 2 of 2 (4 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
29,PT10M17.00S,2021-12-28T03:44:44.2Z,1,REGULAR,2pt,Jump Shot,[],202694,75.47634691195795,35.049019607843135,1610612746,8,4,2021-12-28T03:44:49Z,290000,-75.0,178.0,1,right,MISS M. Morris Sr. 19' Jump Shot,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,19.31,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M14.00S,2021-12-28T03:44:47.2Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,8,4,2021-12-28T03:44:49Z,300000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT10M07.00S,2021-12-28T03:44:54.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,7.276609724047319,52.69607843137255,1610612751,8,4,2021-12-28T03:45:01Z,310000,-13.0,16.0,1,left,MISS J. Harden running Layup,[201935],1610612751.0,BKN,running,,,Harden,J. Harden,,,,,2.09,Missed,,,,,,,,,,,,,,,,,,,
32,PT10M04.00S,2021-12-28T03:44:57.5Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,8,4,2021-12-28T03:45:01Z,320000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M53.00S,2021-12-28T03:45:07.9Z,1,REGULAR,3pt,Jump Shot,[],202339,78.49868593955321,8.82352941176471,1610612746,11,4,2021-12-28T03:45:12Z,330000,-206.0,150.0,1,right,E. Bledsoe 25' 3PT  (6 PTS) (M. Morris Sr. 1 AST),"[202339, 202694]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,25.45,Made,,,,,6.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,
35,PT09M31.00S,2021-12-28T03:45:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627761,10.167542706964511,53.92156862745098,1610612751,11,6,2021-12-28T03:45:34Z,350000,-20.0,43.0,1,left,D. Bembry driving floating Jump Shot (2 PTS),[1627761],1610612751.0,BKN,driving floating,,,Bembry,D. Bembry,,,,,4.73,Made,,,,,2.0,,,,,,,,,,,,,,
36,PT09M21.00S,2021-12-28T03:45:40.4Z,1,REGULAR,2pt,Jump Shot,[],1628379,82.30946123521682,23.774509803921575,1610612746,13,6,2021-12-28T03:45:47Z,360000,-131.0,114.0,1,right,L. Kennard 17' Jump Shot (2 PTS) (E. Bledsoe 2 AST),"[1628379, 202339]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,17.36,Made,,,,,2.0,E. Bledsoe,202339.0,2.0,,,,,,,,,,,
38,PT09M03.00S,2021-12-28T03:45:59.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,7.539421813403408,49.01960784313726,1610612751,13,8,2021-12-28T03:46:04Z,380000,5.0,18.0,1,left,N. Claxton alley-oop DUNK (6 PTS) (B. Brown 1 AST),"[1629651, 1628971]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,1.9,Made,,,,,6.0,B. Brown,1628971.0,1.0,,,,,,,,,,,
40,PT08M50.00S,2021-12-28T03:46:11.7Z,1,REGULAR,3pt,Jump Shot,[],1628379,68.24901445466492,53.67647058823529,1610612746,13,8,2021-12-28T03:46:16Z,400000,18.0,246.0,1,right,MISS L. Kennard 24' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,24.67,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M49.00S,2021-12-28T03:46:13.7Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,13,8,2021-12-28T03:46:13Z,410000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
42,PT08M46.00S,2021-12-28T03:46:14.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627826,93.2161629434954,49.50980392156863,1610612746,15,8,2021-12-28T03:46:21Z,420000,-2.0,11.0,1,right,I. Zubac Hook (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.16,Made,,,,,2.0,,,,,,,,,,,,,,
43,PT08M35.00S,2021-12-28T03:46:30.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,15,8,2021-12-28T03:46:30Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M26.00S,2021-12-28T03:46:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.802233902759525,47.05882352941176,1610612751,15,10,2021-12-28T03:46:51Z,440000,15.0,21.0,1,left,N. Claxton driving Layup (8 PTS),[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,2.55,Made,,,,,8.0,,,,,,,,,,,,,,
45,PT08M15.00S,2021-12-28T03:46:56.3Z,1,REGULAR,3pt,Jump Shot,[],202694,67.59198423127464,31.617647058823522,1610612746,18,10,2021-12-28T03:47:02Z,450000,-92.0,252.0,1,right,M. Morris Sr. 26' 3PT  (5 PTS) (E. Bledsoe 3 AST),"[202694, 202339]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,26.83,Made,,,,,5.0,E. Bledsoe,202339.0,3.0,,,,,,,,,,,
47,PT07M54.00S,2021-12-28T03:47:16.6Z,1,REGULAR,3pt,Jump Shot,[],201935,33.42641261498029,44.11764705882353,1610612751,18,13,2021-12-28T03:47:20Z,470000,29.0,262.0,1,left,J. Harden 26' 3PT step back (3 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,26.33,Made,,,,,3.0,,,,,,,,,,,,,,
48,PT07M34.00S,2021-12-28T03:47:36.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,89.27398160315374,52.205882352941174,1610612746,18,13,2021-12-28T03:48:29Z,480000,11.0,48.0,1,right,MISS I. Zubac Hook - blocked,"[1627826, 1627761]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,4.95,Missed,,,,,,,,,,,,,,,,,Bembry,1627761.0,
49,PT07M34.00S,2021-12-28T03:47:36.5Z,1,REGULAR,block,,[],1627761,,,1610612746,18,13,2021-12-28T03:47:39Z,490000,,,0,,D. Bembry BLOCK (1 BLK),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M32.00S,2021-12-28T03:47:38.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,18,13,2021-12-28T03:48:44Z,495000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,
50,PT07M32.00S,2021-12-28T03:47:58.2Z,1,REGULAR,substitution,out,[],201988,,,1610612746,18,13,2021-12-28T03:48:02Z,500000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M32.00S,2021-12-28T03:47:58.2Z,1,REGULAR,substitution,in,[],1628975,,,1610612746,18,13,2021-12-28T03:48:02Z,510000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
