actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-09T03:41:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T03:41:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-09T03:41:22.2Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2021-12-09T03:41:22Z,40000,,,0,,Jump Ball I. Zubac vs. R. Williams III: Tip to M. Morris Sr.,"[202694, 1627826, 1629057]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-09T03:41:36.3Z,1,REGULAR,2pt,Jump Shot,[],202694,22.519710906701704,36.274509803921575,1610612746,0,0,2021-12-09T03:42:09Z,70000,69.0,159.0,1,left,MISS M. Morris Sr. 17' step back Shot,[202694],1610612746.0,LAC,step back,,,Morris Sr.,M. Morris Sr.,,,,,17.34,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-09T03:41:38.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-12-09T03:41:42Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-09T03:41:59.0Z,1,REGULAR,2pt,Jump Shot,[],203471,86.12023653088042,72.79411764705883,1610612738,0,0,2021-12-09T03:42:02Z,90000,114.0,78.0,1,right,MISS D. Schroder 13' pullup Shot,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,13.81,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-12-09T03:42:01.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2021-12-09T03:42:02Z,100000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M01.00S,2021-12-09T03:42:17.0Z,1,REGULAR,2pt,Jump Shot,[],202704,20.54862023653088,52.450980392156865,1610612746,0,0,2021-12-09T03:42:20Z,110000,-12.0,141.0,1,left,MISS R. Jackson 14' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,14.12,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2021-12-09T03:42:19.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-12-09T03:42:20Z,120000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M52.00S,2021-12-09T03:42:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.11366622864652,47.30392156862745,1610612738,0,0,2021-12-09T03:42:30Z,130000,-13.0,31.0,1,right,MISS J. Tatum cutting Layup - blocked,"[1628369, 1627826]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,3.38,Missed,,,,,Zubac,1627826.0,,,,,,,,,,,,,
14,PT10M52.00S,2021-12-09T03:42:25.5Z,1,REGULAR,block,,[],1627826,,,1610612738,0,0,2021-12-09T03:42:29Z,140000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
