actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-17T20:40:59.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T20:40:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-17T20:41:02.9Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-01-17T20:41:02Z,40000,,,0,,Jump Ball I. Zubac vs. D. Sabonis: Tip to M. Morris Sr.,"[202694, 1627826, 1627734]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-01-17T20:41:23.6Z,1,REGULAR,turnover,bad pass,[],1627826,,,1610612746,0,0,2022-01-17T20:41:29Z,70000,,,0,,I. Zubac bad pass TURNOVER (1 TO),"[1627826, 1627747]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.0,LeVert,1627747.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-01-17T20:41:23.6Z,1,REGULAR,steal,,[],1627747,,,1610612754,0,0,2022-01-17T20:41:25Z,80000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-17T20:41:34.7Z,1,REGULAR,turnover,backcourt,[],1627747,,,1610612754,0,0,2022-01-17T20:41:45Z,90000,,,0,,C. LeVert backcourt TURNOVER (1 TO),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,1.0,,,101284.0,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-01-17T20:42:00.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,75.87056504599212,61.51960784313725,1610612746,2,0,2022-01-17T20:42:11Z,100000,58.0,174.0,1,right,M. Morris Sr. 18' turnaround Jump Shot (2 PTS) (A. Coffey 1 AST),"[202694, 1629599]",1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,,,,,18.36,Made,2.0,A. Coffey,1629599.0,1.0,,,,,,,,,,
12,PT10M55.00S,2022-01-17T20:42:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203200,6.8823915900131425,46.07843137254902,1610612754,2,0,2022-01-17T20:42:55Z,120000,20.0,12.0,1,left,MISS J. Holiday driving Layup,[203200],1610612754.0,IND,driving,,,Holiday,J. Holiday,,,,,,,,,2.31,Missed,,,,,,,,,,,,,,
13,PT10M52.00S,2022-01-17T20:42:21.9Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,2,0,2022-01-17T20:42:27Z,130000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M38.00S,2022-01-17T20:42:35.3Z,1,REGULAR,3pt,Jump Shot,[],202694,71.13994743758212,21.813725490196077,1610612746,5,0,2022-01-17T20:42:42Z,140000,-141.0,219.0,1,right,M. Morris Sr. 26' 3PT  (5 PTS) (A. Coffey 2 AST),"[202694, 1629599]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,26.02,Made,5.0,A. Coffey,1629599.0,2.0,,,,,,,,,,
16,PT10M28.00S,2022-01-17T20:42:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630613,5.699737187910642,48.28431372549019,1610612754,5,2,2022-01-17T20:42:52Z,160000,9.0,1.0,1,left,D. Washington Jr. cutting Layup (2 PTS) (D. Sabonis 1 AST),"[1630613, 1627734]",1610612754.0,IND,cutting,,,Washington Jr.,D. Washington Jr.,,,,,,,,,0.87,Made,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
