actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-08T02:10:37.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-08T02:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-08T02:10:43.0Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612766,0,0,2021-11-08T02:10:43Z,40000,,,0,,Jump Ball M. Plumlee vs. I. Zubac: Tip to G. Hayward,"[202330, 203486, 1627826]",1610612766.0,CHA,startperiod,G. Hayward,202330.0,Hayward,G. Hayward,Plumlee,203486.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-08T02:10:53.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2021-11-08T02:10:53Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-11-08T02:11:12.4Z,1,REGULAR,3pt,Jump Shot,[],202330,29.878449408672807,80.14705882352942,1610612766,0,3,2021-11-08T02:11:19Z,80000,-151.0,228.0,1,left,G. Hayward 27' 3PT  (3 PTS) (T. Rozier 1 AST),"[202330, 1626179]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,27.36,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-11-08T02:11:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,93.2161629434954,50.0,1610612746,2,3,2021-11-08T02:12:46Z,100000,0.0,11.0,1,right,R. Jackson driving finger roll Layup (2 PTS),[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,1.13,Made,2.0,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2021-11-08T02:11:40.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,26.856110381077528,11.764705882352942,1610612766,2,3,2021-11-08T02:13:19Z,110000,191.0,200.0,1,left,MISS T. Rozier 27' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,27.66,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2021-11-08T02:11:42.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,3,2021-11-08T02:13:19Z,120000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M00.00S,2021-11-08T02:11:46.5Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,2,3,2021-11-08T02:13:49Z,130000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1630163]",1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,1.0,Ball,1630163.0,,,,,,,,
14,PT11M00.00S,2021-11-08T02:11:46.5Z,1,REGULAR,steal,,[],1630163,,,1610612766,2,3,2021-11-08T02:11:48Z,140000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2021-11-08T02:11:51.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,26.461892247043366,89.95098039215686,1610612766,2,3,2021-11-08T02:12:10Z,150000,-200.0,196.0,1,left,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,28.0,Missed,,,,,,,,,,,,,,,,,,,
