actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2021-11-14T03:40:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-14T03:40:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-14T03:40:40.5Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2021-11-14T03:40:40Z,40000,,,0,,Jump Ball K. Towns vs. I. Zubac: Tip to J. Vanderbilt,"[1629020, 1626157, 1627826]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-14T03:40:51.8Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,0,0,2021-11-14T03:40:57Z,70000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 201587]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,1.0,Batum,201587.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-14T03:40:51.8Z,1,REGULAR,steal,,[],201587,,,1610612746,0,0,2021-11-14T03:40:53Z,80000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-11-14T03:40:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201587,93.2161629434954,47.30392156862745,1610612746,2,0,2021-11-14T03:41:01Z,90000,-13.0,11.0,1,right,N. Batum running Layup (2 PTS),[201587],1610612746.0,LAC,running,,,Batum,N. Batum,,,,,,,,1.76,Made,2.0,,,,,,,,,,,,,,
10,PT11M36.00S,2021-11-14T03:41:01.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.61563731931669,80.3921568627451,1610612750,2,0,2021-11-14T03:41:07Z,100000,-152.0,226.0,1,left,MISS D. Russell 27' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,27.23,Missed,,,,,,,,,,,,,,,
11,PT11M32.00S,2021-11-14T03:41:05.5Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,2,0,2021-11-14T03:41:05Z,110000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M32.00S,2021-11-14T03:41:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,9.379106438896187,46.07843137254902,1610612750,2,0,2021-11-14T03:41:15Z,120000,20.0,36.0,1,left,MISS J. Vanderbilt putback Layup - blocked,"[1629020, 202339]",1610612750.0,MIN,putback,,,Vanderbilt,J. Vanderbilt,,,,,,,,4.07,Missed,,,,,,Bledsoe,202339.0,,,,,,,,
13,PT11M32.00S,2021-11-14T03:41:06.4Z,1,REGULAR,block,,[],202339,,,1610612750,2,0,2021-11-14T03:42:51Z,130000,,,0,,E. Bledsoe BLOCK (1 BLK),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M32.00S,2021-11-14T03:41:06.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,0,2021-11-14T03:41:15Z,140000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
15,PT11M32.00S,2021-11-14T03:41:10.1Z,1,REGULAR,foul,personal,[],1629020,,,1610612746,2,0,2021-11-14T03:41:20Z,150000,,,0,,J. Vanderbilt loose ball personal FOUL (1 PF),"[1629020, 202331]",1610612750.0,MIN,loose ball,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,George,202331.0,,,
17,PT11M20.00S,2021-11-14T03:41:36.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.47897503285151,49.01960784313726,1610612746,4,0,2021-11-14T03:41:40Z,170000,-5.0,9.0,1,right,I. Zubac alley-oop DUNK (2 PTS) (E. Bledsoe 1 AST),"[1627826, 202339]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,,,,1.01,Made,2.0,,,,,,,,,,,,E. Bledsoe,202339.0,1.0
19,PT11M06.00S,2021-11-14T03:41:49.3Z,1,REGULAR,3pt,Jump Shot,[],201976,30.14126149802891,76.22549019607843,1610612750,4,0,2021-11-14T03:41:55Z,190000,-131.0,231.0,1,left,MISS P. Beverley 26' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,26.54,Missed,,,,,,,,,,,,,,,
20,PT11M06.00S,2021-11-14T03:41:49.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,0,2021-11-14T03:41:55Z,200000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,
21,PT11M06.00S,2021-11-14T03:41:56.1Z,1,REGULAR,foul,personal,[],202339,,,1610612750,4,0,2021-11-14T03:42:06Z,210000,,,0,,E. Bledsoe loose ball personal FOUL (1 PF),"[202339, 1629020]",1610612746.0,LAC,loose ball,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Vanderbilt,1629020.0,,,
23,PT11M00.00S,2021-11-14T03:42:11.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626157,29.878449408672807,31.617647058823522,1610612750,4,0,2021-11-14T03:42:16Z,230000,92.0,228.0,1,left,MISS K. Towns 24' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,24.62,Missed,,,,,,,,,,,,,,,
24,PT10M56.00S,2021-11-14T03:42:15.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,0,2021-11-14T03:42:16Z,240000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT10M41.00S,2021-11-14T03:42:32.7Z,1,REGULAR,foul,personal,[],201976,,,1610612746,4,0,2021-11-14T03:42:38Z,250000,,,0,,P. Beverley personal FOUL (1 PF),"[201976, 1627826]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Zubac,1627826.0,,,
27,PT10M32.00S,2021-11-14T03:43:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,91.63929040735874,41.42156862745098,1610612746,4,0,2021-11-14T03:43:15Z,270000,-43.0,26.0,1,right,MISS P. George fadeaway Shot,[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,,,,5.02,Missed,,,,,,,,,,,,,,,
28,PT10M28.00S,2021-11-14T03:43:07.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,4,0,2021-11-14T03:43:15Z,280000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,
29,PT10M27.00S,2021-11-14T03:43:08.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202704,68.77463863337714,26.470588235294116,1610612746,4,0,2021-11-14T03:43:17Z,290000,-118.0,241.0,1,right,MISS R. Jackson 26' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,26.82,Missed,,,,,,,,,,,,,,,
