actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-04T01:41:06.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-04T01:41:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-04T01:41:10.0Z,1,REGULAR,jumpball,recovered,[],1629637,,,1610612740,0,0,2022-04-04T01:41:10Z,40000,,,0,,Jump Ball J. Valanciunas vs. I. Zubac: Tip to J. Hayes,"[1629637, 202685, 1627826]",1610612740.0,NOP,startperiod,J. Hayes,1629637.0,Hayes,J. Hayes,Valanciunas,202685.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-04-04T01:41:28.3Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,0,0,2022-04-04T01:41:38Z,70000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 202704]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,1.0,Jackson,202704.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-04-04T01:41:28.3Z,1,REGULAR,steal,,[],202704,,,1610612746,0,0,2022-04-04T01:41:34Z,80000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-04-04T01:41:36.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,14.241130091984232,27.205882352941174,1610612746,0,0,2022-04-04T01:41:44Z,90000,114.0,81.0,1,left,MISS P. George 14' fadeaway Shot,[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,,,,14.01,Missed,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-04-04T01:41:39.6Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2022-04-04T01:41:44Z,100000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M20.00S,2022-04-04T01:41:45.7Z,1,REGULAR,2pt,Jump Shot,[],203468,93.61038107752957,27.450980392156865,1610612740,0,2,2022-04-04T01:41:50Z,110000,-113.0,8.0,1,right,C. McCollum 11' fadeaway Jump Shot (2 PTS),[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,,,,11.3,Made,,,,,2.0,,,,,,,,,,
12,PT11M00.00S,2022-04-04T01:42:05.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,11.613009198423129,64.95098039215686,1610612746,2,2,2022-04-04T01:44:38Z,120000,-75.0,57.0,1,left,M. Morris Sr. 9' pullup Jump Shot (2 PTS) (N. Batum 1 AST),"[202694, 201587]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,,,9.39,Made,,,,,2.0,N. Batum,201587.0,1.0,,,,,,,
14,PT10M50.00S,2022-04-04T01:42:15.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,88.48554533508542,73.0392156862745,1610612740,2,2,2022-04-04T01:42:19Z,140000,115.0,56.0,1,right,MISS B. Ingram 12' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,12.8,Missed,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-04-04T01:42:17.3Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,2,2,2022-04-04T01:42:19Z,150000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
