actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-21T20:40:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T20:40:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T20:40:55.2Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-11-21T20:40:55Z,40000,,,0,,Jump Ball K. Porzingis vs. I. Zubac: Tip to D. Powell,"[203939, 204001, 1627826]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-21T20:41:09.3Z,1,REGULAR,2pt,Jump Shot,[],204001,15.949408672798953,76.9607843137255,1610612742,0,0,2021-11-21T20:41:15Z,70000,-135.0,97.0,1,left,MISS K. Porzingis 16' turnaround bank Shot,[204001],1610612742.0,DAL,turnaround bank,,,Porzingis,K. Porzingis,,,,,16.63,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-11-21T20:41:12.3Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,0,0,2021-11-21T20:41:15Z,80000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-11-21T20:41:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.69053876478318,53.18627450980392,1610612746,0,0,2021-11-21T20:41:32Z,90000,16.0,16.0,1,right,MISS I. Zubac Layup - blocked,"[1627826, 203939]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,2.27,Missed,,,,,Powell,203939.0,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-21T20:41:25.1Z,1,REGULAR,block,,[],203939,,,1610612746,0,0,2021-11-21T20:41:27Z,100000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2021-11-21T20:41:25.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,0,0,2021-11-21T20:41:32Z,110000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2021-11-21T20:41:29.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2021-11-21T20:41:29Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2021-11-21T20:41:51.4Z,1,REGULAR,3pt,Jump Shot,[],1627827,19.760183968462556,6.127450980392155,1610612742,0,0,2021-11-21T20:41:56Z,130000,219.0,133.0,1,left,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.67,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2021-11-21T20:41:54.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2021-11-21T20:41:56Z,140000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
