actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-14T03:41:07.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T03:41:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-14T03:41:10.9Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-12-14T03:41:10Z,40000,,,0,,Jump Ball J. McGee vs. I. Zubac: Tip to C. Paul,"[101108, 201580, 1627826]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,McGee,201580.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-14T03:41:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,92.82194480946123,44.607843137254896,1610612756,0,0,2021-12-14T03:42:05Z,70000,-27.0,15.0,1,right,MISS L. Shamet driving floating bank Shot,[1629013],1610612756.0,PHX,driving floating bank,,,Shamet,L. Shamet,,,,,3.09,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-14T03:41:24.3Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,0,0,2021-12-14T03:41:26Z,80000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-12-14T03:41:26.8Z,1,REGULAR,turnover,lost ball,[],1628379,,,1610612746,0,0,2021-12-14T03:41:29Z,90000,,,0,,L. Kennard lost ball TURNOVER (1 TO),"[1628379, 1629013]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,1.0,Shamet,1629013.0,,,,,,,,,,,,
10,PT11M40.00S,2021-12-14T03:41:26.8Z,1,REGULAR,steal,,[],1629013,,,1610612756,0,0,2021-12-14T03:41:28Z,100000,,,0,,L. Shamet STEAL (1 STL),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2021-12-14T03:41:40.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",101108,88.61695137976346,47.79411764705882,1610612756,0,0,2021-12-14T03:41:45Z,110000,-11.0,55.0,1,right,MISS C. Paul driving floating Shot,[101108],1610612756.0,PHX,driving floating,,,Paul,C. Paul,,,,,5.56,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2021-12-14T03:41:42.5Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2021-12-14T03:41:45Z,120000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M17.00S,2021-12-14T03:41:54.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,0,0,2021-12-14T03:41:54Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2021-12-14T03:42:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,16.606438896189218,38.725490196078425,1610612746,0,0,2021-12-14T03:42:14Z,140000,56.0,104.0,1,left,MISS R. Jackson 11' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,11.8,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2021-12-14T03:42:13.5Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,0,0,2021-12-14T03:42:13Z,150000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT11M00.00S,2021-12-14T03:42:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629013,93.2161629434954,54.411764705882355,1610612756,0,0,2021-12-14T03:43:00Z,160000,22.0,11.0,1,right,MISS L. Shamet driving finger roll Layup - blocked,"[1629013, 1627826]",1610612756.0,PHX,driving finger roll,,,Shamet,L. Shamet,,,,,2.48,Missed,,,,,,,,Zubac,1627826.0,,,,,,,,,,
17,PT11M00.00S,2021-12-14T03:42:21.2Z,1,REGULAR,block,,[],1627826,,,1610612756,0,0,2021-12-14T03:42:24Z,170000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M00.00S,2021-12-14T03:42:21.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,0,2021-12-14T03:42:29Z,180000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
19,PT11M00.00S,2021-12-14T03:42:26.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,0,0,2021-12-14T03:42:26Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2021-12-14T03:42:52.0Z,1,REGULAR,2pt,Jump Shot,[],1627826,22.38830486202366,50.245098039215684,1610612746,0,0,2021-12-14T03:42:56Z,200000,-1.0,158.0,1,left,MISS I. Zubac 15' Jump Shot,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,15.8,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2021-12-14T03:42:55.0Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,0,0,2021-12-14T03:42:56Z,210000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT10M18.00S,2021-12-14T03:43:17.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,0,0,2021-12-14T03:43:17Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
